Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	Estimated reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# total reads	# left	# right	Mapped (%)	Reference mapped (%)	Properly paired (%)	Reference properly paired (%)	Avg. coverage depth	Reference avg. coverage depth	Coverage >= 1x (%)	Reference coverage >= 1x (%)	# large blocks misassemblies	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# structural variations	# possible TEs	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	Avg contig read support	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genomic features	# operons	Complete BUSCO (%)	Partial BUSCO (%)	# predicted genes (unique)	# predicted genes (>= 0 bp)	# predicted genes (>= 300 bp)	# predicted genes (>= 1500 bp)	# predicted genes (>= 3000 bp)	# predicted rRNA genes	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90	K-mer-based compl. (%)	K-mer-based cor. length (%)	K-mer-based mis. length (%)	# k-mer-based misjoins
sr-megahit-m1	14794	14794	1980	855	270	88	55461594	55461594	30450030	22819080	13976275	7754426	14794	307522	55461594	239414479	-	-	-	6197	-	1387	-	24056.9	-	1489	-	10051	-	-	-	-	-	-	-	-	-	-	-	-	-	88	85	1990415	25	0	0	-	-	0	62 + 19 part	110396	24.072	1.004	-	0.00	177.22	4.31	-	-	-	-	-	-	-	-	-	-	307522	55244976	6110	-	1362	-	22749.9	-	1520	-	10183	-	-	-	-	-
sr-metaspades-m1	14461	14461	2041	826	299	109	58170565	58170565	33835102	25495723	17512659	10894523	14461	460045	58170565	239414479	-	-	-	7353	-	1425	-	35194.9	-	1246	-	9531	-	-	-	-	-	-	-	-	-	-	-	-	-	79	73	2002561	26	0	0	-	-	0	43 + 31 part	91425	25.350	1.002	-	0.00	173.77	6.94	-	-	-	-	-	-	-	-	-	-	460045	57905118	7255	-	1396	-	33474.3	-	1270	-	9662	-	-	-	-	-
lr-flye-ont	2423	2423	2239	1793	894	402	143770812	143770812	143102816	139758483	125246936	108116467	2423	7136817	143770812	239414479	-	-	-	441240	-	20262	-	1291481.1	-	47	-	1080	-	-	-	-	-	-	-	-	-	-	-	-	-	343	149	66235760	95	0	0	-	-	25	876 + 400 part	21062809	51.572	1.018	-	0.00	370.94	839.52	-	-	-	-	-	-	-	-	-	-	4357351	122160981	194794	-	-	-	708933.8	-	108	-	-	-	-	-	-	-
lr-flye-hifi	806	806	780	717	497	310	169457769	169457769	169369285	168892662	165110507	158286266	806	7147007	169457769	239414479	-	-	-	2013697	-	75706	-	2711172.4	-	22	-	218	-	-	-	-	-	-	-	-	-	-	-	-	-	284	102	123769257	91	0	0	-	-	0	57 + 16 part	1157694	70.125	1.009	-	0.00	8.11	10.42	-	-	-	-	-	-	-	-	-	-	6602741	168209120	903979	-	64562	-	1568491.3	-	42	-	353	-	-	-	-	-
lr-hifiasm-hifi	885	885	883	867	657	320	170075586	170075586	170067907	169929434	166029799	153914075	885	7146998	170075586	239414479	-	-	-	2154824	-	52272	-	2674732.9	-	22	-	304	-	-	-	-	-	-	-	-	-	-	-	-	-	264	104	117050907	89	0	0	-	-	0	121 + 16 part	4884878	68.678	1.008	-	0.00	9.93	22.47	-	-	-	-	-	-	-	-	-	-	4351146	165095661	847090	-	44446	-	1343285.1	-	46	-	451	-	-	-	-	-
lr-metamdbg-hifi	1249	1249	1244	1061	583	298	179428525	179428525	179415325	177839659	170142503	160241157	1249	7143710	179428525	239414479	-	-	-	2007072	-	44994	-	2472842.3	-	25	-	325	-	-	-	-	-	-	-	-	-	-	-	-	-	303	122	132289958	79	0	0	-	-	0	292 + 15 part	5574730	72.573	1.004	-	0.00	7.98	7.40	-	-	-	-	-	-	-	-	-	-	5136130	173790830	749991	-	38602	-	1206814.7	-	53	-	497	-	-	-	-	-
sr-spades-10m	20647	20647	4429	2189	810	384	141314393	141314393	108024426	92428972	71579595	56841018	20647	1630363	141314393	239414479	-	-	-	26020	-	2041	-	139521.1	-	774	-	10570	-	-	-	-	-	-	-	-	-	-	-	-	-	192	187	10110923	91	15	274	-	-	0	71 + 94 part	192990	59.717	1.003	-	92.95	73.69	7.58	-	-	-	-	-	-	-	-	-	-	1630363	140794966	25703	-	1995	-	130196.5	-	809	-	10775	-	-	-	-	-
sr-spades-10m_broken	27001	22047	4355	2016	759	371	141183046	138420342	102043380	85764357	66992041	53584237	22047	1630363	138420342	239414479	-	-	-	22015	-	1913	-	132762.8	-	854	-	11889	-	-	-	-	-	-	-	-	-	-	-	-	-	170	166	8935311	83	0	0	-	-	0	45 + 45 part	122124	58.690	1.003	-	0.00	71.16	3.41	-	-	-	-	-	-	-	-	-	-	1630363	138104890	21821	-	1882	-	124484.5	-	887	-	12061	-	-	-	-	-
hybrid-illumina-ont	11064	11064	4363	2439	936	426	159368905	159368905	143900848	130321833	107152100	89622626	11064	4637260	159368905	239414479	-	-	-	72626	-	5152	-	606935.5	-	259	-	4271	-	-	-	-	-	-	-	-	-	-	-	-	-	370	280	48720564	122	12	358	-	-	3	1075 + 225 part	4607758	64.653	1.010	-	180.34	163.70	97.21	-	-	-	-	-	-	-	-	-	-	3239829	154307853	65930	-	4096	-	380905.3	-	328	-	4804	-	-	-	-	-
hybrid-illumina-ont_broken	13333	11873	4585	2514	966	451	159081495	158336020	141419870	126772772	103003510	85349513	11873	4637260	158336020	239414479	-	-	-	62110	-	4716	-	424807.0	-	340	-	4808	-	-	-	-	-	-	-	-	-	-	-	-	-	323	266	36147424	117	0	0	-	-	4	1086 + 187 part	4554582	64.366	1.012	-	0.00	161.19	96.22	-	-	-	-	-	-	-	-	-	-	3147103	153643142	57815	-	3817	-	307909.2	-	394	-	5290	-	-	-	-	-
