Branch	AbundanceBin	TruthGenomes	MedianGenomeFractionPct	RecoveredGenomesGe90Pct	FullGenomesGe99Pct
spades-short-only	<0.1%	13	0.000000	0	0
spades-short-only	0.1-<1%	28	70.045500	9	1
spades-short-only	>=1%	30	98.757500	28	11
spades-illumina-ont	<0.1%	13	0.000000	0	0
spades-illumina-ont	0.1-<1%	28	86.395500	12	3
spades-illumina-ont	>=1%	30	99.399000	28	19
spades-illumina-hifi	<0.1%	13	0.000000	0	0
spades-illumina-hifi	0.1-<1%	28	88.880500	13	5
spades-illumina-hifi	>=1%	30	99.303000	29	23
flye-ont	<0.1%	13	0.000000	0	0
flye-ont	0.1-<1%	28	20.624000	6	5
flye-ont	>=1%	30	99.683500	26	19
flye-ont-polypolish-default	<0.1%	13	0.000000	0	0
flye-ont-polypolish-default	0.1-<1%	28	24.870500	7	5
flye-ont-polypolish-default	>=1%	30	99.683500	27	19
flye-ont-polypolish-careful	<0.1%	13	0.000000	0	0
flye-ont-polypolish-careful	0.1-<1%	28	24.482500	7	5
flye-ont-polypolish-careful	>=1%	30	99.683500	27	19
flye-hifi	<0.1%	13	0.000000	0	0
flye-hifi	0.1-<1%	28	96.100000	16	10
flye-hifi	>=1%	30	99.985500	27	26
