Step	ElapsedSeconds	PeakRSSGiB	CPUPercent	FileSystemInputs	FileSystemOutputs	ExitStatus
assemble-spades-illumina-hifi.attempt001	2686.650	17.485	1621	672	309441432	0
assemble-spades-illumina-ont.attempt001	NA	NA	NA	0	0	
assemble-spades-illumina-ont.attempt002	NA	NA	NA	0	0	
assemble-spades-illumina-ont.attempt003	2690.230	17.484	1716	1896	308225456	0
assemble-spades-short-only.attempt001	1576.100	17.486	1787	1104	306543864	0
bwa-align-R1	61.810	3.490	2527	168	8037736	0
bwa-align-R2	66.890	3.519	2601	152	8025144	0
bwa-index-flye-ont	126.660	0.203	99	24	772696	0
fastp-illumina-10m	783.500	1.580	140	72	3628496	0
metaquast-seven-branches	571.020	2.095	983	864	14437736	0
polypolish-careful	160.360	10.963	99	0	282552	0
polypolish-default	158.050	10.983	99	0	282576	0
polypolish-filter	233.310	16.453	99	0	16095128	0
select-illumina-10m	1346.230	0.033	99	0	3669896	0
