Reference	ExpectedAbundancePct	AbundanceBin	Branch	GenomeFractionPct	RecoveredGe90Pct	FullGenomeGe99Pct	MismatchesPer100Kbp	IndelsPer100Kbp	ReferenceReportPresent	BranchReportPresent
Acidilobus_saccharovorans_345-15	0.0341604652009	<0.1%	spades-short-only	0	no	no	NA	NA	no	no
Acidilobus_saccharovorans_345-15	0.0341604652009	<0.1%	spades-illumina-ont	0	no	no	NA	NA	no	no
Acidilobus_saccharovorans_345-15	0.0341604652009	<0.1%	spades-illumina-hifi	0	no	no	NA	NA	no	no
Acidilobus_saccharovorans_345-15	0.0341604652009	<0.1%	flye-ont	0	no	no	NA	NA	no	no
Acidilobus_saccharovorans_345-15	0.0341604652009	<0.1%	flye-ont-polypolish-default	0	no	no	NA	NA	no	no
Acidilobus_saccharovorans_345-15	0.0341604652009	<0.1%	flye-ont-polypolish-careful	0	no	no	NA	NA	no	no
Acidilobus_saccharovorans_345-15	0.0341604652009	<0.1%	flye-hifi	0	no	no	NA	NA	no	no
Acidobacterium_capsulatum_ATCC_51196	0.199780321809	0.1-<1%	spades-short-only	45.02	no	no	163.41	22.61	yes	yes
Acidobacterium_capsulatum_ATCC_51196	0.199780321809	0.1-<1%	spades-illumina-ont	66.093	no	no	459.17	419.9	yes	yes
Acidobacterium_capsulatum_ATCC_51196	0.199780321809	0.1-<1%	spades-illumina-hifi	84.493	no	no	165.02	33.55	yes	yes
Acidobacterium_capsulatum_ATCC_51196	0.199780321809	0.1-<1%	flye-ont	3.077	no	no	909.02	1864.98	yes	yes
Acidobacterium_capsulatum_ATCC_51196	0.199780321809	0.1-<1%	flye-ont-polypolish-default	4.213	no	no	899.16	1818.89	yes	yes
Acidobacterium_capsulatum_ATCC_51196	0.199780321809	0.1-<1%	flye-ont-polypolish-careful	4.213	no	no	900.83	1826.24	yes	yes
Acidobacterium_capsulatum_ATCC_51196	0.199780321809	0.1-<1%	flye-hifi	62.759	no	no	1.23	69.01	yes	yes
