cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	MB144;MB150;MB148;MB149;MB158;MB153;MB157;MB131;MB132;MB074;MB094;MB147;MB165;MB118;MB135;MB151;MB003;MB004;MB006;MB032;MB152;MB109;MB154;MB155;MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036;MB137;MB142;MB001;MB038	MT147;MT044;MT059;MT061;MT050;MT067;MT032;MT030;MT097;MT011;MT088;MT083;MT142;MT120;MT079;MT063;MT078;MT021;MT023;MT150;MT151;MT152;MT003;MT006;MT148;MT149;MT007;MT012;MT104;MT100;MT042;MT045;MT107;MT106;MT123;MT052;MT058;MT068;MT124;MT137;MT073;MT103;MT109;MT085;MT096;MT022;MT047	1.9908115547253612e-16
2	MB061;MB079;MB066;MB073;MB007;MB093;MB028;MB065;MB113;MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090;MB045;MB100;MB124;MB047;MB046;MB130	MT021;MT023;MT150;MT151;MT152;MT003;MT006;MT148;MT149;MT007;MT012	1.5260344070749007e-15
3	MB165	MT095;MT090;MT093;MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146;MT002;MT074	2.5361083168240208e-15
4	MB061;MB079;MB066;MB073;MB007;MB093;MB028;MB065;MB113;MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090;MB045;MB100;MB124;MB047;MB046;MB130	MT114;MT010;MT017;MT027;MT035;MT037;MT153;MT036;MT038;MT039	1.2084042904576223e-14
5	MB023;MB015;MB019;MB020;MB014;MB017;MB021;MB012;MB016;MB011;MB013;MB022;MB010;MB018	MT090;MT093	2.687799018562218e-14
6	MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036	MT102;MT057;MT131;MT041;MT098;MT136	4.429981902760822e-14
7	MB109;MB154;MB155	MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146	1.6715621920334807e-13
8	MB118;MB135;MB151	MT102;MT057;MT131;MT041;MT098;MT136	1.0030031894258565e-12
9	MB165;MB118;MB135;MB151;MB003;MB004;MB006;MB032;MB152;MB109;MB154;MB155;MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036	MT114	2.0222526104536344e-12
10	MB008	MT060;MT001;MT119;MT116;MT143	4.3006527859723855e-12
11	MB109;MB154;MB155	MT090	1.8112348716051658e-11
12	MB116	MT111;MT134;MT054;MT110;MT121;MT089;MT105	2.969417664378335e-11
13	MB109;MB154;MB155	MT089	4.335235062921657e-11
14	MB003;MB004	MT102;MT057;MT131;MT041;MT098;MT136	5.573114286638001e-11
15	MB118;MB135;MB151	MT090	7.753923801665838e-11
16	MB079;MB066;MB073;MB007;MB093;MB028;MB065;MB113;MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT050;MT067;MT032;MT030;MT097	1.2298455537460076e-10
17	MB165;MB118;MB135;MB151;MB003;MB004;MB006;MB032;MB152;MB109;MB154;MB155;MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036	MT037	1.3007250490564996e-10
18	MB003;MB004	MT090	1.4418625802443243e-10
19	MB055;MB058	MT116	1.9481088356247038e-10
20	MB030;MB008;MB009	MT107;MT106;MT123	2.419362049350856e-10
21	MB032	MT090;MT093;MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146;MT002;MT074	2.529594321037425e-10
22	MB015;MB019;MB020	MT021;MT023;MT150;MT151;MT152;MT003;MT006;MT148;MT149;MT007;MT012	4.673016600775866e-10
23	MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT102;MT057;MT131;MT041;MT098;MT136	5.423411222508056e-10
24	MB102;MB127;MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT021;MT023;MT150;MT151;MT152;MT003;MT006;MT148;MT149;MT007;MT012	5.462779994013226e-10
25	MB026;MB071;MB054;MB070;MB128;MB123;MB126	MT023;MT150;MT151;MT152;MT003;MT006	5.769670305868152e-10
26	MB006	MT057;MT131;MT041;MT098;MT136	1.1111267251247805e-09
27	MB113;MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT090;MT093;MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146;MT002;MT074	1.5502090845888847e-09
28	MB015;MB019;MB020	MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146	1.6493055636957934e-09
29	MB050;MB035;MB033;MB037;MB034;MB036	MT089	1.8276372336613944e-09
30	MB032	MT111;MT134;MT054;MT110;MT121;MT089;MT105	1.909430931403037e-09
31	MB148;MB149	MT095;MT090;MT093;MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146;MT002;MT074	2.2278928575365153e-09
32	MB128	MT010;MT017;MT027;MT035;MT037	2.960122324356566e-09
33	MB113;MB048;MB119;MB117;MB114;MB115;MB025;MB092;MB091;MB057;MB077;MB090	MT089	3.1904941974789635e-09
34	MB144;MB150;MB148;MB149;MB158;MB153;MB157;MB131;MB132;MB074;MB094;MB147;MB165;MB118;MB135;MB151;MB003;MB004;MB006;MB032;MB152;MB109;MB154;MB155;MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036;MB137;MB142;MB001;MB038	MT026	4.044294702630286e-09
35	MB116	MT004;MT043;MT080	4.483886786998464e-09
36	MB122	MT102;MT057;MT131;MT041;MT098;MT136	5.411210761749624e-09
37	MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT011;MT088;MT083;MT142;MT120;MT079;MT063;MT078	5.994946210636066e-09
38	MB137;MB142;MB001;MB038	MT090	6.0623442263534644e-09
39	MB153;MB157	MT046;MT141;MT065;MT084;MT108;MT139;MT072;MT040;MT115;MT066;MT092;MT049;MT062;MT055;MT053;MT048;MT069;MT004;MT043;MT080;MT111;MT134;MT054;MT110;MT121;MT089;MT105	6.178389901505345e-09
40	MB112;MB120;MB122	MT010;MT017;MT027;MT035;MT037	8.6065230492406e-09
41	MB132	MT114;MT010;MT017;MT027;MT035;MT037	1.0655800802435376e-08
42	MB014;MB017;MB021;MB012;MB016;MB011;MB013;MB022;MB010;MB018	MT111;MT134;MT054;MT110;MT121;MT089;MT105	1.2164273815443143e-08
43	MB009	MT068;MT124;MT137;MT073;MT103;MT109	2.1125328774590935e-08
44	MB009	MT150;MT151;MT152;MT003;MT006	2.4794082983027697e-08
45	MB102;MB127;MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT104;MT100;MT042;MT045	2.7630932149836266e-08
46	MB112;MB120;MB122	MT126;MT070;MT081	2.8096657243663225e-08
47	MB049;MB136;MB023;MB015;MB019;MB020;MB014;MB017;MB021;MB012;MB016;MB011;MB013;MB022;MB010;MB018	MT018;MT009;MT016	2.9884004744249826e-08
48	MB137;MB142;MB001;MB038	MT102;MT057;MT131;MT041;MT098;MT136	3.2326612617380945e-08
49	MB019	MT054;MT110;MT121;MT089;MT105	3.694533659436283e-08
50	MB023	MT031;MT033	3.700404897134264e-08
51	MB163;MB164;MB161;MB162;MB050;MB035;MB033;MB037;MB034;MB036	MT090	3.9813125747575686e-08
52	MB112;MB120;MB122	MT060	4.860644921605398e-08
53	MB058	MT118;MT099;MT130;MT146	5.89088187860325e-08
54	MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT107;MT106;MT123;MT052;MT058;MT068;MT124;MT137;MT073;MT103;MT109	6.068392581158901e-08
55	MB055	MT090;MT093;MT102;MT057;MT131;MT041;MT098;MT136;MT118;MT099;MT130;MT146;MT002;MT074	6.860364324046828e-08
56	MB030;MB008;MB009;MB102;MB127;MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT090	9.023281923515399e-08
57	MB017	MT102;MT057;MT131;MT041;MT098;MT136	9.603166547007135e-08
58	MB116;MB103;MB121;MB125;MB133;MB098;MB099	MT126;MT070;MT081	9.700095909200078e-08
59	MB151	MT146	9.825807942841236e-08
60	MB137;MB142;MB001;MB038	MT089	1.2047591051442833e-07
