Step	Cached	Command	Outputs
build-bowtie2-index	yes	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/bowtie2-build --threads 16 /workspace/wechat/Metagenome/data/raw/article35/work/reference/megahit-mix-primary.fna /workspace/wechat/Metagenome/data/raw/article35/work/index/megahit-mix-primary	index/megahit-mix-primary.1.bt2;index/megahit-mix-primary.2.bt2;index/megahit-mix-primary.3.bt2;index/megahit-mix-primary.4.bt2;index/megahit-mix-primary.rev.1.bt2;index/megahit-mix-primary.rev.2.bt2
legacy-select-MOCK1	yes	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/seqtk sample -s100 /workspace/wechat/Metagenome/data/raw/article35/work/inputs/MOCK1_R1.fastq.gz 10000	legacy/MOCK1.R1.seed100.n10000.fastq
legacy-map-MOCK1	yes	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/bowtie2 --local --seed 100 -p 16 -x /workspace/wechat/Metagenome/data/raw/article35/work/index/megahit-mix-primary -U /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK1.R1.seed100.n10000.fastq -S /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK1.local.sam	legacy/MOCK1.local.sam
legacy-bam-MOCK1	yes	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/samtools sort -@ 16 -o /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK1.local.sorted.bam /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK1.local.sam	legacy/MOCK1.local.sorted.bam
legacy-htseq-MOCK1	yes	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/htseq-count -f bam -r pos -t CDS -i ID -s no -a 0 --secondary-alignments ignore --supplementary-alignments ignore /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK1.local.sorted.bam /workspace/wechat/Metagenome/data/raw/article35/work/reference/megahit-mix-primary.gff	legacy/MOCK1.htseq-counts.tsv
audited-map-MOCK1	no	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/bowtie2 --very-sensitive-local -k 2 --seed 20260735 --no-unal -p 16 -x /workspace/wechat/Metagenome/data/raw/article35/work/index/megahit-mix-primary -U /workspace/wechat/Metagenome/data/raw/article35/work/inputs/MOCK1_R1.fastq.gz,/workspace/wechat/Metagenome/data/raw/article35/work/inputs/MOCK1_R2.fastq.gz | /workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/python /workspace/wechat/Metagenome/scripts/parse_article35_sam.py --sample MOCK1 --total-reads 3999706 --counts /workspace/wechat/Metagenome/data/raw/article35/work/mapping/MOCK1.policy-counts.tsv --summary /workspace/wechat/Metagenome/data/raw/article35/work/mapping/MOCK1.mapping-summary.json --quality-histogram /workspace/wechat/Metagenome/data/raw/article35/work/mapping/MOCK1.quality-histogram.tsv	mapping/MOCK1.policy-counts.tsv;mapping/MOCK1.mapping-summary.json;mapping/MOCK1.quality-histogram.tsv
legacy-select-MOCK2	yes	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/seqtk sample -s100 /workspace/wechat/Metagenome/data/raw/article35/work/inputs/MOCK2_R1.fastq.gz 10000	legacy/MOCK2.R1.seed100.n10000.fastq
legacy-map-MOCK2	yes	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/bowtie2 --local --seed 100 -p 16 -x /workspace/wechat/Metagenome/data/raw/article35/work/index/megahit-mix-primary -U /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK2.R1.seed100.n10000.fastq -S /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK2.local.sam	legacy/MOCK2.local.sam
legacy-bam-MOCK2	yes	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/samtools sort -@ 16 -o /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK2.local.sorted.bam /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK2.local.sam	legacy/MOCK2.local.sorted.bam
legacy-htseq-MOCK2	yes	/workspace/miniconda3/envs/metagenome-gene-abundance-2026.07/bin/htseq-count -f bam -r pos -t CDS -i ID -s no -a 0 --secondary-alignments ignore --supplementary-alignments ignore /workspace/wechat/Metagenome/data/raw/article35/work/legacy/MOCK2.local.sorted.bam /workspace/wechat/Metagenome/data/raw/article35/work/reference/megahit-mix-primary.gff	legacy/MOCK2.htseq-counts.tsv
