Sample	Metric	Bin	Count
MOCK1	MAPQ	0	6238
MOCK1	MAPQ	1-9	84045
MOCK1	MAPQ	10-19	94056
MOCK1	MAPQ	20-39	196009
MOCK1	MAPQ	40+	2966227
MOCK1	Identity	<0.80	434
MOCK1	Identity	0.80-0.89	26413
MOCK1	Identity	0.90-0.94	77314
MOCK1	Identity	0.95-0.96	90217
MOCK1	Identity	0.97-0.98	281836
MOCK1	Identity	0.99-1.00	2870361
MOCK1	QueryCoverage	<0.80	465313
MOCK1	QueryCoverage	0.80-0.89	110695
MOCK1	QueryCoverage	0.90-0.94	61766
MOCK1	QueryCoverage	0.95-0.96	26384
MOCK1	QueryCoverage	0.97-0.98	58078
MOCK1	QueryCoverage	0.99-1.00	2624339
MOCK2	MAPQ	0	5981
MOCK2	MAPQ	1-9	83518
MOCK2	MAPQ	10-19	94379
MOCK2	MAPQ	20-39	195286
MOCK2	MAPQ	40+	2956557
MOCK2	Identity	<0.80	412
MOCK2	Identity	0.80-0.89	25366
MOCK2	Identity	0.90-0.94	77767
MOCK2	Identity	0.95-0.96	100003
MOCK2	Identity	0.97-0.98	323188
MOCK2	Identity	0.99-1.00	2808985
MOCK2	QueryCoverage	<0.80	461606
MOCK2	QueryCoverage	0.80-0.89	108357
MOCK2	QueryCoverage	0.90-0.94	60259
MOCK2	QueryCoverage	0.95-0.96	26490
MOCK2	QueryCoverage	0.97-0.98	60704
MOCK2	QueryCoverage	0.99-1.00	2618305
