Asset	Role	Source	Bytes	SHA256	IdentityGate
primary-gene-catalog-fna	Bowtie2 nucleotide reference	data/small/34-nonredundant-gene-catalog-frozen/catalog/megahit-mix-primary.fna.gz	25505231	56f0be1fa7230517318dd745deba55be204da473ee3b6abbc24bd56ccaf3ceb6	Article34 frozen manifest
primary-gene-catalog-faa	DIAMOND protein query	data/small/34-nonredundant-gene-catalog-frozen/catalog/megahit-mix-primary.faa.gz	17732326	3db88ff78a548dddfc48caa8a17f04bcbb58dcafe2345d9dd31bc4e12f2a3569	Article34 frozen manifest
primary-gene-catalog-metadata	length, completeness, origin, and cluster-size metadata	data/small/34-nonredundant-gene-catalog-frozen/primary-catalog-representatives.tsv.gz	661076	677479da11ef41a6f27f11798c38dfd9b5830b5c564d9a8f436951413acd7c09	Article34 frozen manifest
MOCK1-R1	full clean read mapping input	/workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765746_clean_R1.fastq.gz	171736344	d917a7241a29e2151bd1e2928994acd34b309d29ede5d6bd90933c8f31717148	Article30 frozen run-summary
MOCK1-R2	full clean read mapping input	/workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765746_clean_R2.fastq.gz	205840597	d224c825299ebdcc903b3e4665fbe13efada5e2855b18750a9cbc2ef661735ae	Article30 frozen run-summary
MOCK2-R1	full clean read mapping input	/workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765747_clean_R1.fastq.gz	187112791	a1908f80858cc44f19ba50a786c6c81fe85106de1073d02f4eaa1ed961379cd1	Article30 frozen run-summary
MOCK2-R2	full clean read mapping input	/workspace/wechat/Metagenome/data/raw/article30/clean/ERR9765747_clean_R2.fastq.gz	210313951	6e945df7b952a849bf6b23e49afe175db8bca9bb07995bf596b37344abbc062d	Article30 frozen run-summary
uniref90-diamond-db	best-hit functional label	/workspace/wechat/Metagenome/db/humann-cache/installed/humann-uniref90-v201901b/uniref90_201901b_full.dmnd	36332007356	67a00a99ead2a00c737b4b9cb7e64ecc9085c2539bbd21a2d0c92913936995a8	observed full SHA-256
uniref90-metacyc-reaction-map	one-to-many functional crosswalk	/workspace/miniconda3/envs/metagenome-biobakery-2026.07/lib/python3.12/site-packages/humann/data/pathways/metacyc_reactions_level4ec_only.uniref.bz2	57511575	8419ce78a62ca9130914f2c347a9708111cedc7de52ba274659ce51ec7de7752	Article19 frozen regroup audit
delgado-paper-xml	Fig. 3 anchor and historical mapping method	data/small/34-nonredundant-gene-catalog-frozen/sources/PMC9074274.fullTextXML	80297	bb784d69a8ab260b90abe67d31a192a7f7bef951a98f2bed6ce3dae9092ce9ba	Article34 frozen source
