AssertionID	Source	ParagraphIndex	EvidenceType	ValidationNeedle	ParagraphSHA256	Interpretation	SourceCheckPass
IPHOP-TEST-SCOPE	iPHoP	8	Benchmark scope	This test dataset contained 1,870 genomes, spanning 170 host genera	6c070b3834ce7da55028ab2f6138a04830a47bdc9031616dbeb87f988c72f62d	1870 viruses; 170 host genera	True
IPHOP-ALIGNMENT-PRECISION	iPHoP	11	Method performance	alignment-based tools, both phage-based and host-based, were able to reach high (>80%) PPV	3bff05ed435708b750bde61bcca404d07c8b5d6b5b6fcd995f067b0ebaa2a923	Score-filtered alignment evidence exceeded 80% PPV	True
IPHOP-RAFAH	iPHoP	12	Method performance	RaFAH [25] in particular able to maintain a very low FDR (<5%)	1822535f9b3445c5702e514977ce9f392497f49703926cf6ae6a41b69b2c8a19	RaFAH FDR below 5% in the benchmark, with reference bias	True
IPHOP-SCORE	iPHoP	52	Calibration	By default, only predictions with a confidence score ≥90	eb0789d3c4a4de56971697db322781557ad35f5249f2167e16a5bc274e44944e	Default score >=90; estimated FDR <10%	True
IPHOP-IMGVR	iPHoP	59	External application	216,015 high-quality genomes from the IMG/VR v3 database	3cedf41a285db6ac907b6090d26edbe15ec533abb313159fda88d9a2e1a250cf	216015 high-quality IMG/VR genomes	True
IPHOP-NOVEL-HOST	iPHoP	32	Claim ceiling	restricted to “high” score (i.e., score ≥90) and interpreted at the family rank	7c7e39184cde01135f789eff5b30bc3d1b4dc84dd15ef2ed39ae7aa83879e546	When the host genus is absent, use >=90 and interpret at family rank	True
IPHOP-EUK-CONTROL	iPHoP	33	Negative control	when applied to 8,128 eukaryotic virus genomes from RefSeq	46ac8546e925671118d0a0013c85d08e8868351d1ee1b1e48ae5f873e6d19075	8128 eukaryotic viruses; 1018 erroneous prokaryotic-host calls	True
IPHOP-RUNTIME	iPHoP	35	Resource observation	approximately 12 minutes for a test set of 5 complete phage genomes	66713b52d1aec20a5d943a3bf1c2602ae22774fb7e2a6bc0206addd56a4e5e17	12 minutes; 5 genomes; 6 CPUs; Sept_2021_pub	True
IPHOP-LIFESTYLE-STRATA	iPHoP	70	Benchmark composition	predicted as temperate, either via BacPhlip or based on the genome annotation (n = 949)	ce21ab51407b656a076e1b3136194839eaf6f4382ceb17fb615412ad1f0954e5	949 temperate; 663 virulent; 258 not in either displayed stratum	True
MIUVIG-HOST-EVIDENCE	MIUViG	43	Evidence hierarchy	These sequence similarities can range from short exact matches	4e604f3c93abbe3ee9fd1379f9fa04cb216d350e60e4167f0b56a119b9df24c5	CRISPR/long matches are more reliable than composition and abundance profiles	True
