Feature	DNAPrevalence	RNAPrevalence	CoDetection	MeanDNA	MeanRNA	PathwayID	Description	Selected
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.9971870604781997	0.9704641350210971	0.9676511954992968	0.011977904120956399	0.012646289590717301	1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	True
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	0.12376933895921238	0.014064697609001406	0.014064697609001406	3.3611180787623066e-05	6.975929817158932e-06	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	False
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.040787623066104076	0.02812939521800281	0.009845288326300985	9.922972995780592e-07	1.4325769057665259e-05	7ALPHADEHYDROX-PWY	cholate degradation (bacteria, anaerobic)	False
AEROBACTINSYN-PWY: aerobactin biosynthesis	0.12517580872011252	0.03656821378340366	0.03234880450070324	1.493325781997187e-05	6.2551175808720105e-06	AEROBACTINSYN-PWY	aerobactin biosynthesis	False
ALL-CHORISMATE-PWY: superpathway of chorismate metabolism	0.06469760900140648	0.0014064697609001407	0.0014064697609001407	1.7907449367088607e-05	8.451097046413503e-07	ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	False
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	0.05063291139240506	0.004219409282700422	0.0014064697609001407	3.627061153305204e-06	2.5516333333333337e-06	ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	False
ANAEROFRUCAT-PWY: homolactic fermentation	0.9915611814345991	0.9521800281293952	0.9493670886075949	0.0051710092334739804	0.006975653226441632	ANAEROFRUCAT-PWY	homolactic fermentation	True
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.9957805907172996	0.9915611814345991	0.9887482419127989	0.010366589212376934	0.027311565457102678	ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	True
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.8874824191279888	0.23769338959212377	0.2348804500703235	0.000883767887341772	0.00014803694669479606	ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	True
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	0.1940928270042194	0.015471167369901548	0.015471167369901548	5.730826551336147e-05	6.1979057665260205e-06	ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	False
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.919831223628692	0.8931082981715893	0.8888888888888888	0.006728167656638537	0.0055356957440225035	ARGININE-SYN4-PWY	L-ornithine de novo  biosynthesis	True
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.22925457102672292	0.011251758087201125	0.007032348804500703	4.414900450070324e-05	2.8951506329113925e-06	ARGORNPROST-PWY	arginine, ornithine and proline interconversion	False
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.9718706047819972	0.6132208157524613	0.6104078762306611	0.0032789864991561177	0.0013582774078762308	ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	True
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.9549929676511955	0.530239099859353	0.5260196905766527	0.00180552908185654	0.0006790863459915612	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	True
ARO-PWY: chorismate biosynthesis I	0.9943741209563994	0.9578059071729957	0.9563994374120957	0.010807361026722926	0.006551225353023911	ARO-PWY	chorismate biosynthesis I	True
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.9957805907172996	0.9887482419127989	0.9859353023909986	0.00559018617440225	0.005453092639943741	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	True
AST-PWY: L-arginine degradation II (AST pathway)	0.36146272855133615	0.02390998593530239	0.02390998593530239	6.338073071729958e-05	6.605385654008438e-06	AST-PWY	L-arginine degradation II (AST pathway)	False
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.8874824191279888	0.44866385372714485	0.44022503516174405	0.0008438768125175809	0.0003991663428973278	BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	True
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	1.0	0.9535864978902954	0.9535864978902954	0.008789559575246133	0.005093371481012658	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	True
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.9943741209563994	0.9831223628691983	0.980309423347398	0.009311403389592124	0.012658750196905766	CALVIN-PWY	Calvin-Benson-Bassham cycle	True
CENTFERM-PWY: pyruvate fermentation to butanoate	0.5246132208157525	0.24050632911392406	0.22362869198312235	0.00014404188395218003	0.00021067749957805906	CENTFERM-PWY	pyruvate fermentation to butanoate	True
CITRULBIO-PWY: L-citrulline biosynthesis	0.9549929676511955	0.8481012658227848	0.8424753867791842	0.001572860543853727	0.00342564074233474	CITRULBIO-PWY	L-citrulline biosynthesis	True
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.9957805907172996	0.9901547116736991	0.9859353023909986	0.01580920052039381	0.013953952855133615	COA-PWY-1	coenzyme A biosynthesis II (mammalian)	True
COA-PWY: coenzyme A biosynthesis I	0.9943741209563994	0.9549929676511955	0.9521800281293952	0.004192794438396624	0.003354426219409283	COA-PWY	coenzyme A biosynthesis I	True
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.9845288326300985	0.7172995780590717	0.7158931082981715	0.003776291554711674	0.0015821445099859352	COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	True
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.9662447257383966	0.5921237693389592	0.5893108298171589	0.0015039118997187064	0.000683262905344585	COLANSYN-PWY	colanic acid building blocks biosynthesis	True
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.9943741209563994	0.9563994374120957	0.9549929676511955	0.01077502517580872	0.00541848647257384	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	True
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.9634317862165963	0.7454289732770746	0.739803094233474	0.0015191373756680733	0.0012045184457102672	DAPLYSINESYN-PWY	L-lysine biosynthesis I	True
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.9859353023909986	0.7735583684950773	0.7665260196905767	0.003568868204922644	0.0023500501758087202	DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	True
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.9929676511954993	0.9746835443037974	0.9718706047819972	0.010755667535302393	0.00762418770323488	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	True
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.29254571026722925	0.0450070323488045	0.04360056258790436	0.00010121746018284107	1.980262334739803e-05	ECASYN-PWY	enterobacterial common antigen biosynthesis	False
ENTBACSYN-PWY: enterobactin biosynthesis	0.3263009845288326	0.04781997187060478	0.0450070323488045	0.0002746096751054852	4.8527172292545714e-05	ENTBACSYN-PWY	enterobactin biosynthesis	False
FAO-PWY: fatty acid &beta;-oxidation I	0.5963431786216596	0.17440225035161744	0.16455696202531644	0.00014298231954992967	0.00011204817018284107	FAO-PWY	fatty acid β-oxidation I	False
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.8888888888888888	0.6638537271448663	0.6511954992967651	0.0009021260759493672	0.0017366752838255976	FASYN-ELONG-PWY	fatty acid elongation -- saturated	True
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.890295358649789	0.6736990154711674	0.659634317862166	0.0007081607969057666	0.001197422094092827	FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	True
FERMENTATION-PWY: mixed acid fermentation	0.6722925457102672	0.21940928270042195	0.19831223628691982	0.0003663460930801687	0.0001825308329113924	FERMENTATION-PWY	mixed acid fermentation	False
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.7454289732770746	0.10407876230661041	0.09563994374120956	0.00041014557708860753	7.578671729957806e-05	FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	False
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.5949367088607594	0.10407876230661041	0.09845288326300984	0.0003092729103516174	7.021452320675105e-05	FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	False
FUCCAT-PWY: fucose degradation	0.8157524613220816	0.3234880450070324	0.31645569620253167	0.0003452686693108298	0.00021920729409282699	FUCCAT-PWY	fucose degradation	True
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.9901547116736991	0.9127988748241913	0.9113924050632911	0.004061727031504922	0.004064541649085794	GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	True
GALACTARDEG-PWY: D-galactarate degradation I	0.40646976090014064	0.05063291139240506	0.04781997187060478	8.516900434599155e-05	2.2828763572433193e-05	GALACTARDEG-PWY	D-galactarate degradation I	False
GALACTUROCAT-PWY: D-galacturonate degradation I	0.9971870604781997	0.9549929676511955	0.9549929676511955	0.004048544543459915	0.006234231778059072	GALACTUROCAT-PWY	D-galacturonate degradation I	True
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.9943741209563994	0.9310829817158931	0.929676511954993	0.004692921061884669	0.005480260036568214	GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	True
GLUCARDEG-PWY: D-glucarate degradation I	0.40646976090014064	0.052039381153305204	0.04922644163150492	0.00010069029670886077	3.197779521800282e-05	GLUCARDEG-PWY	D-glucarate degradation I	False
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.40646976090014064	0.05063291139240506	0.04781997187060478	8.516900434599155e-05	2.2828763572433193e-05	GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	False
GLUCONEO-PWY: gluconeogenesis I	0.6849507735583685	0.5668073136427567	0.5457102672292545	0.0010887252847819973	0.004534423900421941	GLUCONEO-PWY	gluconeogenesis I	True
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.659634317862166	0.36427566807313644	0.34458509142053445	0.0003017145188326301	0.00034230888035161744	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	True
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.9957805907172996	0.9282700421940928	0.9282700421940928	0.00418773864556962	0.004494225107172996	GLUCUROCAT-PWY	superpathway of β-D-glucuronide and D-glucuronate degradation	True
