Feature	PathwayID	ControlN	CDN	UCN	ControlMedian	CDMedian	UCMedian	MedianRange	KruskalH	PValue	QValue	BH05
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	1CMET2-PWY	26	50	27	-0.0568376155849364	0.11536855384762905	-0.126142876106889	0.24151142995451808	6.493427356810457	0.03890184195676048	0.3416596554463312	False
ANAEROFRUCAT-PWY: homolactic fermentation	ANAEROFRUCAT-PWY	26	50	27	0.5187286147951986	0.3740256403483715	0.6066219632136396	0.2325963228652681	3.05845349572013	0.2167031687362012	0.5194189006584522	False
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	ANAGLYCOLYSIS-PWY	26	50	27	1.4473967155297485	1.3249516284784606	1.5132471044884193	0.18829547600995866	6.843482507037379	0.03265552385926566	0.3416596554463312	False
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	ARG+POLYAMINE-SYN	17	29	22	-1.2102627367660046	-1.2793567792955076	-0.7534064875157398	0.5259502917797678	3.9721478518369224	0.13723315670809866	0.4701153124648184	False
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	ARGININE-SYN4-PWY	25	47	27	-0.3892564748682269	-0.2512834001414366	-0.21063922615093525	0.17861724871729165	0.41863537502689496	0.8111375064494177	0.9008531192279791	False
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	ARGSYN-PWY	26	45	27	-0.6231052278226168	-0.7860822814359226	-0.43132336564749807	0.35475891578842456	3.1657612229040524	0.2053826177408635	0.5194189006584522	False
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	ARGSYNBSUB-PWY	26	42	25	-0.38596013561064046	-0.9169714518135927	-0.436740906065443	0.5310113162029523	4.0743244310025375	0.1303982283961109	0.4701153124648184	False
ARO-PWY: chorismate biosynthesis I	ARO-PWY	26	50	27	-0.6642403262559706	-0.6551690581640618	-0.9459723341820266	0.29080327601796485	3.1818604903518803	0.20373599912442839	0.5194189006584522	False
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	ASPASN-PWY	26	50	27	-0.232814756817225	-0.2786876301295098	-0.31915514196567923	0.08634038514845424	2.094585256250639	0.3508864443869578	0.6443551069651406	False
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	BIOTIN-BIOSYNTHESIS-PWY	22	45	24	-0.5269487847625102	-0.20613529140850245	-0.3079440244611641	0.3208134933540077	0.23321497343232522	0.8899344357055177	0.9298868996462106	False
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	BRANCHED-CHAIN-AA-SYN-PWY	26	50	27	-0.5873171672948398	-0.6877365407436163	-1.2556807893482436	0.6683636220534037	2.970910106406734	0.22639929350852395	0.5194189006584522	False
CALVIN-PWY: Calvin-Benson-Bassham cycle	CALVIN-PWY	26	50	27	0.4636803900600107	0.4621742807028587	0.32261030942574803	0.14107008063426268	2.204164735770405	0.3321786448499001	0.6295257953920773	False
CENTFERM-PWY: pyruvate fermentation to butanoate	CENTFERM-PWY	15	27	12	0.9699381908897124	1.8175869004384888	1.7692598617392985	0.8476487095487764				False
CITRULBIO-PWY: L-citrulline biosynthesis	CITRULBIO-PWY	25	48	26	1.2512783322364605	1.4045231632460238	1.075236013048317	0.3292871501977068	1.0720935508935554	0.585056546670301	0.8237470769445486	False
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	COA-PWY-1	26	50	27	-0.448641450357264	-0.38880880973131526	-0.5104397611866451	0.12163095145532987	1.9029131958407675	0.3861781073547476	0.678330240744861	False
COA-PWY: coenzyme A biosynthesis I	COA-PWY	26	50	27	-0.6786838743644388	-0.3043931262128052	-0.24540019463019228	0.43328367973424653	5.6835181248922595	0.058322981909922605	0.35328369255754377	False
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	COBALSYN-PWY	26	47	27	-1.6842484149530936	-1.5055012793560227	-1.377687322351984	0.30656109260110953	1.0762830325585355	0.5838322875331419	0.8237470769445486	False
COLANSYN-PWY: colanic acid building blocks biosynthesis	COLANSYN-PWY	25	47	25	-0.43352920408995066	-0.6976393934528161	-0.8909051826943778	0.45737597860442714	2.065290723440114	0.35606379607750205	0.6479719532221208	False
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	COMPLETE-ARO-PWY	26	50	27	-0.9007919027711327	-1.0576508074509978	-1.2089397024968904	0.3081477997257577	3.0597926121674845	0.21655812191154292	0.5194189006584522	False
DAPLYSINESYN-PWY: L-lysine biosynthesis I	DAPLYSINESYN-PWY	26	49	27	-0.3867838313159584	-0.45004518017790734	0.41573903923437305	0.8657842194122805	6.5061221567707435	0.0386556984180588	0.3416596554463312	False
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	DENOVOPURINE2-PWY	25	49	27	-0.7370682973299256	-0.3390775833199723	-0.24537202820971424	0.49169626912021136	6.495628200675242	0.03885905706169672	0.3416596554463312	False
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	DTDPRHAMSYN-PWY	26	50	27	-0.6190942703860481	-0.6995704303226202	-0.5966524759602672	0.10291795436235307	0.9045355316825976	0.6361837986262647	0.8237470769445486	False
FASYN-ELONG-PWY: fatty acid elongation -- saturated	FASYN-ELONG-PWY	26	48	24	1.2216587922517657	1.225840779941867	0.8902090495817956	0.3356317303600713	0.6458719851576689	0.7240201955503986	0.855275318720354	False
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	FASYN-INITIAL-PWY	26	48	24	1.0839190494134607	0.8696179250771412	0.8719881203133875	0.21430112433631954	0.8665104736533635	0.6483949764068477	0.8237470769445486	False
FUCCAT-PWY: fucose degradation	FUCCAT-PWY	24	39	19	0.1770468633513902	0.21182709713218353	-0.053383029057669854	0.2652101261898534	0.015759790420702302	0.9921510697769134	0.9970871447509279	False
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	GALACT-GLUCUROCAT-PWY	26	49	27	-0.2120370092065082	-0.5560941500211825	-0.2657480184425096	0.34405714081467426	2.1030281833088225	0.3494083121948144	0.6443551069651406	False
GALACTUROCAT-PWY: D-galacturonate degradation I	GALACTUROCAT-PWY	26	50	27	0.4360373251639121	0.2706219094954506	0.5269921196253226	0.25637021012987193	0.2772004876709957	0.8705759770198078	0.9298868996462106	False
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	GLCMANNANAUT-PWY	26	49	27	-0.251369830324279	-0.3084200420049023	-0.127348222746671	0.1810718192582313	1.4801324728713325	0.4770823142424532	0.7666061565531519	False
GLUCONEO-PWY: gluconeogenesis I	GLUCONEO-PWY	24	40	16	2.07294484000251	1.9825319898650113	1.8562959277799689	0.216648912222541	0.22620370370370324	0.893059695699826	0.9298868996462106	False
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	GLUCOSE1PMETAB-PWY	20	36	21	1.5586257724223003	0.5452798520235542	0.4855555130925103	1.07307025932979	6.893301936159077	0.031852131756306225	0.3416596554463312	False
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	GLUCUROCAT-PWY	26	49	27	-0.2062321267044332	-0.6180074862860537	-0.14766294338197217	0.47034454290408156	5.696791902388725	0.057937180444381044	0.35328369255754377	False
GLUTORN-PWY: L-ornithine biosynthesis	GLUTORN-PWY	26	45	27	-0.625988060653649	-1.0384246986707932	-0.2696000282900078	0.7688246703807855	6.131021711974142	0.046630014556714894	0.35328369255754377	False
GLYCOCAT-PWY: glycogen degradation I (bacterial)	GLYCOCAT-PWY	21	39	19	-0.3884845210667933	-0.3441812473589221	-0.24902855319375547	0.13945596787303785	0.060337064667521645	0.9702819958790311	0.9849093626510768	False
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	GLYCOGENSYNTH-PWY	25	49	27	-0.3506039262981174	-0.1663306810025471	-0.4717362652048537	0.30540558420230657	0.9926847570711175	0.6087531813661158	0.8237470769445486	False
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	GLYCOLYSIS-E-D	24	46	25	0.6896698333756514	0.45815910599285903	-0.24885038296473574	0.9385202163403871	7.72532255911517	0.021012006226546493	0.3416596554463312	False
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	GLYCOLYSIS	26	50	27	2.3856752418784097	1.8643539861345233	2.1680126377656985	0.5213212557438864	7.031053918283192	0.02973213120693636	0.3416596554463312	False
GLYOXYLATE-BYPASS: glyoxylate cycle	GLYOXYLATE-BYPASS	20	34	22	2.927997566028044	1.1728744119840009	1.1013489029069752	1.8266486631210688	10.345152623902948	0.005669942445772093	0.3416596554463312	False
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	HEME-BIOSYNTHESIS-II	21	41	19	-0.3142636332165556	-0.07478842360110434	-0.667305007446842	0.5925165838457376	1.2125972277511323	0.5453657470623425	0.8160287474562458	False
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	HEMESYN2-PWY	25	44	25	-0.08201944668752087	-0.4440018503670503	-0.49708417691266066	0.4150647302251398	0.46114669652854445	0.7940781886092912	0.9008531192279791	False
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	HEXITOLDEGSUPER-PWY	21	41	23	-0.18337700190380526	-0.5479236706594403	-0.16309098231638336	0.3848326883430569	2.375747487581691	0.3048688045929559	0.6000691887651518	False
HISDEG-PWY: L-histidine degradation I	HISDEG-PWY	24	48	27	1.9966477560667588	1.6610500098925631	2.1248959851929685	0.4638459753004054	0.9245819304152292	0.6298390520274655	0.8237470769445486	False
HISTSYN-PWY: L-histidine biosynthesis	HISTSYN-PWY	26	49	27	-0.900998762680204	-0.6891563691501073	-0.6997610354886734	0.2118423935300967	0.70974887341049	0.7012614903839274	0.8533422955274298	False
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	HOMOSER-METSYN-PWY	24	44	24	-1.6664374825926824	-1.6328809582689023	-1.1924335322692283	0.4740039503234541	0.24391708104889176	0.8851850670505188	0.9298868996462106	False
HSERMETANA-PWY: L-methionine biosynthesis III	HSERMETANA-PWY	26	46	26	-0.9879747712229562	-1.1566004166633455	-1.1939919356254731	0.20601716440251694	0.41866208325842535	0.8111266744975808	0.9008531192279791	False
