AnalysisAccession	PipelineVersion	ExperimentType	StudyAccession	RunAccession	SampleAccession	SampleTitle	NucleicAcid	AssemblyAccession
MGYA00005043	V2	Metagenomic	MGYS00000410	ERR599078	SAMEA2623886	TARA_20120319T0818Z_152_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001173	DNA	
MGYA00005044	V2	Metagenomic	MGYS00000410	ERR599079	SAMEA2622021	TARA_20110403T2150Z_098_Combined-EVENTS_CAST_MB_D_(188 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001029	DNA	
MGYA00005045	V2	Metagenomic	MGYS00000410	ERR599070	SAMEA2623295	TARA_20111202T2042Z_137_EVENT_PUMP_MB_D_(40 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001964	RNA	
MGYA00005046	V2	Metagenomic	MGYS00000410	ERR599071	SAMEA2622048	TARA_20110404T1359Z_098_Combined-EVENTS_CAST_MB_M_(488 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100001013	DNA	
MGYA00005047	V2	Metagenomic	MGYS00000410	ERR599072	SAMEA2622568	TARA_20110615T1845Z_112_Combined-EVENTS_CAST_MB_M_(696 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000949	DNA	
MGYA00005048	V2	Metagenomic	MGYS00000410	ERR599073	SAMEA2619678	TARA_20091102T1407Z_018_EVENT_PUMP_P_D_(60 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_S200000501	DNA	
MGYA00005049	V2	Metagenomic	MGYS00000410	ERR599074	SAMEA2620194	TARA_20100330T0247Z_041_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-1.6_TARA_B100000282	RNA	
MGYA00005050	V2	Metagenomic	MGYS00000410	ERR599075	SAMEA2620230	TARA_20100404T0247Z_042_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000123	DNA	
MGYA00005051	V2	Metagenomic	MGYS00000410	ERR599076	SAMEA2623314	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MB_M_(375 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001971	RNA	
MGYA00005052	V2	Metagenomic	MGYS00000410	ERR599077	SAMEA2622452	TARA_20110531T1425Z_111_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000575	RNA	
MGYA00005053	V2	Metagenomic	MGYS00000410	ERR599171	SAMEA2621013	TARA_20100914T0655Z_068_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000475	DNA	
MGYA00005054	V2	Metagenomic	MGYS00000410	ERR599170	SAMEA2623808	TARA_20120305T0925Z_150_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100001769	RNA	
MGYA00005055	V2	Metagenomic	MGYS00000410	ERR599173	SAMEA2620929	TARA_20100715T1222Z_066_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B000000475	DNA	
MGYA00005056	V2	Metagenomic	MGYS00000410	ERR599172	SAMEA2620097	TARA_20100320T0817Z_039_Combined-EVENTS_CAST_MB_M_(270 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_B100000097	DNA	
MGYA00005057	V2	Metagenomic	MGYS00000410	ERR599175	SAMEA2623390	TARA_20111211T2040Z_138_Combined-EVENTS_CAST_MB_M_(450 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100002003	RNA	
MGYA00005058	V2	Metagenomic	MGYS00000410	ERR599174	SAMEA2621013	TARA_20100914T0655Z_068_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-3_TARA_B100000475	DNA	
MGYA00005059	V2	Metagenomic	MGYS00000410	ERR599176	SAMEA2621509	TARA_20110106T1038Z_085_EVENT_PUMP_P_S_(5 m)_BACT_NUC-RNA(10L-or-10min)_W0.22-3_TARA_B100000787	RNA	
