SampleAccession	ENAAccessions	SampleTitle	Latitude	Longitude	DepthAnnotation	DepthM	SamplingSite	ProtocolLabel	NucleicAcid	SizeFractionMicrometre	CollectionDateStart	CollectionDateEnd	EnvironmentFeature	EnvironmentMaterial	BroadContext	LocalContext	Temperature	Salinity	Status	MetadataStudyAccessions	ValidCoordinates
SAMEA2591084	SAMEA2591084;ERS477979	TARA_20091118T0841Z_023_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000075	42.2038	17.715	5	5	TARA_023	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2009-11-18	2009-11-18	surface water (ENVO:00002042) layer	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	marine biome (ENVO:00000447)	surface water (ENVO:00002042) layer			public	PRJEB7988;PRJEB6610	True
SAMEA2591098	SAMEA2591098;ERS477998	TARA_20091118T1240Z_023_EVENT_PUMP_P_D_(55-57m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000081	42.1735	17.7252	55	55	TARA_023	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2009-11-18	2009-11-18	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2591108	ERS478017;SAMEA2591108	TARA_20091215T1041Z_030_EVENT_PUMP_P_S_(5-7m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001015	33.9179	32.898	5	5	TARA_030	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2009-12-15	2009-12-15	surface water (ENVO:00002042) layer	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	marine biome (ENVO:00000447)	surface water (ENVO:00002042) layer			public	PRJEB7988;PRJEB1787	True
SAMEA2591122	SAMEA2591122;ERS478040	TARA_20091215T1512Z_030_Combined-EVENTS_CAST_MB_D_(70-75m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001011	33.9235	32.8118	70	70	TARA_030	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2009-12-15	2009-12-15	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB1787	True
SAMEA2619376	ERS487899;SAMEA2619376	TARA_20090915T1130Z_004_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_X000000263	36.5533	-6.5669	5	5	TARA_004	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2009-09-14	2009-09-15	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2619399	ERS487936;SAMEA2619399	TARA_20090915T1800Z_004_EVENT_PUMP_P_D_(40 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_X000000368	36.5533	-6.5669	40	40	TARA_004	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2009-09-14	2009-09-15	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2619667	ERS488330;SAMEA2619667	TARA_20091102T0813Z_018_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100000164	35.759	14.2574	5	5	TARA_018	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2009-11-02	2009-11-02	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2619678	SAMEA2619678;ERS488346	TARA_20091102T1407Z_018_EVENT_PUMP_P_D_(60 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_S200000501	35.7528	14.2765	60	60	TARA_018	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2009-11-02	2009-11-02	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2619766	ERS488486;SAMEA2619766	TARA_20091123T0912Z_025_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000178	39.3888	19.3905	5	5	TARA_025	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2009-11-23	2009-11-23	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
SAMEA2619782	SAMEA2619782;ERS488509	TARA_20091123T1352Z_025_EVENT_PUMP_P_D_(50 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_E500000331	39.3991	19.3997	50	50	TARA_025	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2009-11-23	2009-11-23	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)			public	PRJEB7988;PRJEB6610	True
SAMEA2619802	SAMEA2619802;ERS488545	TARA_20100109T0715Z_031_EVENT_PUMP_P_S_(5 m)_BACT_NUC-DNA(100L)_W0.22-1.6_TARA_A100001403	27.16	27.1433	5	5	TARA_031	BACT_NUC-DNA(100L)_W0.22-1.6	DNA	0.22-1.6	2010-01-09	2010-01-09	surface water layer (ENVO:00002042)	"""saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"""	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)			public	PRJEB7988;PRJEB6610	True
