EcosystemCategory	MAGs	Metagenomes	SpeciesOTUs	HighQuality	MeanCompleteness	MeanContamination	HighQualityPct
Aquatic	19300	2528	8296	2526	80.04241969	1.430377202	13.0880829
Human	16441	1823	1756	3747	85.30875555	0.9833331306	22.79058451
Terrestrial	3411	880	2266	497	82.12283495	1.565004398	14.57050718
Built environment	2640	929	693	915	90.45926136	1.060261364	34.65909091
Wastewater	2627	168	1212	492	82.40405786	1.682957746	18.72858774
Mammals	1482	96	788	107	82.10908232	1.155708502	7.219973009
Plants	1131	244	629	132	81.53414677	1.467860301	11.67108753
Bioreactor	1090	57	407	118	86.22352294	1.280587156	10.82568807
Lab enrichment	814	105	392	178	87.02341523	1.288181818	21.86732187
Arthropoda	750	90	604	83	82.43716	1.28944	11.06666667
Solid waste	436	29	348	48	80.77277523	1.426880734	11.00917431
Animal	420	25	278	27	84.48616667	0.9664761905	6.428571429
Fungi	288	80	145	19	82.77024306	1.156006944	6.597222222
Biotransformation	272	14	153	10	81.51827206	1.675919118	3.676470588
Insecta	248	34	79	26	90.60979839	0.8494354839	10.48387097
Algae	233	52	183	29	81.09227468	1.348626609	12.44635193
Bioremediation	204	16	175	28	83.83147059	1.431029412	13.7254902
Modeled	157	27	83	49	86.85006369	1.164203822	31.21019108
Porifera	131	7	40	49	85.96114504	1.29221374	37.40458015
Annelida	126	39	83	21	84.64190476	1.209206349	16.66666667
Birds	121	14	86	8	82.92446281	0.783553719	6.611570248
Microbial	93	9	68	17	85.98623656	0.9374193548	18.27956989
Cnidaria	22	5	20	5	91.88909091	1.263181818	22.72727273
Air	21	9	6	1	81.30428571	0.9571428571	4.761904762
Industrial production	13	2	12	5	89.79692308	1.466153846	38.46153846
Lab synthesis	12	3	9	0	86.19166667	1.101666667	0
Mollusca	12	7	8	1	79.31583333	1.141666667	8.333333333
Fish	9	3	7	1	77.80333333	1.016666667	11.11111111
Tunicates	6	6	2	3	85.58	0.64	50
Invertebrates	5	3	5	1	89.204	1.322	20
