GenomeID	Completeness	Contamination	QualityScore	MIMAGQuality	EcosystemCategory
3300017991_18	93.18	4.55	70.43	MQ	Aquatic
3300027777_37	77.52	1.18	71.62	MQ	Aquatic
3300025594_7	85.83	0.79	81.88	MQ	Aquatic
3300020449_37	62.99	1.72	54.39	MQ	Aquatic
3300028571_64	62.63	2.14	51.93	MQ	Aquatic
3300027834_53	68.39	1.39	61.44	MQ	Aquatic
3300026140_8	76.47	2.45	64.22	MQ	Aquatic
3300027790_43	57.76	0	57.76	MQ	Aquatic
3300005278_30	60.75	0.31	59.2	MQ	Aquatic
3300025161_35	99.52	2.14	88.82	MQ	Aquatic
3300025602_11	60.94	1.68	52.54	MQ	Aquatic
3300002154_6	92.13	2.31	80.58	MQ	Aquatic
3300001679_14	74.53	0.16	73.73	MQ	Aquatic
3300028044_43	73.98	0.35	72.23	MQ	Aquatic
3300024324_13	80.05	0.68	76.65	MQ	Aquatic
3300025648_28	62.79	0.96	57.99	MQ	Aquatic
3300027835_288	52.32	0	52.32	MQ	Aquatic
3300027323_24	90.68	0	90.68	HQ	Aquatic
3300017969_54	72.47	1.95	62.72	MQ	Aquatic
3300026237_3	67.49	1.42	60.39	MQ	Aquatic
3300025665_39	64.29	0	64.29	MQ	Aquatic
3300027896_37	97.31	0.99	92.36	HQ	Aquatic
3300020419_14	64.21	0	64.21	MQ	Aquatic
3300020477_74	71.52	0.87	67.17	MQ	Aquatic
3300024259_26	96.58	1.28	90.18	HQ	Aquatic
3300017963_30	92.91	4.46	70.61	MQ	Aquatic
3300020338_19	77.96	3.3	61.46	MQ	Aquatic
3300027974_20	69.82	1.09	64.37	MQ	Aquatic
3300017950_36	91.51	0.1	91.01	MQ	Aquatic
3300017389_32	56.72	0	56.72	MQ	Aquatic
3300017444_54	96.58	2.56	83.78	HQ	Aquatic
3300011118_52	55.44	1.08	50.04	MQ	Aquatic
3300012952_8	95.92	0.52	93.32	MQ	Aquatic
3300024951_5	82.76	3.45	65.51	MQ	Aquatic
3300013130_52	56.7	1.28	50.3	MQ	Aquatic
3300027763_34	56.37	1.09	50.92	MQ	Aquatic
3300013094_44	77.7	1.18	71.8	MQ	Aquatic
3300009702_77	91.72	0.63	88.57	MQ	Aquatic
3300020429_9	99.19	2.29	87.74	MQ	Aquatic
3300009083_65	68.67	0.55	65.92	MQ	Aquatic
3300013131_43	88.47	1.07	83.12	MQ	Aquatic
3300011189_36	69.17	0	69.17	MQ	Aquatic
3300026199_48	74.43	0	74.43	MQ	Aquatic
