GenomeID	EcosystemCategory	Longitude	Latitude	MIMAGQuality
3300026255_25	Bioreactor	-122.305	47.6525	MQ
3300029852_12	Human	-0.12	51.5	HQ
3300020386_23	Aquatic	-153.714	0.0095	MQ
3300012148_17	Fungi	-74.5218	39.873	MQ
3300025347_2	Aquatic	-119.478	48.9726	MQ
3300011155_4	Built environment	-73.93	40.74	MQ
3300017648_12	Terrestrial	-122.29	37.83	MQ
3300010354_36	Aquatic	-76.0017	39.2637	MQ
3300029824_1	Bioreactor	104.06	30.65	MQ
3300027419_8	Bioremediation	-106.08	35.992	MQ
3300005337_29	Terrestrial	-85.3738	42.3948	MQ
3300023179_78	Aquatic	-83.95	34.2611	MQ
3300027720_19	Aquatic	-81.73	41.77	MQ
3300025519_1	Lab enrichment	-121.75	38.5402	HQ
3300012816_4	Terrestrial	-89.4011	43.073	MQ
3300029716_18	Human	-0.12	51.5	HQ
3300014951_17	Human	12.531	55.678	MQ
3300029620_42	Human	-0.12	51.5	MQ
3300021319_21	Mammals	-119.841	34.4149	MQ
3300027090_1	Terrestrial	-72.2095	42.533	MQ
3300008098_36	Human	-77.1012	39.0043	MQ
3300029255_11	Wastewater	17.6598	59.8445	MQ
3300000318_7	Aquatic	-121.646	38.1068	HQ
3300020263_18	Aquatic	-49.3613	-61.9898	MQ
3300014094_2	Built environment	-73.94	40.81	HQ
3300020084_59	Aquatic	29.4853	-4.9054	MQ
3300005529_43	Terrestrial	-76.3402	40.7999	HQ
3300029195_13	Human	116.416	39.9119	MQ
3300029394_16	Human	-76.6259	39.2885	HQ
3300021484_9	Aquatic	-110.596	27.0114	MQ
3300025247_7	Aquatic	-170.741	-5.7497	MQ
3300012098_5	Fungi	-81.8037	27.6228	MQ
3300025576_8	Aquatic	-93.4828	47.5028	MQ
3300011507_4	Built environment	-73.96	40.72	MQ
3300008281_11	Human	-77.1012	39.0043	MQ
3300027026_2	Lab enrichment	-67.0188	17.9673	HQ
3300029336_33	Human	-76.6259	39.2885	HQ
3300005286_20	Solid waste	-121.75	38.5403	HQ
3300028569_23	Aquatic	-1.8737	39.9879	MQ
3300025860_17	Aquatic	7.9	54.1842	HQ
3300025751_15	Aquatic	-75.3633	39.283	MQ
3300007093_19	Human	-77.1012	39.0043	MQ
3300001913_7	Tunicates	-81.8083	24.5512	MQ
3300021387_124	Mammals	171.6	-42.26	MQ
3300029112_13	Human	116.416	39.9119	MQ
3300020385_28	Aquatic	-73.0366	-33.832	MQ
3300025698_4	Aquatic	78.188	-68.4725	HQ
3300025064_1	Aquatic	-65.114	10.847	MQ
3300020430_25	Aquatic	-140.317	-8.8951	MQ
3300013022_5	Fungi	-48.434	-22.847	MQ
3300019372_7	Mammals	-119.84	34.4148	HQ
