CatalogueID	Name	Version	Status	CatalogueType	Scope	Biome	BiomeLineage	RepresentativeClusters	InputGenomes	PipelineVersion	UpdatedAt	FTPURL
soil-v1-0	Soil v1.0	1.0	published	prokaryotes	Environmental	Soil	root:Environmental:Terrestrial:Soil	19472	20908	v2.5.0	2025-07-16T08:40:45Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/soil/v1.0
marine-v2-0	Marine v2.0	2.0	published	prokaryotes	Environmental	Marine	root:Environmental:Aquatic:Marine	13223	50866	v2.3.0	2024-05-12T08:38:43Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v2.0/
marine-sediment-v1-0	Marine Sediment v1.0	1.0	published	prokaryotes	Environmental	Marine sediment	root:Environmental:Aquatic:Marine:Sediment	6158	10126	v2.5.0	2025-11-19T08:37:22Z	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine-sediment/v1.0/
human-gut-v2-0-2	Human Gut v2.0.2	2.0.2	published	prokaryotes	Host-associated	Human gut	root:Host-associated:Human:Digestive system:Large intestine	4744	289232	v1.2.1	2024-01-23T08:42:38Z	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-gut/v2.0.2
mouse-gut-v1-0	Mouse Gut v1.0	1.0	published	prokaryotes	Host-associated	Mouse gut	root:Host-associated:Mammals:Gastrointestinal tract:Intestine	2847	112951	v2.2.1	2023-12-08T08:41:16Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/mouse-gut/v1.0
cow-rumen-v1-0-1	Cow Rumen v1.0.1	1.0.1	published	prokaryotes	Host-associated	Cow rumen	root:Host-associated:Mammals:Digestive system:Stomach:Rumen	2729	5578	v1.2.1	2023-01-23T08:42:59Z	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/cow-rumen/v1.0.1
sheep-rumen-v1-0	Sheep Rumen v1.0	1.0	published	prokaryotes	Host-associated	Sheep rumen	root:Host-associated:Mammals:Digestive system:Stomach:Rumen	2172	2904	v2.4.0	2024-08-16T08:40:52Z	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/sheep-rumen/v1.0/
pig-gut-v1-0	Pig Gut v1.0	1.0	published	prokaryotes	Host-associated	Pig gut	root:Host-associated:Mammals:Gastrointestinal tract	1376	3972	v1.3.1	2022-11-29T08:41:00Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/pig-gut/v1.0
chicken-gut-v1-0-1	Chicken Gut v1.0.1	1.0.1	published	prokaryotes	Host-associated	Chicken gut	root:Host-associated:Birds:Digestive system	1322	13386	2.0.0	2024-01-23T11:32:26Z	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/chicken-gut/v1.0.1
human-skin-v1-0	Human Skin v1.0	1.0	published	prokaryotes	Host-associated	Human skin	root:Host-associated:Human:Digestive system:Oral	579	4611	v2.5.0	2025-07-25T08:42:02Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-skin/v1.0/
tomato-rhizosphere-v1-0	Tomato Rhizosphere v1.0	1.0	published	prokaryotes	Plant-associated	Tomato rhizosphere	root:Host-associated:Plants:Rhizosphere	579	666	v2.5.0	2025-08-29T08:40:34Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/tomato-rhizosphere/v1.0
human-oral-v1-0-1	Human Oral v1.0.1	1.0.1	published	prokaryotes	Host-associated	Human oral	root:Host-associated:Human:Digestive system:Oral	452	1225	v1.2.1	2024-01-23T08:32:50Z	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-oral/v1.0.1/
maize-rhizosphere-v1-0	Maize Rhizosphere v1.0	1.0	published	prokaryotes	Plant-associated	Maize rhizosphere	root:Host-associated:Plants:Rhizosphere	336	431	v2.5.0	2025-08-29T08:41:39Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/maize-rhizosphere/v1.0
human-vaginal-v1-0	Human Vaginal v1.0	1.0	published	prokaryotes	Host-associated	Human vaginal	root:Host-associated:Human:Reproductive system:Vagina	280	618	v2.1.0	2023-08-15T08:41:52Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0
non-model-fish-gut-v2-0	Non Model Fish Gut v2.0	2.0	published	prokaryotes	Host-associated	Non model fish gut	root:Host-associated:Fish:Digestive system	178	254	2.0.0	2023-04-26T11:31:29Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/non-model-fish-gut/v2.0/
honeybee-gut-v1-0-1	Honeybee Gut v1.0.1	1.0.1	published	prokaryotes	Host-associated	Honeybee gut	root:Host-associated:Insecta:Digestive system	154	627	2.1.1	2024-01-23T11:30:40Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/honeybee-gut/v1.0.1/
barley-rhizosphere-v2-0	Barley Rhizosphere v2.0	2.0	published	prokaryotes	Plant-associated	Barley Rhizosphere	root:Host-associated:Plants:Rhizosphere	86	103	3.0.0	2025-12-12T11:29:35Z	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/barley-rhizosphere/v2.0/
zebrafish-fecal-v1-0	Zebrafish fecal v1.0	1.0	published	prokaryotes	Host-associated	Zebrafish Fecal	root:Host-associated:Fish:Digestive system:Intestine	79	101	v1.3.1	2022-11-28T08:34:14Z	https://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/zebrafish-fecal/v1.0/
marine-eukaryotes-vbeta	Marine Eukaryotes vbeta	beta	published	eukaryotes	Environmental	Marine	root:Environmental:Aquatic:Lentic:Brackish	16	249	v3.0.0dev	2025-03-24T16:04:32Z	http://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine-eukaryotes/vbeta/
