FeatureSpace	Distance	Variant	Features	Samples	PairCount	Minimum	Median	Maximum
Species	Bray-Curtis	Primary closure	298	24	276	0	0.997878924759205	1
Species	Binary Jaccard	Presence/absence	298	24	276	0	0.96551724137931	1
Species	Aitchison	Pseudocount 1e-06	298	24	276	0	59.9428483178532	93.9059625815031
Species	Aitchison	Pseudocount 1e-05	298	24	276	0	42.9905007830221	69.1177333432042
Gene families	Bray-Curtis	Prevalence >=20%	178928	24	276	0.26297508252948	0.98802192388177	0.999872578231555
Gene families	Binary Jaccard	Prevalence >=20%	178928	24	276	0.247207549021211	0.973337695479472	0.99989931230303
Gene families	Aitchison	Pseudocount 1e-08	178928	24	276	118.89041173685	1338.64244151323	2424.76595224487
Gene families	Aitchison	Pseudocount 1e-07	178928	24	276	96.8808400957996	901.958103791898	1602.10436601063
MAG catalog	Bray-Curtis	Catalog closure	780	500	124750	0.152812573643539	0.829088569429086	1
MAG catalog	Binary Jaccard	Presence/absence	780	500	124750	0.25	0.831649831649832	1
