Topic	AuthorizedInterpretation	ProhibitedClaim
Hill q=0	Observed richness conditional on detection and filtering	Complete biological richness
Hill q=1	Effective number weighted by common features	Raw feature count
Hill q=2	Effective number dominated by abundant features	Raw feature count
Species versus genes	Same human samples but different feature universes and measurement models	Which omics layer is more diverse
MAG closure	Composition within 780 recovered MAGs only; recruitment remains separate	Percent of all community reads
Bray-Curtis	Difference in closed abundance profiles	Taxonomic turnover without denominator context
Binary Jaccard	Difference in detected feature membership	Abundance difference
Aitchison	Log-ratio geometry after declared filtering and zero replacement	Pseudocount-free truth
PCoA	Descriptive coordinates with raw negative eigenvalues and Cailliez correction recorded	Significant group separation
Inference	No group test, permutation, or pairwise-distance p-value in Article 22	Biological significance
