Dataset	FeatureSpace	SampleID	Q	Metric	Value	SubjectID	AgeCategory	HotSpring	Temperature	DetectionBoundary
AsnicarF_2017	Species	MV_FEI1_t1Q14	0	Observed richness	37	MV_FEI1	newborn			Detection/filter dependent
AsnicarF_2017	Species	MV_FEI2_t1Q14	0	Observed richness	27	MV_FEI2	newborn			Detection/filter dependent
AsnicarF_2017	Species	MV_FEI3_t1Q14	0	Observed richness	31	MV_FEI3	newborn			Detection/filter dependent
AsnicarF_2017	Species	MV_FEI4_t1Q14	0	Observed richness	9	MV_FEI4	child			Detection/filter dependent
AsnicarF_2017	Species	MV_FEI4_t2Q15	0	Observed richness	40	MV_FEI4	child			Detection/filter dependent
AsnicarF_2017	Species	MV_FEI5_t1Q14	0	Observed richness	32	MV_FEI5	child			Detection/filter dependent
AsnicarF_2017	Species	MV_FEI5_t2Q14	0	Observed richness	72	MV_FEI5	child			Detection/filter dependent
AsnicarF_2017	Species	MV_FEI5_t3Q15	0	Observed richness	54	MV_FEI5	child			Detection/filter dependent
AsnicarF_2017	Species	MV_FEM1_t1Q14	0	Observed richness	63	MV_FEM1	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_FEM2_t1Q14	0	Observed richness	90	MV_FEM2	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_FEM3_t1Q14	0	Observed richness	86	MV_FEM3	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_FEM4_t1Q14	0	Observed richness	57	MV_FEM4	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_FEM4_t2Q15	0	Observed richness	102	MV_FEM4	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_FEM5_t1Q14	0	Observed richness	88	MV_FEM5	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_FEM5_t2Q14	0	Observed richness	49	MV_FEM5	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_FEM5_t3Q15	0	Observed richness	101	MV_FEM5	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_MIM1_t1M14	0	Observed richness	1	MV_MIM1	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_MIM2_t1M14	0	Observed richness	1	MV_MIM2	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_MIM3_t1M14	0	Observed richness	2	MV_MIM3	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_MIM4_t1M14	0	Observed richness	2	MV_MIM4	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_MIM4_t2F15	0	Observed richness	3	MV_MIM4	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_MIM5_t1M14	0	Observed richness	3	MV_MIM5	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_MIM5_t2M14	0	Observed richness	4	MV_MIM5	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_MIM5_t3F15	0	Observed richness	42	MV_MIM5	adult			Detection/filter dependent
AsnicarF_2017	Species	MV_FEI1_t1Q14	1	exp(Shannon)	4.33468380693925	MV_FEI1	newborn			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI2_t1Q14	1	exp(Shannon)	2.89233116560409	MV_FEI2	newborn			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI3_t1Q14	1	exp(Shannon)	1.95277017755805	MV_FEI3	newborn			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI4_t1Q14	1	exp(Shannon)	2.99280902807266	MV_FEI4	child			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI4_t2Q15	1	exp(Shannon)	7.94318994070255	MV_FEI4	child			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI5_t1Q14	1	exp(Shannon)	2.46229392359771	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI5_t2Q14	1	exp(Shannon)	16.1056477958647	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI5_t3Q15	1	exp(Shannon)	11.1429158599031	MV_FEI5	child			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM1_t1Q14	1	exp(Shannon)	3.11720080492546	MV_FEM1	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM2_t1Q14	1	exp(Shannon)	31.4446803285151	MV_FEM2	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM3_t1Q14	1	exp(Shannon)	15.3877679223805	MV_FEM3	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM4_t1Q14	1	exp(Shannon)	6.28733629890674	MV_FEM4	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM4_t2Q15	1	exp(Shannon)	20.8700944034493	MV_FEM4	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM5_t1Q14	1	exp(Shannon)	19.0171670611481	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM5_t2Q14	1	exp(Shannon)	6.5961191120458	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEM5_t3Q15	1	exp(Shannon)	34.3629582862333	MV_FEM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM1_t1M14	1	exp(Shannon)	1	MV_MIM1	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM2_t1M14	1	exp(Shannon)	1	MV_MIM2	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM3_t1M14	1	exp(Shannon)	1.55052634231643	MV_MIM3	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM4_t1M14	1	exp(Shannon)	1.54785590464293	MV_MIM4	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM4_t2F15	1	exp(Shannon)	2.04435464879047	MV_MIM4	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM5_t1M14	1	exp(Shannon)	2.54842327844941	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM5_t2M14	1	exp(Shannon)	2.90623580008089	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_MIM5_t3F15	1	exp(Shannon)	10.2346859199497	MV_MIM5	adult			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI1_t1Q14	2	Inverse Simpson	2.56372464872204	MV_FEI1	newborn			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI2_t1Q14	2	Inverse Simpson	2.23364716216917	MV_FEI2	newborn			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI3_t1Q14	2	Inverse Simpson	1.35823280740509	MV_FEI3	newborn			Abundance-weighted effective number
AsnicarF_2017	Species	MV_FEI4_t1Q14	2	Inverse Simpson	2.59929701872536	MV_FEI4	child			Abundance-weighted effective number
