UnitType	UnitID	Profiles	Repeated	SampleIDs	Dataset	Boundary
Human subject	MV_FEI1	1	No	MV_FEI1_t1Q14	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_FEI2	1	No	MV_FEI2_t1Q14	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_FEI3	1	No	MV_FEI3_t1Q14	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_FEI4	2	Yes	MV_FEI4_t1Q14;MV_FEI4_t2Q15	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_FEI5	3	Yes	MV_FEI5_t1Q14;MV_FEI5_t2Q14;MV_FEI5_t3Q15	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_FEM1	1	No	MV_FEM1_t1Q14	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_FEM2	1	No	MV_FEM2_t1Q14	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_FEM3	1	No	MV_FEM3_t1Q14	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_FEM4	2	Yes	MV_FEM4_t1Q14;MV_FEM4_t2Q15	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_FEM5	3	Yes	MV_FEM5_t1Q14;MV_FEM5_t2Q14;MV_FEM5_t3Q15	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_MIM1	1	No	MV_MIM1_t1M14	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_MIM2	1	No	MV_MIM2_t1M14	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_MIM3	1	No	MV_MIM3_t1M14	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_MIM4	2	Yes	MV_MIM4_t1M14;MV_MIM4_t2F15	AsnicarF_2017	Repeated profiles are not independent biological replicates
Human subject	MV_MIM5	3	Yes	MV_MIM5_t1M14;MV_MIM5_t2M14;MV_MIM5_t3F15	AsnicarF_2017	Repeated profiles are not independent biological replicates
