SensitivityType	FeatureSpace	Variant	Features	Metric	Value	Reference	Interpretation
Prevalence filter	Gene families	10%	415581	Median Hill q=0	78850	20% primary	Feature-universe sensitivity; not a biological group test
Prevalence filter	Gene families	10%	415581	Median Hill q=1	20527.0739358103	20% primary	Feature-universe sensitivity; not a biological group test
Prevalence filter	Gene families	10%	415581	Median Hill q=2	6574.9751438261	20% primary	Feature-universe sensitivity; not a biological group test
Prevalence filter	Gene families	20%	178928	Median Hill q=0	56066.5	20% primary	Feature-universe sensitivity; not a biological group test
Prevalence filter	Gene families	20%	178928	Median Hill q=1	14759.292166145	20% primary	Feature-universe sensitivity; not a biological group test
Prevalence filter	Gene families	20%	178928	Median Hill q=2	4683.16807549177	20% primary	Feature-universe sensitivity; not a biological group test
Prevalence filter	Gene families	50%	1896	Median Hill q=0	1160.5	20% primary	Feature-universe sensitivity; not a biological group test
Prevalence filter	Gene families	50%	1896	Median Hill q=1	221.652345540835	20% primary	Feature-universe sensitivity; not a biological group test
Prevalence filter	Gene families	50%	1896	Median Hill q=2	92.5135405833378	20% primary	Feature-universe sensitivity; not a biological group test
Distance geometry	Gene families	Bray prevalence 10% vs 20%	415581	Pairwise-distance Spearman rho	0.996759749432799	20% primary	Pairs are non-independent; no p-value
Distance geometry	Gene families	Bray prevalence 50% vs 20%	1896	Pairwise-distance Spearman rho	0.799142934359683	20% primary	Pairs are non-independent; no p-value
Zero replacement	Gene families	Aitchison 1e-08 vs 1e-07	178928	Pairwise-distance Spearman rho	0.982490546653158	1e-08 primary	Pairs are non-independent; no p-value
Zero replacement	Species	Aitchison 1e-06 vs 1e-05	298	Pairwise-distance Spearman rho	0.996606191503036	1e-06 primary	Pairs are non-independent; no p-value
Catalog recovery	MAG catalog	Richness vs read recruitment	780	Descriptive Spearman rho	0.156019086186648	500 samples	No p-value and no causal interpretation
