Habitat	Units	FeatureID	Label	BootstrapReplicates	CoreInclusionFrequency
Anterior nares	74	SP0001	Parabacteroides merdae	1000	0
Anterior nares	74	SP0002	Bacteroides vulgatus	1000	0
Anterior nares	74	SP0003	Bacteroides cellulosilyticus	1000	0
Anterior nares	74	SP0004	Parabacteroides distasonis	1000	0
Anterior nares	74	SP0005	Bacteroides sp CAG 927	1000	0
Anterior nares	74	SP0006	Bacteroides ovatus	1000	0
Anterior nares	74	SP0007	Bacteroides caccae	1000	0
Anterior nares	74	SP0008	Alistipes putredinis	1000	0
Anterior nares	74	SP0009	Parasutterella excrementihominis	1000	0
Anterior nares	74	SP0010	Faecalibacterium prausnitzii	1000	0
Anterior nares	74	SP0011	Alistipes shahii	1000	0
Anterior nares	74	SP0012	Ruminococcus bicirculans	1000	0
Anterior nares	74	SP0013	Roseburia intestinalis	1000	0
Anterior nares	74	SP0014	Lachnospira pectinoschiza	1000	0
Anterior nares	74	SP0015	Eubacterium sp CAG 38	1000	0
Anterior nares	74	SP0016	Proteobacteria bacterium CAG 139	1000	0
Anterior nares	74	SP0017	Odoribacter splanchnicus	1000	0
Anterior nares	74	SP0018	Oscillibacter sp 57 20	1000	0
Anterior nares	74	SP0019	Turicimonas muris	1000	0
Anterior nares	74	SP0020	Akkermansia muciniphila	1000	0
Anterior nares	74	SP0021	Roseburia hominis	1000	0
Anterior nares	74	SP0022	Coprococcus eutactus	1000	0
Anterior nares	74	SP0023	Eubacterium rectale	1000	0
Anterior nares	74	SP0024	Bacteroides fragilis	1000	0
Anterior nares	74	SP0025	Ruthenibacterium lactatiformans	1000	0
Anterior nares	74	SP0026	Alistipes indistinctus	1000	0
Anterior nares	74	SP0027	Eubacterium ventriosum	1000	0
Anterior nares	74	SP0028	Fusicatenibacter saccharivorans	1000	0
Anterior nares	74	SP0029	Gemmiger formicilis	1000	0
Anterior nares	74	SP0030	Eubacterium eligens	1000	0
Anterior nares	74	SP0031	Butyricimonas synergistica	1000	0
Anterior nares	74	SP0032	Agathobaculum butyriciproducens	1000	0
Anterior nares	74	SP0033	Butyricimonas virosa	1000	0
Anterior nares	74	SP0034	Anaerostipes hadrus	1000	0
Anterior nares	74	SP0035	Dorea formicigenerans	1000	0
Anterior nares	74	SP0036	Streptococcus parasanguinis	1000	0
Anterior nares	74	SP0037	Eubacterium ramulus	1000	0
Anterior nares	74	SP0038	Oscillibacter sp CAG 241	1000	0
Anterior nares	74	SP0039	Firmicutes bacterium CAG 145	1000	0
Anterior nares	74	SP0040	Veillonella dispar	1000	0
Anterior nares	74	SP0041	Intestinimonas butyriciproducens	1000	0
Anterior nares	74	SP0042	Blautia obeum	1000	0
Anterior nares	74	SP0043	Bacteroides galacturonicus	1000	0
Anterior nares	74	SP0044	Veillonella atypica	1000	0
Anterior nares	74	SP0045	Veillonella parvula	1000	0
