UnitSet	Habitat	Units	FeatureID	Label	Phylum	CoreEligible	Detected	Prevalence	WilsonLower	WilsonUpper	MeanRelativeAbundance	MedianWhenDetected	OperationalCore	BootstrapInclusionFrequency	StableCore	SelectionScore
Subject-habitat representatives	Anterior nares	74	SP0001	Parabacteroides merdae	Bacteroidetes	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.000393620237102714	0.0084299	FALSE	0	FALSE	0.000804318845103171
Subject-habitat representatives	Anterior nares	74	SP0002	Bacteroides vulgatus	Bacteroidetes	TRUE	9	0.121621621621622	0.0653231565782262	0.215265865667688	0.00204027814920559	0.0151025	FALSE	0	FALSE	0.00549358032418221
Subject-habitat representatives	Anterior nares	74	SP0003	Bacteroides cellulosilyticus	Bacteroidetes	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.0000422391884043244	0.00156284997096	FALSE	0	FALSE	0.000175653196907641
Subject-habitat representatives	Anterior nares	74	SP0004	Parabacteroides distasonis	Bacteroidetes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.000013836485102838	0.00102389989761001	FALSE	0	FALSE	0.0000502667920600654
Subject-habitat representatives	Anterior nares	74	SP0005	Bacteroides sp CAG 927	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0006	Bacteroides ovatus	Bacteroidetes	TRUE	4	0.0540540540540541	0.0212190121728748	0.130903764045524	0.000469862136246492	0.00405635033490004	FALSE	0	FALSE	0.00117169208460016
Subject-habitat representatives	Anterior nares	74	SP0007	Bacteroides caccae	Bacteroidetes	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.000136210802793785	0.00218020021802002	FALSE	0	FALSE	0.000473146150755955
Subject-habitat representatives	Anterior nares	74	SP0008	Alistipes putredinis	Bacteroidetes	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.000156167539612573	0.00577819896566519	FALSE	0	FALSE	0.000337748679708277
Subject-habitat representatives	Anterior nares	74	SP0009	Parasutterella excrementihominis	Proteobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0010	Faecalibacterium prausnitzii	Firmicutes	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.0000556216112898668	0.00205799961772507	FALSE	0	FALSE	0.000201567290864448
Subject-habitat representatives	Anterior nares	74	SP0011	Alistipes shahii	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0012	Ruminococcus bicirculans	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0013	Roseburia intestinalis	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0014	Lachnospira pectinoschiza	Firmicutes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.0000224067545160813	0.00165809983419002	FALSE	0	FALSE	0.0000639672614688556
Subject-habitat representatives	Anterior nares	74	SP0015	Eubacterium sp CAG 38	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0016	Proteobacteria bacterium CAG 139	Proteobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0017	Odoribacter splanchnicus	Bacteroidetes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.00000698918849027034	0.000517199948280005	FALSE	0	FALSE	0.0000357257748410972
Subject-habitat representatives	Anterior nares	74	SP0018	Oscillibacter sp 57 20	Firmicutes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.0000056702697032433	0.000419599958040004	FALSE	0	FALSE	0.000032178821778954
Subject-habitat representatives	Anterior nares	74	SP0019	Turicimonas muris	Proteobacteria	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0020	Akkermansia muciniphila	Verrucomicrobia	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0021	Roseburia hominis	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0022	Coprococcus eutactus	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0023	Eubacterium rectale	Firmicutes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.000012486485237838	0.000923999907600009	FALSE	0	FALSE	0.0000477516501763552
Subject-habitat representatives	Anterior nares	74	SP0024	Bacteroides fragilis	Bacteroidetes	TRUE	2	0.027027027027027	0.00744335263826722	0.093292925169125	0.0000765607957044625	0.00283274944106511	FALSE	0	FALSE	0.000236483854355178
Subject-habitat representatives	Anterior nares	74	SP0025	Ruthenibacterium lactatiformans	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0026	Alistipes indistinctus	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0027	Eubacterium ventriosum	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0028	Fusicatenibacter saccharivorans	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0029	Gemmiger formicilis	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0030	Eubacterium eligens	Firmicutes	TRUE	1	0.0135135135135135	0.00238946340345682	0.0726535651984323	0.0000162202686482434	0.00120029987997001	FALSE	0	FALSE	0.0000544248576418524
Subject-habitat representatives	Anterior nares	74	SP0031	Butyricimonas synergistica	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0032	Agathobaculum butyriciproducens	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0033	Butyricimonas virosa	Bacteroidetes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0034	Anaerostipes hadrus	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0035	Dorea formicigenerans	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0036	Streptococcus parasanguinis	Firmicutes	TRUE	3	0.0405405405405405	0.0138824312219789	0.112547095790916	0.000205318871667851	0.00188149905925047	FALSE	0	FALSE	0.000580903468300302
Subject-habitat representatives	Anterior nares	74	SP0037	Eubacterium ramulus	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0038	Oscillibacter sp CAG 241	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0039	Firmicutes bacterium CAG 145	Firmicutes	TRUE	0	0	0	0.049349779396386	0	0	FALSE	0	FALSE	0
Subject-habitat representatives	Anterior nares	74	SP0040	Veillonella dispar	Firmicutes	TRUE	4	0.0540540540540541	0.0212190121728748	0.130903764045524	0.00037333924063704	0.00335309983755008	FALSE	0	FALSE	0.0010444318122696
