Rank	FeatureID	Label	GlobalMeanRelativeAbundance	DisplayOrder
Phylum	PH0002	Firmicutes	0.368123814612402	1
Phylum	PH0006	Actinobacteria	0.238088732512261	2
Phylum	PH0001	Bacteroidetes	0.227013011264327	3
Phylum	PH0003	Proteobacteria	0.130930057180819	4
Phylum	PH0008	Fusobacteria	0.0261086307040624	5
Phylum	PH0013	Basidiomycota	0.00718553130734424	6
Genus	GE0023	Streptococcus	0.145644527829484	1
Genus	GE0001	Bacteroides	0.113047463500805	2
Genus	GE0089	Cutibacterium	0.0867982235505007	3
Genus	GE0030	Lactobacillus	0.0748956385156339	4
Genus	GE0076	Corynebacterium	0.0525164563041493	5
Genus	GE0066	Neisseria	0.0460219696369055	6
Genus	GE0059	Rothia	0.0446639887097816	7
Species	SP0224	Cutibacterium acnes	0.0818724295363725	1
Species	SP0098	Streptococcus mitis	0.0724102820761799	2
Species	SP0433	Lactobacillus crispatus	0.0353044877097296	3
Species	SP0047	Haemophilus parainfluenzae	0.034210002963841	4
Species	SP0002	Bacteroides vulgatus	0.0301222581397999	5
Species	SP0141	Rothia dentocariosa	0.0254549371180043	6
Species	SP0128	Neisseria flavescens	0.0230345533605667	7
