Habitat	Units	DetectionThreshold	PrevalenceThreshold	CoreSpecies	MeanCoreMass	MedianCoreMass	DetectionLabel	PrevalenceLabel
Anterior nares	74	0	0.5	5	0.659001551566556	0.786307639380674	Any > 0	50%
Anterior nares	74	0	0.8	2	0.479513300779259	0.469796625180237	Any > 0	80%
Anterior nares	74	0	0.9	1	0.378096460284863	0.369201355492884	Any > 0	90%
Anterior nares	74	0	1	0	0	0	Any > 0	100%
Anterior nares	74	0.00001	0.5	5	0.659001551566556	0.786307639380674	0.001%	50%
Anterior nares	74	0.00001	0.8	2	0.479513300779259	0.469796625180237	0.001%	80%
Anterior nares	74	0.00001	0.9	1	0.378096460284863	0.369201355492884	0.001%	90%
Anterior nares	74	0.00001	1	0	0	0	0.001%	100%
Anterior nares	74	0.0001	0.5	5	0.659001551566556	0.786307639380674	0.01%	50%
Anterior nares	74	0.0001	0.8	2	0.479513300779259	0.469796625180237	0.01%	80%
Anterior nares	74	0.0001	0.9	1	0.378096460284863	0.369201355492884	0.01%	90%
Anterior nares	74	0.0001	1	0	0	0	0.01%	100%
Anterior nares	74	0.001	0.5	5	0.659001551566556	0.786307639380674	0.1%	50%
Anterior nares	74	0.001	0.8	2	0.479513300779259	0.469796625180237	0.1%	80%
Anterior nares	74	0.001	0.9	1	0.378096460284863	0.369201355492884	0.1%	90%
Anterior nares	74	0.001	1	0	0	0	0.1%	100%
Retroauricular crease	17	0	0.5	10	0.929640015573636	0.972629894525978	Any > 0	50%
Retroauricular crease	17	0	0.8	6	0.924197732756071	0.971004694200938	Any > 0	80%
Retroauricular crease	17	0	0.9	4	0.908240049782276	0.949023789804758	Any > 0	90%
Retroauricular crease	17	0	1	3	0.819596189052786	0.879345687934569	Any > 0	100%
Retroauricular crease	17	0.00001	0.5	8	0.928626144889419	0.972547194509438	0.001%	50%
Retroauricular crease	17	0.00001	0.8	6	0.924197732756071	0.971004694200938	0.001%	80%
Retroauricular crease	17	0.00001	0.9	4	0.908240049782276	0.949023789804758	0.001%	90%
Retroauricular crease	17	0.00001	1	3	0.819596189052786	0.879345687934569	0.001%	100%
Retroauricular crease	17	0.0001	0.5	7	0.924813350402467	0.971900994380198	0.01%	50%
Retroauricular crease	17	0.0001	0.8	5	0.919630832305099	0.9585027	0.01%	80%
Retroauricular crease	17	0.0001	0.9	4	0.908240049782276	0.949023789804758	0.01%	90%
Retroauricular crease	17	0.0001	1	2	0.779090898512256	0.809252138149573	0.01%	100%
Retroauricular crease	17	0.001	0.5	5	0.919630832305099	0.9585027	0.1%	50%
Retroauricular crease	17	0.001	0.8	3	0.819596189052786	0.879345687934569	0.1%	80%
Retroauricular crease	17	0.001	0.9	2	0.779090898512256	0.809252138149573	0.1%	90%
Retroauricular crease	17	0.001	1	2	0.779090898512256	0.809252138149573	0.1%	100%
Buccal mucosa	84	0	0.5	76	0.947764417542953	0.964917248275734	Any > 0	50%
Buccal mucosa	84	0	0.8	29	0.862824464557741	0.897797989898658	Any > 0	80%
Buccal mucosa	84	0	0.9	17	0.79987494986672	0.833975867440154	Any > 0	90%
Buccal mucosa	84	0	1	5	0.642749524208389	0.693300784697699	Any > 0	100%
Buccal mucosa	84	0.00001	0.5	74	0.946775198253511	0.962475055740894	0.001%	50%
Buccal mucosa	84	0.00001	0.8	29	0.862824464557741	0.897797989898658	0.001%	80%
Buccal mucosa	84	0.00001	0.9	17	0.79987494986672	0.833975867440154	0.001%	90%
Buccal mucosa	84	0.00001	1	4	0.615885634927861	0.633310482235454	0.001%	100%
Buccal mucosa	84	0.0001	0.5	55	0.927901283917241	0.94621213655307	0.01%	50%
Buccal mucosa	84	0.0001	0.8	21	0.837862052707766	0.885002411402328	0.01%	80%
Buccal mucosa	84	0.0001	0.9	13	0.770387724011794	0.809570722842418	0.01%	90%
Buccal mucosa	84	0.0001	1	3	0.53800055218619	0.563928027673049	0.01%	100%
Buccal mucosa	84	0.001	0.5	24	0.852809776040063	0.892383739084068	0.1%	50%
Buccal mucosa	84	0.001	0.8	12	0.768665180950736	0.807709621353537	0.1%	80%
Buccal mucosa	84	0.001	0.9	6	0.65543385375577	0.695988084673273	0.1%	90%
Buccal mucosa	84	0.001	1	3	0.53800055218619	0.563928027673049	0.1%	100%
Tongue dorsum	90	0	0.5	120	0.984896502060567	0.997050549426805	Any > 0	50%
Tongue dorsum	90	0	0.8	78	0.951769392485852	0.97337554739564	Any > 0	80%
Tongue dorsum	90	0	0.9	60	0.911339767267548	0.930747186143906	Any > 0	90%
Tongue dorsum	90	0	1	30	0.633393037244829	0.660294998897241	Any > 0	100%
Tongue dorsum	90	0.00001	0.5	111	0.983113100796879	0.995253950002345	0.001%	50%
Tongue dorsum	90	0.00001	0.8	67	0.942567082990682	0.96474309369081	0.001%	80%
Tongue dorsum	90	0.00001	0.9	57	0.91070313058162	0.930530746514946	0.001%	90%
Tongue dorsum	90	0.00001	1	27	0.630277972471665	0.656092217194653	0.001%	100%
Tongue dorsum	90	0.0001	0.5	73	0.975036717289456	0.988798303417658	0.01%	50%
Tongue dorsum	90	0.0001	0.8	50	0.924324121423376	0.95177364301708	0.01%	80%
Tongue dorsum	90	0.0001	0.9	38	0.827533768183449	0.844900084490008	0.01%	90%
Tongue dorsum	90	0.0001	1	17	0.510214626619021	0.517112632751636	0.01%	100%
Tongue dorsum	90	0.001	0.5	42	0.935086952946724	0.951256320733017	0.1%	50%
Tongue dorsum	90	0.001	0.8	24	0.777177122248268	0.795841720004319	0.1%	80%
Tongue dorsum	90	0.001	0.9	20	0.754270517622733	0.777054983406679	0.1%	90%
Tongue dorsum	90	0.001	1	8	0.302698288520763	0.321705928910821	0.1%	100%
Supragingival plaque	88	0	0.5	115	0.961924150754173	0.977112055791878	Any > 0	50%
Supragingival plaque	88	0	0.8	63	0.889142143371974	0.913857612703192	Any > 0	80%
Supragingival plaque	88	0	0.9	38	0.792189559372	0.807609619239038	Any > 0	90%
Supragingival plaque	88	0	1	9	0.381750461188071	0.352514777013575	Any > 0	100%
Supragingival plaque	88	0.00001	0.5	109	0.95914727706954	0.975089447169237	0.001%	50%
Supragingival plaque	88	0.00001	0.8	59	0.878939170904029	0.901492545790237	0.001%	80%
Supragingival plaque	88	0.00001	0.9	36	0.783009139638275	0.800195309850989	0.001%	90%
Supragingival plaque	88	0.00001	1	8	0.367039554167136	0.334612365949958	0.001%	100%
Supragingival plaque	88	0.0001	0.5	79	0.936619155918175	0.954155261119795	0.01%	50%
Supragingival plaque	88	0.0001	0.8	34	0.809332059205339	0.830211999051703	0.01%	80%
Supragingival plaque	88	0.0001	0.9	26	0.74058343755389	0.753885988111649	0.01%	90%
Supragingival plaque	88	0.0001	1	6	0.249007403983423	0.221921044546253	0.01%	100%
Supragingival plaque	88	0.001	0.5	42	0.847493203162947	0.867468226506355	0.1%	50%
Supragingival plaque	88	0.001	0.8	22	0.725390446446159	0.723572341631868	0.1%	80%
Supragingival plaque	88	0.001	0.9	12	0.569501483748796	0.567638284024648	0.1%	90%
Supragingival plaque	88	0.001	1	3	0.138886685275804	0.129752121476085	0.1%	100%
Stool	95	0	0.5	69	0.776054240330204	0.826300947890284	Any > 0	50%
Stool	95	0	0.8	23	0.389238860445634	0.377980237798024	Any > 0	80%
Stool	95	0	0.9	6	0.0439180776571542	0.0315122	Any > 0	90%
Stool	95	0	1	0	0	0	Any > 0	100%
Stool	95	0.00001	0.5	63	0.773653900384853	0.823965547189663	0.001%	50%
Stool	95	0.00001	0.8	23	0.389238860445634	0.377980237798024	0.001%	80%
