FeatureID	Label	Phylum	CoreHabitats	Habitats	DisplayReason
SP0047	Haemophilus parainfluenzae	Proteobacteria	3	Buccal mucosa | Tongue dorsum | Supragingival plaque	core in at least two habitats
SP0098	Streptococcus mitis	Firmicutes	3	Buccal mucosa | Tongue dorsum | Supragingival plaque	core in at least two habitats
SP0129	Streptococcus oralis	Firmicutes	3	Buccal mucosa | Tongue dorsum | Supragingival plaque	core in at least two habitats
SP0045	Veillonella parvula	Firmicutes	3	Buccal mucosa | Tongue dorsum | Supragingival plaque	core in at least two habitats
SP0158	Actinomyces oris	Actinobacteria	2	Buccal mucosa | Supragingival plaque	core in at least two habitats
SP0117	Campylobacter concisus	Proteobacteria	2	Tongue dorsum | Supragingival plaque	core in at least two habitats
SP0157	Capnocytophaga gingivalis	Bacteroidetes	2	Tongue dorsum | Supragingival plaque	core in at least two habitats
SP0224	Cutibacterium acnes	Actinobacteria	2	Anterior nares | Retroauricular crease	core in at least two habitats
SP0150	Fusobacterium nucleatum	Fusobacteria	2	Tongue dorsum | Supragingival plaque	core in at least two habitats
SP0119	Fusobacterium periodonticum	Fusobacteria	2	Buccal mucosa | Tongue dorsum	core in at least two habitats
SP0146	Gemella haemolysans	Firmicutes	2	Buccal mucosa | Tongue dorsum	core in at least two habitats
SP0176	Gemella morbillorum	Firmicutes	2	Buccal mucosa | Supragingival plaque	core in at least two habitats
SP0102	Gemella sanguinis	Firmicutes	2	Buccal mucosa | Tongue dorsum	core in at least two habitats
SP0123	Granulicatella elegans	Firmicutes	2	Buccal mucosa | Tongue dorsum	core in at least two habitats
SP0128	Neisseria flavescens	Proteobacteria	2	Buccal mucosa | Tongue dorsum	core in at least two habitats
SP0168	Neisseria sicca	Proteobacteria	2	Buccal mucosa | Supragingival plaque	core in at least two habitats
SP0137	Porphyromonas somerae	Bacteroidetes	2	Buccal mucosa | Tongue dorsum	core in at least two habitats
SP0109	Prevotella melaninogenica	Bacteroidetes	2	Buccal mucosa | Tongue dorsum	core in at least two habitats
SP0141	Rothia dentocariosa	Actinobacteria	2	Buccal mucosa | Supragingival plaque	core in at least two habitats
SP0107	Rothia mucilaginosa	Actinobacteria	2	Buccal mucosa | Tongue dorsum	core in at least two habitats
SP0223	Staphylococcus epidermidis	Firmicutes	2	Anterior nares | Retroauricular crease	core in at least two habitats
SP0134	Streptococcus gordonii	Firmicutes	2	Buccal mucosa | Supragingival plaque	core in at least two habitats
SP0100	Streptococcus infantis	Firmicutes	2	Buccal mucosa | Tongue dorsum	core in at least two habitats
SP0132	Streptococcus sanguinis	Firmicutes	2	Buccal mucosa | Supragingival plaque	core in at least two habitats
SP0040	Veillonella dispar	Firmicutes	2	Buccal mucosa | Tongue dorsum	core in at least two habitats
SP0436	Cutibacterium granulosum	Actinobacteria	1	Retroauricular crease	among five highest prevalence-abundance scores in a core habitat
SP0495	Malassezia restricta	Basidiomycota	1	Retroauricular crease	among five highest prevalence-abundance scores in a core habitat
SP0513	Malassezia globosa	Basidiomycota	1	Retroauricular crease	among five highest prevalence-abundance scores in a core habitat
SP0166	Haemophilus haemolyticus	Proteobacteria	1	Buccal mucosa	among five highest prevalence-abundance scores in a core habitat
SP0036	Streptococcus parasanguinis	Firmicutes	1	Tongue dorsum	among five highest prevalence-abundance scores in a core habitat
SP0190	Corynebacterium matruchotii	Actinobacteria	1	Supragingival plaque	among five highest prevalence-abundance scores in a core habitat
SP0002	Bacteroides vulgatus	Bacteroidetes	1	Stool	among five highest prevalence-abundance scores in a core habitat
SP0062	Bacteroides uniformis	Bacteroidetes	1	Stool	among five highest prevalence-abundance scores in a core habitat
SP0006	Bacteroides ovatus	Bacteroidetes	1	Stool	among five highest prevalence-abundance scores in a core habitat
SP0010	Faecalibacterium prausnitzii	Firmicutes	1	Stool	among five highest prevalence-abundance scores in a core habitat
SP0023	Eubacterium rectale	Firmicutes	1	Stool	among five highest prevalence-abundance scores in a core habitat
