FeatureID	Label	Phylum	CoreHabitats	Habitats
SP0047	Haemophilus parainfluenzae	Proteobacteria	3	Buccal mucosa | Tongue dorsum | Supragingival plaque
SP0098	Streptococcus mitis	Firmicutes	3	Buccal mucosa | Tongue dorsum | Supragingival plaque
SP0129	Streptococcus oralis	Firmicutes	3	Buccal mucosa | Tongue dorsum | Supragingival plaque
SP0045	Veillonella parvula	Firmicutes	3	Buccal mucosa | Tongue dorsum | Supragingival plaque
SP0158	Actinomyces oris	Actinobacteria	2	Buccal mucosa | Supragingival plaque
SP0117	Campylobacter concisus	Proteobacteria	2	Tongue dorsum | Supragingival plaque
SP0157	Capnocytophaga gingivalis	Bacteroidetes	2	Tongue dorsum | Supragingival plaque
SP0224	Cutibacterium acnes	Actinobacteria	2	Anterior nares | Retroauricular crease
SP0150	Fusobacterium nucleatum	Fusobacteria	2	Tongue dorsum | Supragingival plaque
SP0119	Fusobacterium periodonticum	Fusobacteria	2	Buccal mucosa | Tongue dorsum
SP0146	Gemella haemolysans	Firmicutes	2	Buccal mucosa | Tongue dorsum
SP0176	Gemella morbillorum	Firmicutes	2	Buccal mucosa | Supragingival plaque
SP0102	Gemella sanguinis	Firmicutes	2	Buccal mucosa | Tongue dorsum
SP0123	Granulicatella elegans	Firmicutes	2	Buccal mucosa | Tongue dorsum
SP0128	Neisseria flavescens	Proteobacteria	2	Buccal mucosa | Tongue dorsum
SP0168	Neisseria sicca	Proteobacteria	2	Buccal mucosa | Supragingival plaque
SP0137	Porphyromonas somerae	Bacteroidetes	2	Buccal mucosa | Tongue dorsum
SP0109	Prevotella melaninogenica	Bacteroidetes	2	Buccal mucosa | Tongue dorsum
SP0141	Rothia dentocariosa	Actinobacteria	2	Buccal mucosa | Supragingival plaque
SP0107	Rothia mucilaginosa	Actinobacteria	2	Buccal mucosa | Tongue dorsum
SP0223	Staphylococcus epidermidis	Firmicutes	2	Anterior nares | Retroauricular crease
SP0134	Streptococcus gordonii	Firmicutes	2	Buccal mucosa | Supragingival plaque
SP0100	Streptococcus infantis	Firmicutes	2	Buccal mucosa | Tongue dorsum
SP0132	Streptococcus sanguinis	Firmicutes	2	Buccal mucosa | Supragingival plaque
SP0040	Veillonella dispar	Firmicutes	2	Buccal mucosa | Tongue dorsum
SP0192	Actinobaculum sp oral taxon 183	Actinobacteria	1	Supragingival plaque
SP0111	Actinomyces graevenitzii	Actinobacteria	1	Tongue dorsum
SP0193	Actinomyces massiliensis	Actinobacteria	1	Supragingival plaque
SP0183	Actinomyces naeslundii	Actinobacteria	1	Supragingival plaque
