ContigID	LengthBp	geNomadDetected	geNomadVirusScore	geNomadTopology	geNomadHallmarks	geNomadTaxonomy	VirSorter2Detected	VirSorter2MaxScoreAll	VirSorter2FinalScore	VirSorter2HighConfidence	VirSorter2Group	VirSorter2Hallmarks	VirSorter2ViralGenePct	VirSorter2CellularGenePct	DiscoveryPattern	CheckVProvirus	CheckVProviralLength	CheckVQuality	MIUViGQuality	CompletenessPct	CompletenessMethod	ContaminationPct	CheckVWarnings
2012990006_____JC3AJCVIAssemblies_1106445189670	23404	True	0.9600	No terminal repeats	0	Viruses;;;;;;Globuloviridae	True	1.0	1.000	True	dsDNAphage	2	39.600	0.000	Both	No	NA	Not-determined	Genome-fragment	NA	NA	0.0	no viral genes detected
2013338001_____MeugFOFF_C1474	13497	True	0.9724	No terminal repeats	1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.987	0.987	True	dsDNAphage	3	55.600	0.000	Both	No	NA	Low-quality	Genome-fragment	7.08	HMM-based (lower-bound)	0.0	
2013338001_____MeugFOFF_C1475	15877	True	0.9607	No terminal repeats	0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	False	0.493	NA	False	Not called	NA	NA	NA	geNomad only	No	NA	Low-quality	Genome-fragment	8.3	AAI-based (medium-confidence)	0.0	no viral genes detected
2013338001_____MeugFOFF_C2873	15684	True	0.9659	No terminal repeats	5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	1.0	1.000	True	dsDNAphage	5	69.600	0.000	Both	No	NA	Low-quality	Genome-fragment	25.79	HMM-based (lower-bound)	0.0	
2013338001_____MeugFOFF_C2874	13607	True	0.9811	No terminal repeats	7	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.993	0.993	True	dsDNAphage	6	80.000	0.000	Both	No	NA	Low-quality	Genome-fragment	22.92	HMM-based (lower-bound)	0.0	
2013338001_____MeugFOFF_C3211	9837	True	0.9076	No terminal repeats	4	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	1.0	1.000	True	dsDNAphage	3	57.100	0.000	Both	Yes	5713	Low-quality	Genome-fragment	8.22	HMM-based (lower-bound)	41.92	
2013338001_____MeugFOFF_C3227	5495	True	0.9762	No terminal repeats	5	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.987	0.987	True	dsDNAphage	2	40.000	10.000	Both	No	NA	Low-quality	Genome-fragment	8.29	HMM-based (lower-bound)	0.0	
2013338001_____MeugFOFF_C3886	5085	True	0.9745	No terminal repeats	0	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.927	0.927	True	dsDNAphage	1	66.700	16.700	Both	No	NA	Low-quality	Genome-fragment	3.7	HMM-based (lower-bound)	0.0	
2013338001_____MeugFOFF_C4026	11395	True	0.9787	No terminal repeats	1	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.98	0.980	True	dsDNAphage	3	45.500	0.000	Both	No	NA	Low-quality	Genome-fragment	3.83	HMM-based (lower-bound)	0.0	
2013338001_____MeugFOFF_C4295	8894	True	0.9775	No terminal repeats	2	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;	True	0.973	0.973	True	dsDNAphage	4	60.000	10.000	Both	No	NA	Low-quality	Genome-fragment	19.19	AAI-based (medium-confidence)	0.0	
