assembly_id	label	label_source	taxid	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund	num_SCG_hits_after_len_filt	in_final_tree
GCA_000018565.1	REF_GCA_000018565.1_REFERENCE	user_map_and_appended	316274	68	65	91.89	4.05	57	Yes
GCF_000010305.1	REF_GCF_000010305.1_REFERENCE	user_map_and_appended	379066	72	71	97.30	2.70	68	Yes
GCF_000010505.1	REF_GCF_000010505.1_REFERENCE	user_map_and_appended	431947	70	69	94.59	1.35	64	Yes
GCF_000016545.1	REF_GCF_000016545.1_REFERENCE	user_map_and_appended	351627	74	72	100.00	2.70	66	Yes
GCF_000016785.1	REF_GCF_000016785.1_REFERENCE	user_map_and_appended	390874	72	72	97.30	0.00	67	Yes
GCF_000018945.1	REF_GCF_000018945.1_REFERENCE	user_map_and_appended	309803	72	72	97.30	0.00	67	Yes
GCF_000019085.1	REF_GCF_000019085.1_REFERENCE	user_map_and_appended	340099	70	70	94.59	0.00	67	Yes
GCF_000020465.1	REF_GCF_000020465.1_REFERENCE	user_map_and_appended	290315	73	73	98.65	0.00	69	Yes
GCF_000020785.1	REF_GCF_000020785.1_REFERENCE	user_map_and_appended	380749	69	69	93.24	0.00	68	Yes
GCF_000021565.1	REF_GCF_000021565.1_REFERENCE	user_map_and_appended	123214	72	69	97.30	4.05	68	Yes
GCF_000196115.1	REF_GCF_000196115.1_REFERENCE	user_map_and_appended	243090	73	70	98.65	5.41	54	Yes
GCF_002952055.1	REF_GCF_002952055.1_REFERENCE	user_map_and_appended	1986146	72	71	97.30	1.35	67	Yes
GCF_003968655.1	REF_GCF_003968655.1_REFERENCE	user_map_and_appended	1094	72	71	97.30	1.35	66	Yes
GCF_031191795.1	REF_GCF_031191795.1_REFERENCE	user_map_and_appended	851	73	73	98.65	0.00	70	Yes
GCF_900167395.1	REF_GCF_900167395.1_REFERENCE	user_map_and_appended	915	73	73	98.65	0.00	71	Yes
GCF_900456975.1	REF_GCF_900456975.1_REFERENCE	user_map_and_appended	62322	74	72	100.00	2.70	70	Yes
SGB_001	SGB_001_QUERY_MAG	user_map_and_appended	NA	71	70	95.95	1.35	66	Yes
SGB_002	SGB_002_QUERY_MAG	user_map_and_appended	NA	72	71	97.30	1.35	68	Yes
SGB_003	SGB_003_QUERY_MAG	user_map_and_appended	NA	69	68	93.24	1.35	62	Yes
SGB_004	SGB_004_QUERY_MAG	user_map_and_appended	NA	71	71	95.95	0.00	66	Yes
SGB_005	SGB_005_QUERY_MAG	user_map_and_appended	NA	73	73	98.65	0.00	68	Yes
SGB_006	SGB_006_QUERY_MAG	user_map_and_appended	NA	71	69	95.95	2.70	67	Yes
SGB_007	SGB_007_QUERY_MAG	user_map_and_appended	NA	71	68	95.95	4.05	60	Yes
SGB_012	SGB_012_QUERY_MAG	user_map_and_appended	NA	70	69	94.59	1.35	63	Yes
SGB_014	SGB_014_QUERY_MAG	user_map_and_appended	NA	72	69	97.30	4.05	68	Yes
SGB_015	SGB_015_QUERY_MAG	user_map_and_appended	NA	38	38	51.35	0.00	33	No
SGB_016	SGB_016_QUERY_MAG	user_map_and_appended	NA	74	72	100.00	2.70	66	Yes
SGB_017	SGB_017_QUERY_MAG	user_map_and_appended	NA	69	69	93.24	0.00	66	Yes
SGB_021	SGB_021_QUERY_MAG	user_map_and_appended	NA	68	65	91.89	5.41	48	Yes
SGB_022	SGB_022_QUERY_MAG	user_map_and_appended	NA	73	72	98.65	2.70	69	Yes
SGB_023	SGB_023_QUERY_MAG	user_map_and_appended	NA	72	72	97.30	0.00	67	Yes
SGB_024	SGB_024_QUERY_MAG	user_map_and_appended	NA	71	71	95.95	0.00	66	Yes
