Package	Version	InstallSource	SourceReference
R	4.5.2	conda-forge	differential-abundance-linux-64.lock
maaslin3	1.5.3	GitHub source archive	commit 3a194ece449ef249354df394b58bfe3e6f951ca3; SHA-256 358f35e094e03026c8d694d731c0d1e1e6c9a15dec3c466649b9db9329ca1f07
ANCOMBC	2.12.0	Bioconductor 3.22 via bioconda	differential-abundance-linux-64.lock
ALDEx2	1.42.0	Bioconductor 3.22 source	BiocManager::install version 3.22
zigg	0.0.2	CRAN source	remotes::install_version
quadprog	1.5.8	CRAN source archive 1.5-8	remotes::install_version
Rfast	2.1.5.2	CRAN source	remotes::install_version
directlabels	2026.4.23	CRAN source	remotes::install_version
collapse	2.1.7	CRAN source	remotes::install_version
nanonext	1.10.1	CRAN source	remotes::install_version
mirai	2.7.2	CRAN source	remotes::install_version
ggnewscale	0.5.2	CRAN source	remotes::install_version
patchwork	1.3.2	CRAN source	remotes::install_version
ggplot2	4.0.2	conda-forge	differential-abundance-linux-64.lock
digest	0.6.39	conda-forge	differential-abundance-linux-64.lock
jsonlite	2.0.0	conda-forge	differential-abundance-linux-64.lock
