qname	tname	num_alns	pid	qcov	tcov
vB_Eco_SLUR29|NC_054895.1	vB_Eco_SLUR29|NC_054895.1	1	100.0	100.0	100.0
vB_Eco_SLUR29|NC_054895.1	vB_EcoS_swan01|LT841304.1	11	96.43	91.44	87.18
vB_Eco_SLUR29|NC_054895.1	vB_Eco_mar002J2|LR027385.1	15	95.23	86.68	83.59
vB_Eco_SLUR29|NC_054895.1	vB_Eco_mar001J1|LR027388.1	15	95.26	86.68	83.59
PARMAL1|OQ376858.1	PARMAL1|OQ376858.1	1	100.0	100.0	100.0
PARMAL1|OQ376858.1	KUW1|OQ376857.1	12	76.84	47.04	46.86
vB_Eco_mar002J2|LR027385.1	vB_Eco_mar002J2|LR027385.1	1	100.0	100.0	100.0
vB_Eco_mar002J2|LR027385.1	vB_Eco_mar001J1|LR027388.1	2	100.0	100.0	100.0
vB_Eco_mar002J2|LR027385.1	vB_EcoS_swan01|LT841304.1	13	95.06	87.29	86.39
vB_Eco_mar002J2|LR027385.1	vB_Eco_SLUR29|NC_054895.1	15	95.23	83.59	86.68
HP1|NC_001697.1	HP1|NC_001697.1	1	100.0	100.0	100.0
vB_Vpa_sm033|OV032902.1	vB_Vpa_sm033|OV032902.1	1	100.0	100.0	100.0
vB_Eco_mar003J3|LR027389.1	vB_Eco_mar003J3|LR027389.1	1	100.0	100.0	100.0
vB_EcoS_swan01|LT841304.1	vB_EcoS_swan01|LT841304.1	1	100.0	100.0	100.0
vB_EcoS_swan01|LT841304.1	vB_Eco_mar002J2|LR027385.1	13	95.06	86.39	87.29
vB_EcoS_swan01|LT841304.1	vB_Eco_mar001J1|LR027388.1	13	95.09	86.39	87.29
vB_EcoS_swan01|LT841304.1	vB_Eco_SLUR29|NC_054895.1	12	96.43	87.18	91.44
KUW1|OQ376857.1	KUW1|OQ376857.1	1	100.0	100.0	100.0
KUW1|OQ376857.1	PARMAL1|OQ376858.1	12	76.83	46.86	47.04
DSS3_PM1|MN602267.1	DSS3_PM1|MN602267.1	1	100.0	100.0	100.0
vB_Eco_mar001J1|LR027388.1	vB_Eco_mar001J1|LR027388.1	1	100.0	100.0	100.0
vB_Eco_mar001J1|LR027388.1	vB_Eco_mar002J2|LR027385.1	2	100.0	100.0	100.0
vB_Eco_mar001J1|LR027388.1	vB_EcoS_swan01|LT841304.1	13	95.09	87.29	86.39
vB_Eco_mar001J1|LR027388.1	vB_Eco_SLUR29|NC_054895.1	15	95.26	83.59	86.68
vB_Eco_mar005P1|LR027390.1	vB_Eco_mar005P1|LR027390.1	1	100.0	100.0	100.0
vB_VpaS_sm032|OV032860.1	vB_VpaS_sm032|OV032860.1	1	100.0	100.0	100.0
phix174|NC_001422.1	phix174|NC_001422.1	1	100.0	100.0	100.0
S-RSM4|FM207411.1	S-RSM4|FM207411.1	1	100.0	100.0	100.0
CDMH1|NC_024144.1	CDMH1|NC_024144.1	1	100.0	100.0	100.0
