Package	Version	Role
R	4.4.1	Runtime used for global concordance and DIABLO
vegan	2.6-6.1	Procrustes, protest, and Mantel tests
permute	0.9-7	Restricted permutation design
mixOmics	6.26.0	sPLS-DA and DIABLO
BiocParallel	1.38.0	Serial deterministic DIABLO tuning backend
ggplot2	3.5.2	Plotting support
dplyr	1.1.4	Table manipulation
tidyr	1.3.1	Table reshaping
patchwork	1.3.2	Panel composition
pheatmap	1.0.12	Heatmap support
ComplexHeatmap	2.20.0	Heatmap support
XICOR	0.4.1	HAllA R dependency
eva	0.2.7	HAllA generalized-Pareto dependency
lme4	1.1-35.4	Linear mixed-effects models with random intercepts and slopes
lmerTest	3.1-3	Satterthwaite fixed-effect inference for lme4 models
pbkrtest	0.5.2	Kenward-Roger tests for the primary longitudinal model
survival	3.6-4	Cox models, Kaplan-Meier estimators, concordance, Schoenfeld diagnostics
timeROC	0.4	IPCW cumulative/dynamic time-dependent ROC and AUC
jsonlite	1.8.8	Machine-readable survival-model metric contracts
mediation	4.5.1	Parametric causal-mediation cross-check and residual-correlation sensitivity
statmod	1.5.0	Deterministic Gaussian quadrature for mediator-distribution integration
sandwich	3.1.0	Mediation inference dependency and robust covariance utilities
mvtnorm	1.2-5	Quasi-Bayesian mediation simulation dependency
