Label	Command	ReturnCode	StartedUTC	EndedUTC	Stdout	Stderr	ResourceLog
checkm2-selected-mags	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/checkm2 predict --input ${ARTICLE44_WORK_DIR}/bins --output-directory ${ARTICLE44_WORK_DIR}/qc/checkm2 --extension .fna --threads 24 --database_path ${HOME}/databases/metagenome-mag-qc/checkm2-v1.1.0/CheckM2_database/uniref100.KO.1.dmnd --tmpdir ${ARTICLE44_WORK_DIR}/tmp/checkm2 --remove_intermediates	0	2026-07-29T08:06:00.948925+00:00	2026-07-29T08:14:34.585372+00:00	${ARTICLE44_WORK_DIR}/logs/checkm2-selected-mags.stdout.log	${ARTICLE44_WORK_DIR}/logs/checkm2-selected-mags.stderr.log	${ARTICLE44_WORK_DIR}/logs/checkm2-selected-mags.time.txt
gunc-selected-mags	${HOME}/miniconda3/envs/metagenome-gunc-2026.07/bin/gunc run --input_dir ${ARTICLE44_WORK_DIR}/bins --file_suffix .fna --db_file ${HOME}/databases/metagenome-mag-qc/gunc-progenomes2.1/gunc_db_progenomes2.1.dmnd --threads 24 --out_dir ${ARTICLE44_WORK_DIR}/qc/gunc --temp_dir ${ARTICLE44_WORK_DIR}/tmp/gunc --contig_taxonomy_output	0	2026-07-29T08:14:34.587241+00:00	2026-07-29T08:34:39.293770+00:00	${ARTICLE44_WORK_DIR}/logs/gunc-selected-mags.stdout.log	${ARTICLE44_WORK_DIR}/logs/gunc-selected-mags.stderr.log	${ARTICLE44_WORK_DIR}/logs/gunc-selected-mags.time.txt
checkm1-lineage-selected-mags	${HOME}/miniconda3/envs/metagenome-checkm1-2026.07/bin/checkm lineage_wf -x fna -t 24 --pplacer_threads 1 --aai_strain 0.9 --tab_table -f ${ARTICLE44_WORK_DIR}/qc/checkm1-qa.tsv --tmpdir ${ARTICLE44_WORK_DIR}/tmp/checkm1 ${ARTICLE44_WORK_DIR}/bins ${ARTICLE44_WORK_DIR}/qc/checkm1	0	2026-07-29T08:34:39.295150+00:00	2026-07-29T09:02:40.564682+00:00	${ARTICLE44_WORK_DIR}/logs/checkm1-lineage-selected-mags.stdout.log	${ARTICLE44_WORK_DIR}/logs/checkm1-lineage-selected-mags.stderr.log	${ARTICLE44_WORK_DIR}/logs/checkm1-lineage-selected-mags.time.txt
barrnap-binette__001	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__001.fna	0	2026-07-29T09:12:42.597950+00:00	2026-07-29T09:12:45.381019+00:00	${ARTICLE44_WORK_DIR}/features/binette__001/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__001.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__001.time.txt
trnascan-binette__001	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__001/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__001/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__001/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__001/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__001.fna	0	2026-07-29T09:12:45.381711+00:00	2026-07-29T09:13:16.777111+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__001.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__001.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__001.time.txt
prodigal-binette__001	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__001.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__001/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__001/proteins.faa	0	2026-07-29T09:13:16.777762+00:00	2026-07-29T09:13:34.683103+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__001.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__001.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__001.time.txt
barrnap-binette__002	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__002.fna	0	2026-07-29T09:13:34.683881+00:00	2026-07-29T09:13:37.607601+00:00	${ARTICLE44_WORK_DIR}/features/binette__002/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__002.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__002.time.txt
trnascan-binette__002	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/tRNAscan-SE -B --thread 8 --output ${ARTICLE44_WORK_DIR}/features/binette__002/trnascan.tsv --stats ${ARTICLE44_WORK_DIR}/features/binette__002/trnascan.stats --gff ${ARTICLE44_WORK_DIR}/features/binette__002/trnascan.gff --log ${ARTICLE44_WORK_DIR}/features/binette__002/trnascan.log --forceow --quiet ${ARTICLE44_WORK_DIR}/bins/binette__002.fna	0	2026-07-29T09:13:37.608249+00:00	2026-07-29T09:14:04.374002+00:00	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__002.stdout.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__002.stderr.log	${ARTICLE44_WORK_DIR}/logs/trnascan-binette__002.time.txt
prodigal-binette__002	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/prodigal -i ${ARTICLE44_WORK_DIR}/bins/binette__002.fna -p meta -f gff -o ${ARTICLE44_WORK_DIR}/features/binette__002/prodigal.gff -a ${ARTICLE44_WORK_DIR}/features/binette__002/proteins.faa	0	2026-07-29T09:14:04.374679+00:00	2026-07-29T09:14:15.462788+00:00	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__002.stdout.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__002.stderr.log	${ARTICLE44_WORK_DIR}/logs/prodigal-binette__002.time.txt
barrnap-binette__003	${HOME}/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids ${ARTICLE44_WORK_DIR}/bins/binette__003.fna	0	2026-07-29T09:14:15.463624+00:00	2026-07-29T09:14:17.466176+00:00	${ARTICLE44_WORK_DIR}/features/binette__003/barrnap.gff	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__003.stderr.log	${ARTICLE44_WORK_DIR}/logs/barrnap-binette__003.time.txt
