MAG	MAGContigs	K141NodesPresent	K141InternalEdges	K141BoundaryEdges	K141SelfLoops	K141Components	PairedInternalWeight	PairedBoundaryWeight	PairedBoundaryPct	GraphContinuity	CircularGenomeClaim
binette__001	92	92	7	75	2	86	41.795927212	242.571891225	85.30215991326753	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__002	57	57	4	70	0	53	6.545163143	123.612886078	94.97137274093075	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__003	6	6	0	9	0	6	0.00559513	12.595413001	99.95559775899014	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__004	106	106	18	103	1	88	40.222390057	119.789731614	74.86291061142167	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__005	14	14	4	18	0	11	5.092764276	4.4239082210000005	46.48587226674635	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__006	13	13	0	6	1	13	0.13130068	16.969459736	99.23219390947581	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__007	31	31	7	51	0	24	8.069685857	82.497307404	91.08981587393058	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__008	126	126	9	92	0	117	20.57632792	50.369123025	70.99697352554476	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__009	283	283	14	30	0	269	57.55248053	26.775343286	31.751493249040493	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__011	682	682	3	65	1	679	106.68301222	87.43076403	45.04098870210919	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__012	77	77	10	41	0	67	27.098713275	51.658384968	65.59203693438698	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__013	70	70	0	2	0	70	4.49556418	8.126396355	64.38299606836792	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__014	996	996	213	699	0	783	226.73678843	319.230041416	58.47059271092435	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__015	272	272	2	10	0	270	43.55290342	37.951418137	46.563688172606525	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__017	361	361	0	5	0	361	42.3838406	46.360706261	52.24062536891925	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__018	380	380	3	20	0	377	51.4293008	87.110556926	62.877613963112815	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__019	324	324	0	4	0	324	30.261663	53.294840869	63.78299522028318	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__021	48	48	0	19	0	48	2.72876933	15.297675926	84.86241024645864	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__022	94	94	9	54	1	85	16.086312004	51.138389918	76.07083178640977	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__023	43	43	11	49	1	32	32.009605017	24.477751239	43.33315074627875	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__024	54	54	15	92	1	39	47.790855814000004	147.886586495	75.57671684070152	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__025	306	306	19	72	1	287	44.919641454	58.151854973	56.41894897119868	Fragmented in k141 graph	No—graph evidence alone is insufficient
binette__026	65	65	10	68	2	55	7.262609637	51.474072564000004	87.63530835441648	Fragmented in k141 graph	No—graph evidence alone is insufficient
