MAG	MarkerLineage	MarkerRank	MarkerTaxon	Domain	DomainSource
binette__001	o__Thermoanaerobacterales (UID1420)	order	Thermoanaerobacterales	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__002	o__Thermoanaerobacterales (UID1420)	order	Thermoanaerobacterales	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__003	k__Bacteria (UID3060)	domain	Bacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__004	p__Euryarchaeota (UID3)	phylum	Euryarchaeota	Archaea	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__005	p__Euryarchaeota (UID4)	phylum	Euryarchaeota	Archaea	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__006	k__Bacteria (UID2495)	domain	Bacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__007	k__Bacteria (UID209)	domain	Bacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__008	f__Porphyromonadaceae (UID2622)	family	Porphyromonadaceae	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__009	k__Bacteria (UID2329)	domain	Bacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__011	k__Bacteria (UID2565)	domain	Bacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__012	c__Betaproteobacteria (UID3959)	class	Betaproteobacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__013	k__Archaea (UID2)	domain	Archaea	Archaea	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__014	g__Shewanella (UID4838)	genus	Shewanella	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__015	c__Thermoprotei (UID148)	class	Thermoprotei	Archaea	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__017	k__Bacteria (UID3060)	domain	Bacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__018	p__Euryarchaeota (UID5)	phylum	Euryarchaeota	Archaea	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__019	c__Thermoprotei (UID148)	class	Thermoprotei	Archaea	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__021	k__Bacteria (UID2570)	domain	Bacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__022	k__Bacteria (UID2570)	domain	Bacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__023	p__Euryarchaeota (UID5)	phylum	Euryarchaeota	Archaea	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__024	k__Bacteria (UID209)	domain	Bacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__025	k__Bacteria (UID1452)	domain	Bacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
binette__026	c__Deltaproteobacteria (UID3217)	class	Deltaproteobacteria	Bacteria	CheckM1 marker lineage plus taxon_marker_sets.tsv
