MAG	Contigs	BinBp	N50Bp	GCPct	ProteinCodingGenes	CodingDensityPct	MAGFASTA_SHA256	CheckM2Completeness	CheckM2Contamination	CheckM2Model	GUNCPass	GUNCCladeSeparationScore	CheckM1MarkerLineage	MarkerDomain	CheckM1Completeness	CheckM1Contamination	CheckM1StrainHeterogeneityPct	Complete5S	Complete16S	Complete23S	CompleteRRNASet	TRNAGenes	TRNAIsotypes	PreMarkerHQ	MIMAGQuality	GraphContinuity	K141Components	PairedBoundaryPct	Taxonomy
binette__001	92	2770249	67435	35.080095688149335	2780	89.38525020675037	da074711c9d8a43d626640d99ded6444f1deaca3348e0720dd7d091a6c4f4290	99.99	0.02	Neural Network (Specific Model)	True	0.0	o__Thermoanaerobacterales (UID1420)	Bacteria	99.46	0.0	0.0	True	True	False	False	38	19	True	Medium quality	Fragmented in k141 graph	86	85.30215991326753	Pending independent GTDB-Tk classification
binette__002	57	2151032	68740	34.30557983330792	2198	89.71363512955642	73842ce20cfa7e89413c7d161072d3fbd265f884fc4eda97097dc314ac4607d4	99.98	0.31	Neural Network (Specific Model)	True	0.0	o__Thermoanaerobacterales (UID1420)	Bacteria	98.09	0.0	0.0	True	True	False	False	52	21	True	Medium quality	Fragmented in k141 graph	53	94.97137274093075	Pending independent GTDB-Tk classification
binette__003	6	1910339	672984	37.04321588995461	1990	95.43337596102053	35d7b3ed3d8295ebdcd0d79fd512e3efee1582f24cc36bb8179807815f1dd6aa	100.0	0.49	Neural Network (Specific Model)	True	0.0	k__Bacteria (UID3060)	Bacteria	99.8	1.63	0.0	True	True	False	False	38	21	True	Medium quality	Fragmented in k141 graph	6	99.95559775899014	Pending independent GTDB-Tk classification
binette__004	106	2045345	41813	27.729502846708012	2096	86.17485069755958	79ca0113327ca98aee8fa1cbb0b56a5c4aa9a4e1b1bf2da0eabe481908324b26	99.79	0.53	Neural Network (Specific Model)	True	0.0	p__Euryarchaeota (UID3)	Archaea	100.0	0.0	0.0	True	True	False	False	32	22	True	Medium quality	Fragmented in k141 graph	88	74.86291061142167	Pending independent GTDB-Tk classification
binette__005	14	1736697	443866	41.8634338632473	1898	92.25656519243138	50af7f6afa2a049f3ddcab14c3f7f9f8ac50e0a7df9091a462381af260bf6df6	99.47	0.19	Neural Network (Specific Model)	True	0.0	p__Euryarchaeota (UID4)	Archaea	99.75	0.0	0.0	True	True	True	True	46	22	True	High quality	Fragmented in k141 graph	11	46.48587226674635	Pending independent GTDB-Tk classification
binette__006	13	4629413	432090	64.27739326778578	3971	92.81759912109807	f5dd0161e09ab726d6aefd14d1b23818f2257496217572c8dd5eae2b1890a3bf	99.94	0.79	Neural Network (Specific Model)	True	0.0	k__Bacteria (UID2495)	Bacteria	98.9	4.4	0.0	True	True	True	True	49	22	True	High quality	Fragmented in k141 graph	13	99.23219390947581	Pending independent GTDB-Tk classification
binette__007	31	1772843	88409	46.95446804934222	1802	95.52481522616498	59ca1e9e2bd2d44885bc9f7d1fef25a15daa36ce2efcff633f13215e19426086	99.5	0.45	Neural Network (Specific Model)	True	0.0	k__Bacteria (UID209)	Bacteria	100.0	0.0	0.0	True	True	False	False	44	20	True	Medium quality	Fragmented in k141 graph	24	91.08981587393058	Pending independent GTDB-Tk classification
binette__008	126	2039351	26973	48.82450348174493	1714	86.07351064137562	967a05d2ab0adc374f33378f6009c3ab244f39ee868fdce056db73690b85d3b4	98.69	0.55	Neural Network (Specific Model)	True	0.0	f__Porphyromonadaceae (UID2622)	Bacteria	97.88	0.31	0.0	True	False	False	False	41	20	True	Medium quality	Fragmented in k141 graph	117	70.99697352554476	Pending independent GTDB-Tk classification
binette__009	283	2147088	11618	26.945146170068483	2234	91.59741007355078	88d4ba3a1f67c50c0ebc7d85dec2279e7313562b7be572dae13100064ad25c51	98.68	0.29	Neural Network (Specific Model)	True	0.0	k__Bacteria (UID2329)	Bacteria	99.44	2.3	33.33	True	True	False	False	39	20	True	Medium quality	Fragmented in k141 graph	269	31.751493249040493	Pending independent GTDB-Tk classification
binette__011	682	6915991	15347	55.41178408126905	5736	88.49998503468267	d22e98a635a8a093307d452293f1a51ee5984376530952e790f437bf416d5f2b	97.85	3.87	Neural Network (Specific Model)	True	0.0	k__Bacteria (UID2565)	Bacteria	94.64	0.18	50.0	True	True	True	True	69	22	True	High quality	Fragmented in k141 graph	679	45.04098870210919	Pending independent GTDB-Tk classification
