Label	WallSeconds	PeakRAMGiB	ExitStatus	Command	MeasurementStatus
barrnap-binette__001	2.78	0.352	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__001.fna	GNU time exact
barrnap-binette__002	2.92	0.408	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__002.fna	GNU time exact
barrnap-binette__003	2.0	0.272	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__003.fna	GNU time exact
barrnap-binette__004	2.26	0.315	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__004.fna	GNU time exact
barrnap-binette__005	8.22	0.992	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom arc --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__005.fna	GNU time exact
barrnap-binette__006	7.97	0.961	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__006.fna	GNU time exact
barrnap-binette__007	2.39	0.33	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__007.fna	GNU time exact
barrnap-binette__008	1.96	0.306	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__008.fna	GNU time exact
barrnap-binette__009	2.06	0.338	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__009.fna	GNU time exact
barrnap-binette__011	14.09	1.185	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__011.fna	GNU time exact
barrnap-binette__012	8.46	1.153	0	/workspace/miniconda3/envs/metagenome-mag-qc-2026.07/bin/barrnap --kingdom bac --threads 8 --addids /workspace/wechat/Metagenome/work/article44/bins/binette__012.fna	GNU time exact
