Branch	ReadIdentityThresholdPct	Sample	BreadthCutoffPct	MeanDepthCutoff	DetectedSGBs	CatalogSGBs
Primary 95% identity	95	MOCK1	10	1	24	24
Primary 95% identity	95	MOCK1	50	1	24	24
Primary 95% identity	95	MOCK1	90	1	22	24
Primary 95% identity	95	MOCK2	10	1	24	24
Primary 95% identity	95	MOCK2	50	1	24	24
Primary 95% identity	95	MOCK2	90	1	21	24
Strict 97% identity	97	MOCK1	10	1	24	24
Strict 97% identity	97	MOCK1	50	1	24	24
Strict 97% identity	97	MOCK1	90	1	21	24
Strict 97% identity	97	MOCK2	10	1	24	24
Strict 97% identity	97	MOCK2	50	1	24	24
Strict 97% identity	97	MOCK2	90	1	20	24
