Sample	SGB	PrimaryRelativeAbundancePct	StrictRelativeAbundancePct	DeltaRelativeAbundancePctPoints	PrimaryCoveredFractionPct	StrictCoveredFractionPct	DeltaCoveredFractionPctPoints	PrimaryReadCount	StrictReadCount	ReadCountRetainedPct
MOCK1	SGB_001	2.3066957	2.2386327	-0.06806299999999998	99.47823	99.40296400000001	-0.07526599999998496	104226	101303	97.19551743327001
MOCK1	SGB_002	3.0583746	2.9869368	-0.0714378	99.81489	99.80565999999999	-0.009230000000016503	139211	136242	97.86726623614513
MOCK1	SGB_003	1.7636184	1.721699	-0.04191939999999983	98.144215	98.018044	-0.12617099999999937	61741	60395	97.81992517128002
MOCK1	SGB_004	1.8848121	1.8336396	-0.051172500000000065	98.86677	98.75447000000001	-0.11229999999999052	61923	60353	97.46459312371816
MOCK1	SGB_005	1.9107331	1.8548993	-0.055833800000000045	98.88759999999999	98.76292	-0.1246799999999979	87433	85011	97.22987887868425
MOCK1	SGB_006	1.5964518	1.4716994	-0.12475239999999999	95.517385	94.73882	-0.7785650000000004	140332	129639	92.38021263859989
MOCK1	SGB_007	1.7696209	1.7297583	-0.03986259999999997	98.23522	98.10039400000001	-0.13482599999998968	196913	192877	97.95036386627596
MOCK1	SGB_008	0.8706817	0.85376656	-0.01691514000000005	87.315845	87.01084	-0.3050049999999942	13679	13445	98.28934863659624
MOCK1	SGB_009	1.3039842	1.2674756	-0.03650859999999989	94.770825	94.469804	-0.30102100000000576	23743	23121	97.38028050372742
MOCK1	SGB_010	7.157246	7.0080094	-0.14923660000000005	99.96076000000001	99.95752	-0.0032400000000052387	212607	208690	98.15763356803868
MOCK1	SGB_011	3.1542282	3.0766923	-0.07753589999999999	99.790245	99.766403	-0.023842000000001917	105028	102688	97.77202269870891
MOCK1	SGB_012	1.3077533	1.2769558	-0.03079749999999981	94.84786	94.56585	-0.28200999999999965	47659	46652	97.88707274596614
MOCK1	SGB_013	0.9401016	0.8965917	-0.04350989999999999	88.617265	87.79536	-0.821905000000001	21466	20511	95.55110407155502
MOCK1	SGB_014	2.7004342	2.6432917	-0.05714250000000032	99.86121999999999	99.85096	-0.010259999999988167	89368	87685	98.11677557962582
MOCK1	SGB_015	0.990052	0.9677566	-0.022295400000000076	90.346617	89.99922000000001	-0.34739699999998663	18483	18114	98.00357084888817
MOCK1	SGB_016	6.110382	5.9485064	-0.16187560000000012	99.94495	99.944335	-0.0006150000000104683	290853	283803	97.57609514084434
MOCK1	SGB_017	3.4172714	3.336471	-0.08080040000000022	99.864763	99.85435	-0.010412999999999784	126409	123706	97.86170288507938
MOCK1	SGB_018	1.8935862	1.8552783	-0.03830790000000017	95.833373	95.67338	-0.15999300000000005	13366	13130	98.23432590154123
