Category	CheckID	Status	Detail
tool	tool-metaphlan	PASS	expected=4.2.5;observed=4.2.5
tool	tool-bowtie2	PASS	expected=2.5.5;observed=2.5.5
tool	tool-python	PASS	expected=3.12.13;observed=3.12.13
tool	environment-yaml-sha256	PASS	a314c7d33025e2057ab609f4f1e101b6ab3921338e55c587d318cf2d6d65f874
tool	environment-lock-sha256	PASS	d2884ede2be3ae1c27300505d5a1b6c784a4b30a9f259a3efd9b628a66d302d2
tool	environment-lock-package-count	PASS	554
tool	lock-metaphlan	PASS	metaphlan-4.2.5-pyhdfd78af_0.conda
tool	lock-bowtie2	PASS	bowtie2-2.5.5-ha27dd3b_0.conda
tool	lock-python	PASS	python-3.12.13-hd63d673_0_cpython.conda
tool	lock-matplotlib-base	PASS	matplotlib-base-3.11.0-py312hc1765e9_1.conda
tool	lock-pillow	PASS	pillow-12.3.0-py312h50c33e8_0.conda
tool	lock-numpy	PASS	numpy-2.5.1-py312h33ff503_0.conda
