Sample	Protocol	Specimen	Taxon	FACS_cells	Actual_mock_fraction	Observed_mock_fraction	Relative_efficiency_observation
H1	H	1	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.530571554003909	3.32627385731488
H1	H	1	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.119335939541544	0.931949212051971
H1	H	1	Salmonella_enterica	58450203.7244456	0.187342850106017	0.237822596661405	2.33046645579909
H1	H	1	Clostridium_difficile	42383204.7009957	0.135845383922767	0.00596924216382975	0.0806679787094668
H1	H	1	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.000528608311693742	0.0134168611531559
H1	H	1	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.048511385237493	2.76057477782284
H1	H	1	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0251264404203183	1.56212007377595
H1	H	1	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.013288750050397	1.92683828476484
H1	H	1	Blautia_hansenii	459882.896574735	0.00147400294728637	0.000237425767116681	0.295703428896756
H1	H	1	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0186080578422925	52.0522178956844
H2	H	2	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.513365046014545	3.05874389993942
H2	H	2	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.177801258618202	1.31964950869105
H2	H	2	Salmonella_enterica	58450203.7244456	0.187342850106017	0.208247464577233	1.93942166523349
H2	H	2	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0082117014510482	0.105467319722431
H2	H	2	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.000676248204223706	0.0163126997768003
H2	H	2	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0423862133148557	2.29236220679904
H2	H	2	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0211815242813339	1.25153625807207
H2	H	2	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0116413039723486	1.60422597574982
H2	H	2	Blautia_hansenii	459882.896574735	0.00147400294728637	0.000316991345729862	0.375213708415485
H2	H	2	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0161722482204797	42.9943483557151
H3	H	3	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.514067797452464	2.90007947383592
H3	H	3	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.172507845175289	1.21228658348762
H3	H	3	Salmonella_enterica	58450203.7244456	0.187342850106017	0.205147750004874	1.80897246901584
H3	H	3	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0101944273165391	0.123971047412134
H3	H	3	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.000666682212391038	0.0152268919314153
H3	H	3	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0431577341826396	2.20998809971108
H3	H	3	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.022213056191295	1.24270263800808
H3	H	3	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0125809508555054	1.64153466958217
H3	H	3	Blautia_hansenii	459882.896574735	0.00147400294728637	0.000342515632054111	0.383870172034142
H3	H	3	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0191212409769494	48.1315365343637
H4	H	4	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.523665876396415	3.27732208976737
H4	H	4	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.157499961874641	1.22786961286501
H4	H	4	Salmonella_enterica	58450203.7244456	0.187342850106017	0.213641605206634	2.08990421465249
H4	H	4	Clostridium_difficile	42383204.7009957	0.135845383922767	0.00906445062531453	0.12228530597889
H4	H	4	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.000421725119684299	0.0106855582928315
H4	H	4	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0430177218397304	2.44373470491487
H4	H	4	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0227936855021579	1.41464935860058
H4	H	4	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.0109120641538341	1.57949717862429
H4	H	4	Blautia_hansenii	459882.896574735	0.00147400294728637	0.000256319718083503	0.31868479075426
H4	H	4	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0187265895635057	52.2934980172162
H5	H	5	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.516263469654539	2.22995655911597
H5	H	5	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.183725062158582	0.988553910239002
H5	H	5	Salmonella_enterica	58450203.7244456	0.187342850106017	0.194144633006249	1.31076879987282
H5	H	5	Clostridium_difficile	42383204.7009957	0.135845383922767	0.0107239318191067	0.099849751351673
H5	H	5	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.00183423727981333	0.0320762374948748
H5	H	5	Vibrio_cholerae	10065142.5270403	0.0322604947046641	0.0394556075229961	1.54694737937157
H5	H	5	Clostridium_saccharolyticum	9212814.42870385	0.0295286380986449	0.0207355580719052	0.888198714479111
H5	H	5	Yersinia_pseudotuberculosis	3950159.52510499	0.0126609335237799	0.00997698627483358	0.996716104180173
H5	H	5	Blautia_hansenii	459882.896574735	0.00147400294728637	0.00228792009801432	1.96327135698011
H5	H	5	Fusobacterium_nucleatum	204756.44326375	0.000656279246509433	0.0208525941139615	40.1891895408001
H6	H	6	Prevotella_melaninogenica	91361185.9165425	0.292828148886544	0.50035460695477	2.80046677724878
H6	H	6	Clostridium_perfringens	73342343.0191106	0.235074690918601	0.176337977239918	1.22943429929749
H6	H	6	Salmonella_enterica	58450203.7244456	0.187342850106017	0.212746931787788	1.86119349759687
H6	H	6	Clostridium_difficile	42383204.7009957	0.135845383922767	0.00889779211738096	0.10735016432184
H6	H	6	Lactobacillus_plantarum	22566220.6807896	0.0723285776451854	0.00052468782006656	0.0118893031900318
