ContractKey	ExpectedValue	EvidenceStatus	EvidenceScope	SourceOrCommand	Checked
recommended_apptainer_release	1.5.2	PASS	current official release	GitHub apptainer/apptainer release v1.5.2	2026-07-19
recommended_apptainer_release_date	2026-06-23	PASS	current official release	GitHub apptainer/apptainer release v1.5.2	2026-07-19
oci_reference	docker://alpine@sha256:eafc1edb577d2e9b458664a15f23ea1c370214193226069eb22921169fc7e43f	PASS	linux amd64 immutable smoke payload	docker manifest inspect alpine:3.22.1	2026-07-19
oci_platform	linux/amd64	PASS	manifest platform	docker manifest inspect alpine:3.22.1	2026-07-19
oci_payload_version	3.22.1	PASS	container payload	docker run fixed digest then cat /etc/alpine-release	2026-07-19
local_legacy_runtime	Singularity 3.7.2	PASS	native Linux observation	singularity version	2026-07-19
legacy_sif_build	PASS	PASS	one-time conversion from alpine:3.22.1	singularity pull	2026-07-19
legacy_sif_sha256	5dd8b9d84e1dfec614fdece44123833d2acc6330a44538bf6b9ab2f0b76902d8	PASS	one-time generated SIF; image not committed	sha256sum article10-alpine-3.22.1.sif	2026-07-19
legacy_sif_bytes	3727360	PASS	one-time generated SIF; image not committed	stat -c %s article10-alpine-3.22.1.sif	2026-07-19
legacy_sif_exec	EXPECTED_FAIL	EXPECTED_FAIL	local installation boundary	singularity exec --cleanenv returned no setuid installation found	2026-07-19
fixed_digest_docker_smoke	PASS	PASS	OCI payload only; not an Apptainer claim	docker run fixed linux amd64 digest	2026-07-19
local_apptainer_cli	NOT_FOUND	NOT_RUN	native Linux observation	command -v apptainer	2026-07-19
local_slurm_control_plane	NOT_FOUND	NOT_RUN	native Linux observation	command -v sbatch and command -v sacct	2026-07-19
