contigName	contigLen	totalAvgDepth	MOCK1.primary.sorted	MOCK1.primary.sorted-var	MOCK2.primary.sorted	MOCK2.primary.sorted-var
k141_39925	1025	3.44821	2.20496	0.629651	1.24324	0.716745
k141_29038	1005	3.27233	1.43991	0.624145	1.83241	0.974093
k141_29039	1024	4.2149	2.17603	1.06413	2.03888	1.62443
k141_7260	1975	4.0927	1.20671	0.9178	2.88599	1.98589
k141_10891	1239	3.30412	1.00876	0.898169	2.29535	1.28198
k141_54442	1049	5.28076	3.38801	1.32823	1.89274	2.22217
k141_36299	1235	3.73175	2.15303	1.31283	1.57872	1.91127
k141_47183	2866	4.22977	2.05166	1.13755	2.17811	2.08714
k141_39928	1554	2.47527	0.824176	0.50514	1.6511	0.690551
k141_50816	1262	4.66065	2.77921	1.58232	1.88144	1.88792
k141_3632	2378	15.3285	6.68553	9.75065	8.64298	9.66459
k141_10892	1638	4.19935	1.33182	1.06006	2.86753	3.06107
k141_25414	1165	2.82193	1.51453	1.01361	1.3074	0.597714
k141_29042	1521	4.70696	2.3071	3.68975	2.39986	1.13466
k141_3633	1534	10.5627	5.33148	4.68309	5.2312	6.40772
k141_54445	1826	2.86458	1.69271	1.36064	1.17188	0.797888
k141_29044	1167	2.7652	1.82507	2.22124	0.940131	0.816638
k141_14526	1657	4.02117	2.195	1.96067	1.82617	1.6187
k141_39930	1638	5.37922	3.29545	1.98219	2.08377	3.7025
k141_50819	1081	2.17497	1.62869	1.0789	0.546287	0.248111
k141_47190	1612	37.9505	19.5178	33.3285	18.4326	37.2043
k141_12	1379	3.74161	2.29508	3.1191	1.44653	0.467647
k141_18150	6477	6.12055	3.02634	3.57305	3.09422	2.90688
k141_39932	1080	3.40631	1.97047	2.01849	1.43585	1.47344
k141_7270	1216	3.5975	1.55814	0.794738	2.03936	0.725398
k141_3636	2016	11.9463	6.24922	6.50439	5.69708	6.47315
k141_13	1087	3.37007	0.860465	0.579702	2.50961	1.45866
k141_14529	1769	4.91382	2.47457	1.77524	2.43926	3.01772
k141_29045	3305	8.81416	4.03898	5.8112	4.77518	5.93038
k141_54450	1508	2.90638	1.88014	1.68542	1.02624	0.613215
k141_47192	1682	3.77399	1.75	0.831965	2.02399	0.789073
k141_39934	1473	5.10982	1.99491	1.35878	3.11491	3.0843
k141_3637	1214	3.36201	1.83154	1.10522	1.53047	0.851984
k141_50825	1443	3.9539	1.84684	1.59112	2.10706	1.75789
k141_54451	1633	3.91922	1.25472	1.44159	2.6645	1.42126
k141_3639	1099	3.00899	2	0.622	1.00899	0.190918
k141_14533	1322	5.34559	3.12663	3.26849	2.21895	1.13272
k141_29047	1511	4.3482	2.79689	1.94242	1.55131	1.07191
k141_18155	1571	3.99253	2.39919	0.873153	1.59335	1.49417
k141_18156	1390	3.4791	1.81115	2.24162	1.66796	0.83854
k141_10893	7611	8.29575	4.21004	5.31955	4.08572	4.16551
k141_47195	2442	4.33319	2.01067	1.57434	2.32253	3.44095
k141_14536	1309	3.5384	1.5417	2.11293	1.9967	0.834696
k141_7276	3246	6.51271	3.63977	3.51497	2.87294	4.94863
k141_54455	1391	3.10209	1.64269	1.09824	1.4594	1.10767
k141_14537	1141	2.97795	0.865772	0.569298	2.11218	1.72348
k141_47198	1226	3.25089	2.33067	1.40166	0.920213	0.391147
