SampleID	ReportedLKTPPM	PositiveLKTFeatures	Richness50PPM	ShannonReportedLKT	InverseSimpsonReportedLKT	FaecalibacteriumPPM	GbNonHuman	PercentAssembled	QualitySensitivityPass
SRR16355225	909600	153	94	2.9784418454697974	12.468504276781951	213	2.07	94.3	True
SRR16355224	925211	203	142	3.661294937640916	23.22791718987128	23439	4.63	87.8	True
SRR16355289	966681	172	117	3.1073750264176625	11.293745568853232	13410	5.3	93.8	True
SRR16355278	911690	179	139	3.3788098568762646	18.320926699104028	48267	1.29	81.7	True
SRR16355267	991028	139	78	2.2404928671557798	4.8584873229812	10759	1.54	91.1	True
SRR16355256	982724	140	92	2.2072304010828314	4.476949719920903	2710	1.38	87.0	True
SRR16355245	980266	152	98	3.09366745843513	15.302856427813193	42817	3.91	95.0	True
SRR16355348	963656	188	142	3.392052708603907	16.38270658111147	68818	1.81	82.9	True
SRR16355223	986808	164	99	2.5851263816063974	7.519313036666077	15905	2.06	91.3	True
SRR16355379	967770	171	103	2.894469060675859	9.716292336878748	344	5.36	96.8	True
SRR16355333	984927	154	110	2.790133713124191	7.488639136815157	145010	1.93	91.6	True
SRR16355322	969267	187	142	3.6711586098167275	22.64466016956964	74271	1.73	86.7	True
SRR16355311	969795	172	113	3.284379750853656	15.95400220349056	405	5.11	93.0	True
SRR16355300	962758	167	122	3.3361948320740376	16.17347045744289	75183	1.79	85.2	True
SRR16355292	924026	200	151	3.754754757953886	18.80594650159873	29539	2.84	80.1	True
SRR16355291	948974	190	142	3.64930268646929	21.99615940829665	41922	4.85	89.7	True
SRR16355288	963299	170	111	2.773373541280917	7.1723131407216885	7273	2.12	89.1	True
SRR16355287	950652	172	138	3.5099285300091525	17.635432156141245	185976	1.32	83.8	True
SRR16355286	868491	11	11	1.0795325572981582	1.9237257022517917	0	0.01	9.5	False
SRR16355283	933837	171	110	3.0296303474316995	13.032847447248782	150045	2.21	90.5	True
SRR16355281	958443	194	147	3.888450451142515	32.07171216126553	26386	4.45	90.0	True
SRR16355279	952333	217	162	3.714265019209642	18.086021271761474	33595	4.84	86.1	True
SRR16355277	944688	187	149	3.921225883867737	30.780406895589028	23264	6.43	93.0	True
SRR16355276	925182	199	160	3.9119864484670743	30.755241833545064	22474	4.55	87.6	True
SRR16355275	953617	169	113	3.2453658627522923	14.601854053601054	26558	4.32	92.0	True
SRR16355274	947214	176	126	2.9970598926288137	7.70347782631808	2420	2.1	93.3	True
SRR16355273	990512	138	79	2.2363115852561837	4.65403259150201	18386	1.69	93.7	True
SRR16355272	974352	157	117	3.033292126014386	9.737387226525914	57082	4.79	95.2	True
SRR16355271	990480	154	68	1.43078720019334	2.3132061548162293	1610	1.35	93.3	True
SRR16355270	971568	158	114	2.7242395033992834	7.827702843899838	111290	1.55	89.4	True
SRR16355269	946090	175	141	3.6381070847173524	22.966529247145502	28313	1.13	82.1	True
SRR16355262	984138	163	88	1.5280486971731417	2.0106424734582014	24244	2.28	94.8	True
SRR16355261	839471	184	107	3.253160510874506	13.014116768934219	74116	4.03	92.0	True
SRR16355260	896369	189	146	3.648045744859804	22.157144634725345	39534	2.02	85.3	True
SRR16355259	879876	209	166	3.9938632793863738	28.108920310221638	13216	4.74	84.0	True
SRR16355258	983776	164	113	3.02482185260235	11.416909153259832	7336	4.53	94.2	True
SRR16355257	871385	208	163	3.7572646339822793	17.81467555412887	21980	5.17	88.7	True
SRR16355253	908703	198	128	3.538132594090116	18.209030549544696	63343	4.66	88.5	True
SRR16355252	935016	199	145	3.9255762602388056	29.8275475744313	90875	4.6	85.3	True
SRR16355250	962315	172	134	3.205578930938053	9.118206571334285	19712	0.98	79.6	True
SRR16355249	869221	159	110	2.453294252131578	3.8090028436598127	1493	3.4	83.0	True
SRR16355248	985432	177	123	2.864248600825113	7.684372760884018	24938	4.85	95.0	True
SRR16355247	965897	170	130	3.2960187009050887	13.882600870265746	56112	4.67	93.3	True
SRR16355246	967886	188	128	3.1794168926851047	12.415936398993509	725	4.18	93.5	True
SRR16355243	937859	200	150	3.522386989246008	18.01055365848343	7378	4.57	89.0	True
SRR16355241	989333	125	82	2.4332972658287506	6.611845461447599	342	1.05	92.3	True
SRR16355237	964972	193	139	3.5590839294640837	16.114037834508498	21292	4.54	89.3	True
SRR16355233	968260	178	128	1.7807609089065197	2.2566584488275723	58369	1.54	90.4	True
SRR16355228	983076	162	102	2.778275765421	8.608947626465143	400	2.72	91.5	True
SRR16355226	911040	170	115	2.7533186042585927	8.089358548215097	22887	2.29	91.2	True
SRR16355360	921600	197	153	3.9229133164697045	29.85585102552065	23568	4.17	85.5	True
SRR16355358	959624	184	131	3.1595827324092096	12.077564882997656	5737	1.18	78.8	True
SRR16355357	903284	200	156	3.707719684130058	18.976178131366254	81285	2.02	79.3	True
SRR16355356	961480	195	155	3.432907240089429	15.800481036101065	99629	2.12	85.6	True
SRR16355354	982197	130	81	2.649892793632186	8.220072818283441	138	1.58	94.3	True
SRR16355353	952495	199	153	3.5458715658604096	16.22493255822409	176588	1.07	77.5	True
SRR16355352	902040	197	159	3.8150332567479976	26.279124843857005	26589	1.18	76.8	True
SRR16355351	970298	184	136	3.3979214233308808	18.819218089621224	58162	1.9	88.7	True
SRR16355350	951295	181	135	2.689111399228516	4.420722952033566	27281	1.52	86.9	True
SRR16355349	989092	115	64	2.2547333525719444	5.050777263013436	55	2.09	97.1	True
SRR16355347	983841	164	107	3.1080000038615685	12.181895145364168	30209	2.23	92.6	True
SRR16355346	913304	199	152	3.81063995775491	27.908309116006993	64564	1.88	79.4	True
SRR16355345	956931	172	120	2.6343284436961127	5.955702792389086	6759	1.56	88.4	True
SRR16355344	848694	185	113	2.2361719682333914	3.773171320925833	1329	1.42	84.7	True
SRR16355343	879303	182	127	3.648281330266015	22.157588025149703	52309	1.88	78.9	True
SRR16355342	986679	172	122	3.227756953883263	13.487438663634784	1977	2.67	94.5	True
SRR16355341	979627	175	124	3.1553067598366704	11.011317949668321	14799	2.09	90.0	True
SRR16355340	979760	183	135	3.217236235397885	13.852683155864975	18522	2.07	88.9	True
SRR16355339	989192	145	94	2.968070647227031	12.422055769899476	31527	2.11	94.8	True
SRR16355337	929879	152	115	3.601197381064181	22.161510315089583	36166	2.95	85.3	True
SRR16355222	967831	184	142	3.5971030121618575	18.955659376362213	24771	1.59	85.0	True
SRR16355388	896597	202	157	3.901941558676967	29.801568582640595	22699	2.09	82.5	True
SRR16355387	943107	190	149	3.61898366324447	19.220341960793505	146897	1.39	79.3	True
SRR16355385	945347	183	139	3.3557772494814477	16.459344785720837	13793	1.18	81.9	True
SRR16355384	982584	179	140	3.4334262002478586	18.19266786133776	25601	1.39	86.4	True
SRR16355383	937903	169	99	2.969132965807225	11.20229571584875	118579	1.29	89.9	True
SRR16355382	973772	165	104	2.8697026448665257	9.860862034191793	74882	1.64	91.5	True
SRR16355381	901174	184	128	2.3979946345087413	4.091904501894311	72087	1.81	87.6	True
SRR16355380	915470	189	151	3.58663109045328	19.801911720880955	88411	2.48	88.6	True
SRR16355378	982010	180	112	3.124057020878215	11.872972223972871	753	2.13	94.1	True
SRR16355375	959014	151	116	3.2321896233411946	12.361858054073764	39144	4.94	92.4	True
SRR16355373	919716	172	112	3.0653264598408274	11.011609070014119	43862	3.08	92.0	True
SRR16355371	888355	196	157	3.656449291560632	21.822952733905215	109973	2.31	80.6	True
SRR16355369	986312	123	82	2.524468966054449	7.546564519353795	91591	3.96	95.7	True
SRR16355365	845195	120	86	2.6910735931611933	7.4183132451398	18292	2.17	93.9	True
SRR16355364	991374	145	101	2.684275951244812	6.800335739202113	32991	2.73	93.8	True
SRR16355363	932250	132	87	3.159204825285132	14.363442508603924	896	1.25	80.6	True
SRR16355362	960948	190	144	3.261056788741609	13.172168296047268	187133	1.28	80.7	True
SRR16355330	887048	194	150	3.5522222315340235	18.717033484674328	42637	1.48	77.7	True
SRR16355328	875591	208	159	3.5619407296287697	15.720052627130288	79514	3.82	83.3	True
SRR16355327	958157	194	146	3.552841033276248	18.147487957632055	31458	3.29	88.0	True
SRR16355326	938793	186	117	3.2659845312226086	14.223266131067772	29649	4.06	91.6	True
SRR16355323	877563	184	134	3.654406050945383	22.855082235253896	56675	0.83	70.5	True
SRR16355321	921815	173	125	3.4027949300510234	17.31107726914891	11251	3.67	94.2	True
SRR16355320	973652	175	120	2.8278137197505955	5.883442721014038	30084	2.6	85.8	True
SRR16355319	941504	169	107	2.942078623396278	9.409530756041088	7744	4.33	95.5	True
SRR16355318	941328	180	117	3.077295857415501	11.444097651868672	31648	3.49	91.2	True
SRR16355316	967429	166	130	3.250018230010133	13.284374865300899	79759	1.42	87.9	True
SRR16355314	862590	182	138	3.2426424505124354	10.569690465619269	213193	1.37	81.5	True
SRR16355312	966215	172	126	3.329739961407321	16.409034477427436	53642	1.64	88.8	True
SRR16355309	976050	181	130	3.1932601932820877	13.42350097923085	88822	2.21	85.8	True
SRR16355305	985324	157	102	2.646338551949707	7.340585676930916	5369	1.31	90.3	True
SRR16355304	980520	177	122	3.300390203704568	15.639150717365105	41627	1.88	87.8	True
SRR16355303	929470	191	156	3.0127446582634705	7.904712167087818	80692	1.07	77.9	True
SRR16355299	974215	148	104	2.330952733331989	4.238701725503099	21114	1.76	91.7	True
SRR16355298	985263	122	84	2.3851170564625823	7.1494838776928225	79859	1.43	92.9	True
SRR16355297	983523	172	120	2.7599667739701434	6.710052852746199	34575	1.7	88.9	True
SRR16355296	961758	207	157	3.61784897919579	18.400165881984538	37354	1.89	80.4	True
SRR16355295	973130	188	135	3.2143124361725337	11.154271564214687	97842	1.9	84.3	True
SRR16355294	974960	199	147	3.5830306693409364	17.82007372005549	24411	2.74	90.0	True
