Metric	HorizonDays	Model	Estimate	CILower	CIUpper	ValidBootstrap
Harrell C-index	NA	Clinical	0.63634422378817	0.567785445114458	0.709647483897368	1000
Harrell C-index	NA	Clinical + Faecalibacterium	0.664104206705104	0.600709545594439	0.732908208084157	1000
Harrell C-index	NA	Increment	0.0277599829169335	-0.0083547163943483	0.0614995425949811	1000
Cumulative/dynamic AUC	180	Clinical	0.632142857142857	0.52784845595847	0.737827735644637	1000
Cumulative/dynamic AUC	180	Clinical + Faecalibacterium	0.685357142857143	0.585353550974364	0.781371753246753	1000
Cumulative/dynamic AUC	180	Increment	0.0532142857142857	0.00154798761609909	0.10240777626477	1000
Cumulative/dynamic AUC	365	Clinical	0.629307099758868	0.51432005545767	0.742527982551015	1000
Cumulative/dynamic AUC	365	Clinical + Faecalibacterium	0.676617003633348	0.567994432112321	0.773819894606733	1000
Cumulative/dynamic AUC	365	Increment	0.0473099038744804	-0.000632745915963356	0.0941226148334497	1000
Cumulative/dynamic AUC	548	Clinical	0.648155081640155	0.535420627207814	0.758165665719164	1000
Cumulative/dynamic AUC	548	Clinical + Faecalibacterium	0.719570450742152	0.611649666705692	0.816984437122066	1000
Cumulative/dynamic AUC	548	Increment	0.0714153691019964	0.0229210453174919	0.118622329880974	1000
