Model	RiskQuintile	N	Events	MeanPredictedRisk	ObservedRiskKM	ObservedRiskLower	ObservedRiskUpper
Clinical	1	22	7	0.226422337649617	0.278074866310161	0.135465136206802	0.517780465738238
Clinical	2	22	7	0.270275854128346	0.229946524064171	0.102671087033788	0.46753392690643
Clinical	3	23	19	0.535745674339214	0.782608695652174	0.60072945161594	0.920861096085214
Clinical	4	21	12	0.587552085369222	0.476190476190476	0.291187800841267	0.703261204952124
Clinical	5	22	16	0.697635341332245	0.545454545454545	0.356740868378828	0.755614365649933
Clinical + Faecalibacterium	1	22	6	0.217929021336362	0.227272727272727	0.101523927576761	0.462565969704677
Clinical + Faecalibacterium	2	22	8	0.281758618563169	0.278787878787879	0.135628200849429	0.519456062803302
Clinical + Faecalibacterium	3	23	14	0.502233814229356	0.565217391304348	0.378754442372028	0.767145995538073
Clinical + Faecalibacterium	4	21	16	0.582849593065472	0.619047619047619	0.422211322254169	0.816933451179606
Clinical + Faecalibacterium	5	22	17	0.720314775048786	0.636363636363636	0.443295899945966	0.825728079360646
