Model	Cohort	N	Events	Term	LogHazard	StandardError	HazardRatio	CILower	CIUpper	WaldZ	PValue
Unadjusted	All complete PFS	110	61	FaecalibacteriumLog2	-0.102393953966871	0.043825597704683	0.902673869660564	0.828373990629616	0.9836379753409	-2.33639606370799	0.0194706089190765
Adjusted primary	All complete PFS	110	61	PrimarySubtypeMucosal_or_acral	0.315360903872425	0.322696129564565	1.37075393209852	0.728249268195051	2.58011428836795	0.977268938112031	0.328436026633441
Adjusted primary	All complete PFS	110	61	AdvancedSubstageStage_M1D	-1.06260971216764	0.315527926700889	0.345552839146213	0.186181535372434	0.641345901478088	-3.3677200090595	0.000757925260940976
Adjusted primary	All complete PFS	110	61	LDHYes	0.198510995083965	0.295958001951674	1.21958543678481	0.68279812802723	2.17837245968297	0.670740421866949	0.502385907395581
Adjusted primary	All complete PFS	110	61	BMIz	-0.0403973999315445	0.131687837846179	0.960407697352082	0.741929673977966	1.24322153094057	-0.306766369562021	0.759021208000975
Adjusted primary	All complete PFS	110	61	FaecalibacteriumLog2	-0.0694118530943604	0.0416929257366986	0.932942365742919	0.859737227409324	1.01238079502588	-1.66483526564468	0.0959456260571256
Sequencing-QC sensitivity	Quality sensitivity subset	109	60	PrimarySubtypeMucosal_or_acral	0.375396333936954	0.324823856074576	1.45556819138434	0.770090895275724	2.75120608848559	1.15569200634933	0.24780715899224
Sequencing-QC sensitivity	Quality sensitivity subset	109	60	AdvancedSubstageStage_M1D	-1.05586242982991	0.315748526681319	0.347892265223313	0.187360975930027	0.645967110287727	-3.34399796232643	0.000825803439771407
Sequencing-QC sensitivity	Quality sensitivity subset	109	60	LDHYes	0.241407515998813	0.297179261217277	1.27303971366663	0.711021128560302	2.27929951372038	0.812329618863654	0.416602519417013
Sequencing-QC sensitivity	Quality sensitivity subset	109	60	BMIz	-0.0332861223924739	0.13131753360233	0.967261764742042	0.74776706585402	1.25118551518895	-0.253478126487469	0.799898761893305
Sequencing-QC sensitivity	Quality sensitivity subset	109	60	FaecalibacteriumLog2	-0.0872287292808976	0.0461596386408086	0.916467448717361	0.837193578578418	1.00324776258402	-1.88971863405752	0.0587956005825838
Anti-PD1 sensitivity	Anti-PD1 monotherapy	89	53	PrimarySubtypeMucosal_or_acral	0.458953256700538	0.376732782025407	1.58241673367451	0.756215093645876	3.31128370757661	1.21824613784098	0.223130451516736
Anti-PD1 sensitivity	Anti-PD1 monotherapy	89	53	AdvancedSubstageStage_M1D	-0.884932616546526	0.338028401697104	0.412741984322334	0.212788596755768	0.80058775808305	-2.61792385522529	0.00884665435568488
Anti-PD1 sensitivity	Anti-PD1 monotherapy	89	53	LDHYes	0.430756561376155	0.332185801032793	1.53842099327844	0.802265527031906	2.95006961263298	1.29673381594547	0.194722789866273
Anti-PD1 sensitivity	Anti-PD1 monotherapy	89	53	BMIz	-0.123400850394688	0.142393439012587	0.883909276155386	0.668655123329046	1.16845826976347	-0.866618934484616	0.386150835542019
Anti-PD1 sensitivity	Anti-PD1 monotherapy	89	53	FaecalibacteriumLog2	-0.0395680091291653	0.0460618899922029	0.961204581081137	0.878229214933724	1.05201948532433	-0.859018358470813	0.390330387524661
