EvaluationData	CutoffSource	Group	TimeDays	TimeMonths	Survival	CILower	CIUpper	AtRisk	Events	Censored
Held-out test	Training	Low	0	0	1	1	1	13	0	0
Held-out test	Training	High	0	0	1	1	1	20	0	0
Held-out test	Training	Low	28	0.919917864476386	0.923076923076923	0.566359466130522	0.988794062303689	13	1	0
Held-out test	Training	Low	38	1.24845995893224	0.846153846153846	0.512203590685393	0.959145460528641	12	1	0
Held-out test	Training	Low	63	2.06981519507187	0.769230769230769	0.442141497926556	0.919115326239281	11	1	0
Held-out test	Training	Low	75	2.46406570841889	0.692307692307692	0.373363484157172	0.871750116512527	10	1	0
Held-out test	Training	Low	107	3.51540041067762	0.615384615384615	0.308336888199959	0.818448711840862	9	1	0
Held-out test	Training	Low	114	3.74537987679671	0.538461538461538	0.247657327769234	0.75990444026134	8	1	0
Held-out test	Training	Low	294	9.65913757700205	0.461538461538462	0.191612189262922	0.696410237410844	7	1	0
Held-out test	Training	Low	429	14.0944558521561	0.384615384615385	0.14053765540905	0.627961630098095	6	1	0
Held-out test	Training	Low	504	16.5585215605749	0.307692307692308	0.0949753434351538	0.554259897102791	5	1	0
Held-out test	Training	Low	687	22.570841889117	0.307692307692308	0.0949753434351538	0.554259897102791	4	0	1
Held-out test	Training	Low	707	23.2279260780287	0.307692307692308	0.0949753434351538	0.554259897102791	3	0	1
Held-out test	Training	Low	864	28.3860369609856	0.307692307692308	0.0949753434351538	0.554259897102791	2	0	1
Held-out test	Training	Low	1362	44.7474332648871	0.307692307692308	0.0949753434351538	0.554259897102791	1	0	1
Held-out test	Training	High	26	0.854209445585216	0.95	0.69474319325657	0.992802228593397	20	1	0
Held-out test	Training	High	63	2.06981519507187	0.9	0.656030707261567	0.974010174395775	19	1	0
Held-out test	Training	High	83	2.72689938398357	0.85	0.603789699220299	0.948996109793794	18	1	0
Held-out test	Training	High	97	3.18685831622177	0.8	0.551145564280728	0.919817913588456	17	1	0
Held-out test	Training	High	149	4.8952772073922	0.75	0.499943907965752	0.887470918915888	16	1	0
Held-out test	Training	High	190	6.24229979466119	0.7	0.450545984707156	0.852518168555191	15	1	0
Held-out test	Training	High	256	8.41067761806982	0.65	0.403001199554521	0.815304904978011	14	1	0
Held-out test	Training	High	266	8.73921971252567	0.6	0.35729196965764	0.776049497454248	13	1	0
Held-out test	Training	High	297	9.75770020533881	0.6	0.35729196965764	0.776049497454248	12	0	1
Held-out test	Training	High	337	11.0718685831622	0.545454545454545	0.307332704316715	0.732418802144249	11	1	0
Held-out test	Training	High	376	12.35318275154	0.545454545454545	0.307332704316715	0.732418802144249	10	0	1
Held-out test	Training	High	386	12.6817248459959	0.484848484848485	0.252507519746769	0.683335381689035	9	1	0
Held-out test	Training	High	554	18.2012320328542	0.484848484848485	0.252507519746769	0.683335381689035	8	0	1
Held-out test	Training	High	617	20.2710472279261	0.484848484848485	0.252507519746769	0.683335381689035	7	0	1
Held-out test	Training	High	1483	48.7227926078029	0.484848484848485	0.252507519746769	0.683335381689035	6	0	1
Held-out test	Training	High	1549	50.8911704312115	0.484848484848485	0.252507519746769	0.683335381689035	5	0	1
Held-out test	Training	High	1591	52.2710472279261	0.484848484848485	0.252507519746769	0.683335381689035	4	0	1
Held-out test	Training	High	1708	56.1149897330595	0.484848484848485	0.252507519746769	0.683335381689035	3	0	1
Held-out test	Training	High	1845	60.6160164271047	0.484848484848485	0.252507519746769	0.683335381689035	2	0	1
Held-out test	Training	High	2437	80.0657084188912	0.484848484848485	0.252507519746769	0.683335381689035	1	0	1
Full data	Full data (leaky)	Low	0	0	1	1	1	57	0	0
