SearchData	CutoffLog2	CutoffPPM	LowN	HighN	ChiSquare	PValue	Selected
Full data (leaky)	12.8538943132476	7378	22	88	0.75995517088686	0.383342552167307	FALSE
Full data (leaky)	12.9235131963084	7744	23	87	1.14199958468951	0.28523020140306	FALSE
Full data (leaky)	13.3966047811819	10759	24	86	0.590666692718787	0.442161428525997	FALSE
Full data (leaky)	13.4609677625704	11251	25	85	1.11892326244266	0.29015042155033	FALSE
Full data (leaky)	13.692724462462	13216	26	84	1.75959427225755	0.184675130522633	FALSE
Full data (leaky)	13.7137087009005	13410	27	83	2.65734149203115	0.103072878876495	FALSE
Full data (leaky)	13.754261196514	13793	28	82	1.76622456995347	0.183850009229888	FALSE
Full data (leaky)	13.8556471660273	14799	29	81	2.39987784233119	0.121344725606632	FALSE
Full data (leaky)	13.9594586464127	15905	30	80	2.77123689302405	0.0959719753290899	FALSE
Full data (leaky)	14.1608956144507	18292	31	79	2.96135614756634	0.0852763893497896	FALSE
Full data (leaky)	14.1682803688587	18386	32	78	2.07989245404103	0.149250691659842	FALSE
Full data (leaky)	14.1788982275739	18522	33	77	1.38250179428432	0.239675460059123	FALSE
Full data (leaky)	14.2686150981159	19712	34	76	1.63084626406209	0.201586038297224	FALSE
Full data (leaky)	14.3676195098574	21114	35	75	1.83345721581205	0.175719741616292	FALSE
Full data (leaky)	14.3797167974936	21292	36	74	1.27545046535601	0.258746661175515	FALSE
Full data (leaky)	14.4255437512819	21980	37	73	1.82608856589465	0.176590244059812	FALSE
Full data (leaky)	14.4575732597872	22474	38	72	2.62912609243903	0.104919447407071	FALSE
Full data (leaky)	14.4719291876417	22699	39	71	2.93352510202339	0.0867578685128816	FALSE
Full data (leaky)	14.4838157772643	22887	40	70	3.63508603289969	0.0565736804962718	FALSE
Full data (leaky)	14.5073610729405	23264	41	69	4.29700932832518	0.0381794559314678	FALSE
Full data (leaky)	14.518161355757	23439	42	68	4.30136936039543	0.0380816985637992	FALSE
Full data (leaky)	14.526071257641	23568	43	67	3.27047962250717	0.0705369985191907	FALSE
Full data (leaky)	14.5668270432604	24244	44	66	3.66266660522495	0.0556445077863214	FALSE
Full data (leaky)	14.5767205250802	24411	45	65	2.74820574933431	0.0973636322041953	FALSE
Full data (leaky)	14.5978197886455	24771	46	64	3.45326917855193	0.063126794701825	FALSE
Full data (leaky)	14.607503704176	24938	47	63	4.42033873576435	0.0355129858099451	FALSE
Full data (leaky)	14.6453206833633	25601	48	62	5.39985823215591	0.0201383872895502	FALSE
Full data (leaky)	14.6888513068677	26386	49	61	5.79847238063261	0.0160401045667002	FALSE
Full data (leaky)	14.6982163073724	26558	50	60	6.54363164086756	0.0105260255913762	FALSE
Full data (leaky)	14.6998977387062	26589	51	59	7.85697110568007	0.00506251301246719	FALSE
Full data (leaky)	14.7369303716893	27281	52	58	6.61129342672078	0.0101334033180206	FALSE
Full data (leaky)	14.7904503208717	28313	53	57	7.50515659965836	0.00615225909254901	FALSE
Full data (leaky)	14.8515538584298	29539	54	56	6.31345667220044	0.0119824998955693	FALSE
Full data (leaky)	14.8569117920839	29649	55	55	7.24375881088244	0.00711478787938323	FALSE
Full data (leaky)	14.8779071726669	30084	56	54	8.33128610582894	0.00389680602018564	FALSE
Full data (leaky)	14.8838842416909	30209	57	53	9.37900054679701	0.00219485184915051	TRUE
Full data (leaky)	14.942285400665	31458	58	52	8.06385134318116	0.00451570937375895	FALSE
Full data (leaky)	14.9454438363779	31527	59	51	6.75943035957079	0.00932535246030391	FALSE
Full data (leaky)	14.95096590243	31648	60	50	7.45403335903178	0.00632944599107695	FALSE
Full data (leaky)	15.010877723007	32991	61	49	6.22723482544612	0.0125800031667523	FALSE
Full data (leaky)	15.0370321041235	33595	62	48	6.77515925212387	0.00924352429931795	FALSE
Full data (leaky)	15.0784844174114	34575	63	47	5.6289438528514	0.0176662723138912	FALSE
Full data (leaky)	15.1433433511756	36166	64	46	4.67726081474485	0.0305644474982741	FALSE
Full data (leaky)	15.1899403527433	37354	65	45	3.90535837976482	0.0481323607889191	FALSE
Full data (leaky)	15.2574246757356	39144	66	44	3.1796160925371	0.0745622464089482	FALSE
Full data (leaky)	15.2717183366557	39534	67	43	2.42382875161744	0.119502531349142	FALSE
Full data (leaky)	15.3460981505498	41627	68	42	1.8185705892512	0.177483517668807	FALSE
Full data (leaky)	15.3562800140551	41922	69	41	1.34911039168436	0.245433699541645	FALSE
Full data (leaky)	15.3806639805408	42637	70	40	1.86313946968084	0.172262897329316	FALSE
Full data (leaky)	15.3867382107751	42817	71	39	1.29369697788874	0.255367760941501	FALSE
