EvaluationData	CutoffSource	Group	TimeDays	TimeMonths	AtRisk	Survival
Held-out test	Training	Low	0	0	13	1
Held-out test	Training	Low	180	5.91375770020534	7	0.538461538461538
Held-out test	Training	Low	365	11.9917864476386	6	0.461538461538462
Held-out test	Training	Low	548	18.0041067761807	4	0.307692307692308
Held-out test	Training	Low	730	23.9835728952772	2	0.307692307692308
Held-out test	Training	Low	1095	35.9753593429158	1	0.307692307692308
Held-out test	Training	High	0	0	20	1
Held-out test	Training	High	180	5.91375770020534	15	0.75
Held-out test	Training	High	365	11.9917864476386	10	0.545454545454545
Held-out test	Training	High	548	18.0041067761807	8	0.484848484848485
Held-out test	Training	High	730	23.9835728952772	6	0.484848484848485
Held-out test	Training	High	1095	35.9753593429158	6	0.484848484848485
Full data	Full data (leaky)	Low	0	0	57	1
Full data	Full data (leaky)	Low	180	5.91375770020534	30	0.526315789473684
Full data	Full data (leaky)	Low	365	11.9917864476386	22	0.418453541260559
Full data	Full data (leaky)	Low	548	18.0041067761807	16	0.320347208620523
Full data	Full data (leaky)	Low	730	23.9835728952772	10	0.320347208620523
Full data	Full data (leaky)	Low	1095	35.9753593429158	3	0.240260406465393
Full data	Full data (leaky)	High	0	0	53	1
Full data	Full data (leaky)	High	180	5.91375770020534	40	0.754716981132076
Full data	Full data (leaky)	High	365	11.9917864476386	34	0.659838274932615
Full data	Full data (leaky)	High	548	18.0041067761807	31	0.63921832884097
Full data	Full data (leaky)	High	730	23.9835728952772	13	0.559018265222414
Full data	Full data (leaky)	High	1095	35.9753593429158	10	0.559018265222414
