SearchData	CutoffLog2	CutoffPPM	LowN	HighN	ChiSquare	PValue	Selected
Training only	12.3971398062356	5369	16	61	1.08628123385389	0.297296638446178	FALSE
Training only	12.4923539451599	5737	17	60	2.08710733132625	0.148547106542476	FALSE
Training only	12.7279204545632	6759	18	59	3.3861903461823	0.0657446899553361	FALSE
Training only	12.8332854355845	7273	19	58	2.10652035738334	0.146672498314334	FALSE
Training only	12.9235131963084	7744	20	57	1.32537815315963	0.249629116471946	FALSE
Training only	13.3966047811819	10759	21	56	0.670820314057249	0.412765754370357	FALSE
Training only	13.4609677625704	11251	22	55	1.30744636737413	0.252857525413305	FALSE
Training only	13.8556471660273	14799	23	54	2.05943310006374	0.151266437052204	FALSE
Training only	14.1608956144507	18292	24	53	2.4688051966569	0.116126168862254	FALSE
Training only	14.1682803688587	18386	25	52	1.56631016595521	0.21074367721158	FALSE
Training only	14.1788982275739	18522	26	51	0.901588315374686	0.342356182172021	FALSE
Training only	14.3676195098574	21114	27	50	1.16903242864592	0.279600139576123	FALSE
Training only	14.3797167974936	21292	28	49	0.704218335646427	0.401369892193826	FALSE
Training only	14.4575732597872	22474	29	48	1.18044750190552	0.277264911899527	FALSE
Training only	14.4719291876417	22699	30	47	1.45902893154777	0.227084691098503	FALSE
Training only	14.4838157772643	22887	31	46	2.0381786583371	0.153393215827627	FALSE
Training only	14.5073610729405	23264	32	45	2.60505543359768	0.106523432711103	FALSE
Training only	14.518161355757	23439	33	44	2.56674201303099	0.109132283375072	FALSE
Training only	14.5668270432604	24244	34	43	1.64039069244598	0.20027187200473	FALSE
Training only	14.5978197886455	24771	35	42	0.944602536727042	0.331096991087869	FALSE
Training only	14.607503704176	24938	36	41	1.59757424361282	0.206247314800565	FALSE
Training only	14.6453206833633	25601	37	40	2.30597500622782	0.128877388621515	FALSE
Training only	14.6888513068677	26386	38	39	2.65844702112871	0.10300125513539	FALSE
Training only	14.6982163073724	26558	39	38	3.26567023217652	0.070744108407067	FALSE
Training only	14.7369303716893	27281	40	37	4.41977468020152	0.0355247270756216	FALSE
Training only	14.8515538584298	29539	41	36	5.25372660056622	0.0218998206706879	FALSE
Training only	14.8569117920839	29649	42	35	6.25232843265428	0.0124030162831491	FALSE
Training only	14.8779071726669	30084	43	34	7.43329745117225	0.00640279105078357	FALSE
Training only	14.8838842416909	30209	44	33	8.59634660435536	0.00336838050344655	TRUE
Training only	14.9454438363779	31527	45	32	7.16568794791723	0.00743111862675345	FALSE
Training only	15.0370321041235	33595	46	31	8.04291507200886	0.00456819650560675	FALSE
Training only	15.0784844174114	34575	47	30	6.46621935505181	0.0109944176642992	FALSE
Training only	15.1433433511756	36166	48	29	5.2802812228069	0.0215682640139113	FALSE
Training only	15.2717183366557	39534	49	28	4.38641489885267	0.0362264125058915	FALSE
Training only	15.3460981505498	41627	50	27	3.42981811330289	0.0640291526677739	FALSE
Training only	15.4215060342754	43862	51	26	2.71734527928328	0.0992629828682379	FALSE
Training only	15.5594965931187	48267	52	25	2.15793955521807	0.14183476900848	FALSE
Training only	15.7766643468418	56112	53	24	1.49551370471601	0.221362944156069	FALSE
Training only	15.791061114717	56675	54	23	2.19025901068753	0.138885958773178	FALSE
Training only	15.8013799770871	57082	55	22	2.78749309802848	0.0950027438269838	FALSE
Training only	15.8284092452177	58162	56	21	1.90396196059648	0.167635519235738	FALSE
Training only	15.8335325189468	58369	57	20	2.50538756888343	0.113457569586653	FALSE
Training only	15.9514668619328	63343	58	19	2.82006830645058	0.093092441692781	FALSE
Training only	15.9790008634047	64564	59	18	1.9265871883233	0.165132307756488	FALSE
Training only	16.0710223472184	68818.0000000001	60	17	2.95293097036541	0.0857219614495712	FALSE
