user_genome	reference_genome	skani_ani	skani_af	reference_taxonomy	other_related_references(genome_id,species_name,radius,ANI,AF)
SGB_001	GCF_002952055.1	99.99	0.9998	d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus oralis	
SGB_002	GCF_900167395.1	99.9	0.9981	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Nitrosomonas;s__Nitrosomonas europaea	GCF_040256045.1, s__Nitrosomonas sp040256045, 95.0, 90.02, 0.627
SGB_003	GCF_000010505.1	99.97	0.994	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	GCF_000378065.1, s__Porphyromonas gulae, 95.0, 92.95, 0.73
SGB_004	GCF_003968655.1	98.76	0.8979	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium phaeovibrioides	GCA_013203905.1, s__Chlorobium sp013203905, 95.0, 89.45, 0.67; GCA_030765725.1, s__Chlorobium antarcticum, 95.0, 85.56, 0.405
SGB_005	GCF_000020465.1	99.96	0.9959	d__Bacteria;p__Bacteroidota;c__Chlorobiia;o__Chlorobiales;f__Chlorobiaceae;g__Chlorobium;s__Chlorobium limicola	GCF_001509575.1, s__Chlorobium limicola_A, 95.0, 93.24, 0.713; GCA_020721225.1, s__Chlorobium luteolum_C, 95.0, 93.32, 0.715
SGB_006	GCF_900456975.1	97.21	0.8244	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella baltica	GCF_900156405.1, s__Shewanella morhuae, 95.0, 87.75, 0.271; GCF_012584455.1, s__Shewanella oncorhynchi, 95.0, 91.22, 0.595; GCF_024197625.1, s__Shewanella sp024197625, 95.0, 87.61, 0.225; GCF_019655335.1, s__Shewanella hafniensis, 95.0, 94.18, 0.73; GCF_016406305.1, s__Shewanella putrefaciens_C, 95.0, 87.52, 0.226; GCF_002783505.1, s__Shewanella sp002783505, 95.0, 88.76, 0.268; GCF_023283765.1, s__Shewanella profunda, 95.0, 87.97, 0.207; GCF_000217915.1, s__Shewanella sp000217915, 95.0, 88.2, 0.249; GCA_051652445.1, s__Shewanella sp051652445, 95.0, 88.59, 0.326; GCF_023283485.1, s__Shewanella glacialipiscicola, 95.0, 87.98, 0.288; GCF_016406325.1, s__Shewanella putrefaciens, 95.0, 87.62, 0.231
SGB_007	GCA_000018565.1	99.97	0.9968	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__Herpetosiphon;s__Herpetosiphon aurantiacus	GCA_020161265.1, s__Herpetosiphon sp020161265, 95.0, 94.06, 0.755; GCF_042688385.1, s__Herpetosiphon sp042688385, 95.0, 85.24, 0.31; GCF_016907925.1, s__Herpetosiphon giganteus, 95.0, 85.41, 0.321; GCF_001306135.1, s__Herpetosiphon geysericola, 95.0, 85.4, 0.306; GCF_003205875.1, s__Herpetosiphon llansteffanensis, 95.0, 85.18, 0.305; GCF_039545135.1, s__Herpetosiphon gulosus, 95.0, 91.53, 0.652; GCA_963767035.1, s__Herpetosiphon sp963767035, 95.0, 85.45, 0.329
SGB_012	GCF_031191795.1	99.96	0.9691	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum	GCF_037889385.1, s__Fusobacterium nucleatum_K, 95.0, 95.0, 0.729; GCF_002763915.1, s__Fusobacterium periodonticum_D, 95.08, 85.68, 0.214; GCF_002761955.1, s__Fusobacterium pseudoperiodonticum, 95.0, 85.09, 0.21; GCA_965278035.1, s__Fusobacterium paranimalis, 95.0, 91.21, 0.525; GCF_965119615.1, s__Fusobacterium watanabei, 95.0, 91.27, 0.592; GCA_037898445.1, s__Fusobacterium nucleatum_D, 95.0, 91.33, 0.52; GCF_050231725.1, s__Fusobacterium nucleatum_L, 95.0, 89.63, 0.536; GCF_016724785.1, s__Fusobacterium canifelinum, 95.0, 92.56, 0.627; GCF_000160475.1, s__Fusobacterium periodonticum, 95.0, 86.09, 0.229; GCF_000235465.1, s__Fusobacterium sp000235465, 95.0, 87.22, 0.276; GCA_963526615.1, s__Fusobacterium sp963526615, 95.0, 91.32, 0.546; GCA_000182945.1, s__Fusobacterium vincentii, 95.0, 92.02, 0.53; GCF_000158275.2, s__Fusobacterium animalis, 95.0, 90.99, 0.518; GCA_963524875.1, s__Fusobacterium sp963524875, 95.0, 91.45, 0.598; GCF_001457555.1, s__Fusobacterium polymorphum, 95.0, 91.6, 0.581; GCF_026089295.1, s__Fusobacterium simiae, 95.0, 88.62, 0.43; GCA_963537515.1, s__Fusobacterium sp963537515, 95.0, 89.47, 0.378; GCF_014217355.1, s__Fusobacterium hwasookii, 95.0, 90.66, 0.547; GCF_000163935.1, s__Fusobacterium periodonticum_B, 95.0, 85.5, 0.217
SGB_014	GCF_000021565.1	100.0	0.9995	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Hydrogenothermaceae;g__Persephonella;s__Persephonella marina	GCA_964519345.1, s__Persephonella sp964519345, 95.0, 80.97, 0.17
SGB_015	GCF_000020785.1	99.91	0.9826	d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Hydrogenobaculum;s__Hydrogenobaculum sp003543175	GCA_002878215.1, s__Hydrogenobaculum sp002878215, 95.0, 89.85, 0.335; GCF_000213785.1, s__Hydrogenobaculum sp000213785, 95.0, 94.62, 0.751
SGB_016	GCF_000016545.1	99.97	0.9677	d__Bacteria;p__Bacillota;c__Thermoanaerobacteria;o__Caldicellulosiruptorales;f__Caldicellulosiruptoraceae;g__Caldicellulosiruptor;s__Caldicellulosiruptor saccharolyticus	GCF_017347585.1, s__Caldicellulosiruptor diazotrophicus, 95.0, 86.24, 0.196; GCF_026914285.1, s__Caldicellulosiruptor naganoensis, 95.0, 89.94, 0.519; GCF_000166355.1, s__Caldicellulosiruptor hydrothermalis, 95.0, 87.05, 0.195; GCF_000022325.1, s__Caldicellulosiruptor bescii, 95.0, 87.16, 0.202; GCF_000166775.1, s__Caldicellulosiruptor kronotskyensis, 96.31, 85.81, 0.185; GCF_034343125.1, s__Caldicellulosiruptor danielii, 95.0, 86.61, 0.241; GCF_003999255.1, s__Caldicellulosiruptor changbaiensis, 95.05, 95.52, 0.735; GCF_026810225.1, s__Caldicellulosiruptor morganii, 95.0, 83.11, 0.196; GCF_026914305.1, s__Caldicellulosiruptor acetigenus, 95.0, 84.38, 0.154
SGB_017	GCF_000019085.1	100.0	0.998	d__Bacteria;p__Bacillota;c__Thermoanaerobacteria;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacter;s__Thermoanaerobacter pseudethanolicus	GCF_000445185.1, s__Thermoanaerobacter sp000445185, 95.16, 95.17, 0.699; GCA_012840485.1, s__Thermoanaerobacter sp012840485, 95.0, 88.77, 0.396; GCF_900129115.1, s__Thermoanaerobacter uzonensis, 95.0, 93.4, 0.647; GCA_014896455.1, s__Thermoanaerobacter sp014896455, 95.0, 93.38, 0.563; GCF_000763575.1, s__Thermoanaerobacter kivui, 95.0, 89.8, 0.365; GCF_001310975.1, s__Thermoanaerobacter thermocopriae, 95.0, 91.63, 0.633; GCF_003722315.1, s__Thermoanaerobacter ethanolicus, 96.56, 95.24, 0.738
SGB_021	GCF_000196115.1	99.95	0.9979	d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Pirellulales;f__Pirellulaceae;g__Rhodopirellula;s__Rhodopirellula baltica	GCF_001027925.1, s__Rhodopirellula islandica, 95.0, 84.36, 0.152; GCF_028768465.1, s__Rhodopirellula sp028768465, 95.0, 85.89, 0.196; GCF_043100905.1, s__Rhodopirellula sp043100905, 95.0, 85.76, 0.174; GCF_002727185.1, s__Rhodopirellula bahusiensis, 95.0, 85.62, 0.249; GCF_000338295.1, s__Rhodopirellula europaea, 95.0, 89.73, 0.547
SGB_022	GCF_000010305.1	100.0	1.0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas aurantiaca	GCF_036405635.1, s__Gemmatimonas sp036405635, 95.0, 84.5, 0.237
SGB_023	GCF_000016785.1	99.99	0.9968	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Thermotogaceae;g__Thermotoga;s__Thermotoga petrophila	GCF_000008545.1, s__Thermotoga maritima, 95.0, 95.45, 0.9; GCF_000784835.1, s__Thermotoga sp000784835, 95.0, 94.47, 0.892
SGB_024	GCF_000018945.1	100.0	0.9999	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Thermotogaceae;g__Thermotoga;s__Thermotoga neapolitana	GCF_021162145.1, s__Thermotoga sp021162145, 95.0, 82.77, 0.206; GCF_002865985.1, s__Thermotoga sp002865985, 95.0, 90.77, 0.744; GCF_000008545.1, s__Thermotoga maritima, 95.0, 84.63, 0.153
