Figure	Status	Detail
37-tool-consensus.pdf	PASS	exists
37-tool-consensus.png	PASS	2980x1720; dpi=(350.012, 350.012)
37-tool-consensus.tiff	PASS	2980x1720; dpi=(350.0, 350.0)
37-cazyme-class-profile.pdf	PASS	exists
37-cazyme-class-profile.png	PASS	2910x1685; dpi=(350.012, 350.012)
37-cazyme-class-profile.tiff	PASS	2910x1685; dpi=(350.0, 350.0)
37-family-abundance.pdf	PASS	exists
37-family-abundance.png	PASS	3015x2210; dpi=(350.012, 350.012)
37-family-abundance.tiff	PASS	3015x2210; dpi=(350.0, 350.0)
37-cgc-substrate.pdf	PASS	exists
37-cgc-substrate.png	PASS	3820x1720; dpi=(350.012, 350.012)
37-cgc-substrate.tiff	PASS	3820x1720; dpi=(350.0, 350.0)
