ReleaseDate	DataType	Resources	Studies
2021-03-31	gene_families	83	83
2021-03-31	marker_abundance	83	83
2021-03-31	marker_presence	83	83
2021-03-31	pathway_abundance	83	83
2021-03-31	pathway_coverage	83	83
2021-03-31	relative_abundance	83	83
2021-04-02	gene_families	3	3
2021-04-02	marker_abundance	3	3
2021-04-02	marker_presence	3	3
2021-04-02	pathway_abundance	3	3
2021-04-02	pathway_coverage	3	3
2021-04-02	relative_abundance	3	3
2021-10-14	gene_families	29	29
2021-10-14	marker_abundance	29	29
2021-10-14	marker_presence	29	29
2021-10-14	pathway_abundance	29	29
2021-10-14	pathway_coverage	29	29
2021-10-14	relative_abundance	29	29
2022-04-13	gene_families	4	4
2022-04-13	marker_abundance	4	4
2022-04-13	marker_presence	4	4
2022-04-13	pathway_abundance	4	4
2022-04-13	pathway_coverage	4	4
2022-04-13	relative_abundance	4	4
2022-10-19	gene_families	3	3
2022-10-19	marker_abundance	3	3
2022-10-19	marker_presence	3	3
2022-10-19	pathway_abundance	3	3
2022-10-19	pathway_coverage	3	3
2022-10-19	relative_abundance	3	3
