Study	SampleID	NumberReads	RelativeAbundanceSumPct	PseudoCountSum	PseudoCountMinusNumberReads	PositiveRelativeFeatures	PositivePseudoCountFeatures	ExactRawFeatureCountsRecovered
AsnicarF_2017	MV_FEI1_t1Q14	27553455	100.00001	27553459	4	37	37	FALSE
AsnicarF_2017	MV_FEI2_t1Q14	32197545	100.00002	32197550	5	27	27	FALSE
AsnicarF_2017	MV_FEI3_t1Q14	32310216	100.00001	32310219	3	31	31	FALSE
AsnicarF_2017	MV_FEI4_t1Q14	14270590	99.99999	14270587	-3	9	9	FALSE
AsnicarF_2017	MV_FEI4_t2Q15	37677351	99.99805	37676616	-735	40	40	FALSE
AsnicarF_2017	MV_FEI5_t1Q14	22340005	100.00001	22340006	1	32	32	FALSE
AsnicarF_2017	MV_FEI5_t2Q14	18508799	99.98312	18505676	-3123	72	72	FALSE
AsnicarF_2017	MV_FEI5_t3Q15	57639595	99.96484	57619327	-20268	54	54	FALSE
AsnicarF_2017	MV_FEM1_t1Q14	27277064	99.99881	27276743	-321	63	63	FALSE
AsnicarF_2017	MV_FEM2_t1Q14	19883080	99.95536	19874202	-8878	90	90	FALSE
AsnicarF_2017	MV_FEM3_t1Q14	28539448	99.99288	28537416	-2032	86	86	FALSE
AsnicarF_2017	MV_FEM4_t1Q14	19038206	99.9985	19037923	-283	57	57	FALSE
AsnicarF_2017	MV_FEM4_t2Q15	50648184	99.88968	50592310	-55874	102	102	FALSE
AsnicarF_2017	MV_FEM5_t1Q14	23822026	100.00002	23822032	6	88	88	FALSE
AsnicarF_2017	MV_FEM5_t2Q14	26222979	100.00003	26222988	9	49	49	FALSE
AsnicarF_2017	MV_FEM5_t3Q15	72931179	99.90965	72865289	-65890	101	101	FALSE
AsnicarF_2017	MV_MIM1_t1M14	42476	100	42476	0	1	1	FALSE
AsnicarF_2017	MV_MIM2_t1M14	62239	100	62239	0	1	1	FALSE
AsnicarF_2017	MV_MIM3_t1M14	78378	100	78378	0	2	2	FALSE
AsnicarF_2017	MV_MIM4_t1M14	38958	100	38958	0	2	2	FALSE
AsnicarF_2017	MV_MIM4_t2F15	225573	99.99999	225573	0	3	3	FALSE
AsnicarF_2017	MV_MIM5_t1M14	71910	100.00001	71910	0	3	3	FALSE
AsnicarF_2017	MV_MIM5_t2M14	55093	100	55094	1	4	4	FALSE
AsnicarF_2017	MV_MIM5_t3F15	3289927	94.65166	3113969	-175958	42	42	FALSE
