ResourceTitle	ReleaseDate	Study	DataType	ReleaseCountForStudyType	LatestForStudyType	UnqualifiedQuerySelection
2021-03-31.AsnicarF_2017.gene_families	2021-03-31	AsnicarF_2017	gene_families	2	FALSE	Superseded
2021-10-14.AsnicarF_2017.gene_families	2021-10-14	AsnicarF_2017	gene_families	2	TRUE	Selected
2021-03-31.AsnicarF_2017.marker_abundance	2021-03-31	AsnicarF_2017	marker_abundance	2	FALSE	Superseded
2021-10-14.AsnicarF_2017.marker_abundance	2021-10-14	AsnicarF_2017	marker_abundance	2	TRUE	Selected
2021-03-31.AsnicarF_2017.marker_presence	2021-03-31	AsnicarF_2017	marker_presence	2	FALSE	Superseded
2021-10-14.AsnicarF_2017.marker_presence	2021-10-14	AsnicarF_2017	marker_presence	2	TRUE	Selected
2021-03-31.AsnicarF_2017.pathway_abundance	2021-03-31	AsnicarF_2017	pathway_abundance	2	FALSE	Superseded
2021-10-14.AsnicarF_2017.pathway_abundance	2021-10-14	AsnicarF_2017	pathway_abundance	2	TRUE	Selected
2021-03-31.AsnicarF_2017.pathway_coverage	2021-03-31	AsnicarF_2017	pathway_coverage	2	FALSE	Superseded
2021-10-14.AsnicarF_2017.pathway_coverage	2021-10-14	AsnicarF_2017	pathway_coverage	2	TRUE	Selected
2021-03-31.AsnicarF_2017.relative_abundance	2021-03-31	AsnicarF_2017	relative_abundance	2	FALSE	Superseded
2021-10-14.AsnicarF_2017.relative_abundance	2021-10-14	AsnicarF_2017	relative_abundance	2	TRUE	Selected
