Figure	Status	Detail
40-tool-bgc-yield.pdf	PASS	exists
40-tool-bgc-yield.png	PASS	3260x1720; dpi=(350.012, 350.012)
40-tool-bgc-yield.tiff	PASS	3260x1720; dpi=(350.0, 350.0)
40-fragmentation-sensitivity.pdf	PASS	exists
40-fragmentation-sensitivity.png	PASS	2560x1650; dpi=(350.012, 350.012)
40-fragmentation-sensitivity.tiff	PASS	2560x1650; dpi=(350.0, 350.0)
40-bgc-type-profile.pdf	PASS	exists
40-bgc-type-profile.png	PASS	3085x1790; dpi=(350.012, 350.012)
40-bgc-type-profile.tiff	PASS	3085x1790; dpi=(350.0, 350.0)
40-mibig-similarity-abundance.pdf	PASS	exists
40-mibig-similarity-abundance.png	PASS	3610x1615; dpi=(350.012, 350.012)
40-mibig-similarity-abundance.tiff	PASS	3610x1615; dpi=(350.0, 350.0)
