Sample1	Sample2	Study1	Study2	Country1	Country2	PairStratum	ComparableSites	SNPs	PDistance	DifferencesPer10kb
CMD64776337ST-21-0	G78505	ZellerG_2014	VatanenT_2016	DEU	RUS	Different country	17343	3229	0.1861846278	1861.846278
CMD64776337ST-21-0	G88884	ZellerG_2014	SchirmerM_2016	DEU	NLD	Different country	16899	2335	0.1381738564	1381.738564
CMD64776337ST-21-0	G88970	ZellerG_2014	SchirmerM_2016	DEU	NLD	Different country	17353	3107	0.1790468507	1790.468507
CMD64776337ST-21-0	G89027	ZellerG_2014	SchirmerM_2016	DEU	NLD	Different country	17346	3218	0.1855182751	1855.182751
CMD64776337ST-21-0	H2M514903	ZellerG_2014	LiJ_2017	DEU	CHN	Different country	17309	3144	0.1816396095	1816.396095
CMD64776337ST-21-0	H3M518116	ZellerG_2014	LiJ_2017	DEU	CHN	Different country	17306	4745	0.2741823645	2741.823645
CMD64776337ST-21-0	HD-1	ZellerG_2014	QinN_2014	DEU	CHN	Different country	17334	3478	0.200646129	2006.46129
CMD64776337ST-21-0	HD-5	ZellerG_2014	QinN_2014	DEU	CHN	Different country	17313	4782	0.2762086294	2762.086294
CMD64776337ST-21-0	HV-6	ZellerG_2014	QinN_2014	DEU	CHN	Different country	17261	4678	0.2710155843	2710.155843
CMD64776337ST-21-0	LD-48	ZellerG_2014	QinN_2014	DEU	CHN	Different country	17238	4621	0.2680705418	2680.705418
CMD64776337ST-21-0	M1.42.ST	ZellerG_2014	BritoIL_2016	DEU	FJI	Different country	17351	3086	0.177857184	1778.57184
CMD64776337ST-21-0	M2.48.ST	ZellerG_2014	BritoIL_2016	DEU	FJI	Different country	17329	3205	0.1849500837	1849.500837
CMD64776337ST-21-0	M2.58.ST	ZellerG_2014	BritoIL_2016	DEU	FJI	Different country	17362	3237	0.1864416542	1864.416542
CMD64776337ST-21-0	N021	ZellerG_2014	WenC_2017	DEU	CHN	Different country	17307	4614	0.2665973306	2665.973306
CMD64776337ST-21-0	RA023	ZellerG_2014	WenC_2017	DEU	CHN	Different country	17294	4619	0.2670868509	2670.868509
CMD64776337ST-21-0	S353	ZellerG_2014	KarlssonFH_2013	DEU	SWE	Different country	17346	2584	0.1489680618	1489.680618
CMD64776337ST-21-0	SID530054	ZellerG_2014	FengQ_2015	DEU	AUT	Different country	17339	2629	0.1516235077	1516.235077
CMD64776337ST-21-0	SRS011302	ZellerG_2014	HMP_2012	DEU	USA	Different country	16812	2312	0.1375208185	1375.208185
CMD64776337ST-21-0	SZAXPI003417-4	ZellerG_2014	YuJ_2015	DEU	CHN	Different country	17308	4421	0.2554310146	2554.310146
CMD64776337ST-21-0	T2D-025	ZellerG_2014	QinJ_2012	DEU	CHN	Different country	17288	4417	0.2554951411	2554.951411
CMD64776337ST-21-0	T2D-063	ZellerG_2014	QinJ_2012	DEU	CHN	Different country	17282	4759	0.2753732207	2753.732207
CMD64776337ST-21-0	T2D-105	ZellerG_2014	QinJ_2012	DEU	CHN	Different country	17301	4458	0.2576729669	2576.729669
CMD64776337ST-21-0	W1.27.ST	ZellerG_2014	BritoIL_2016	DEU	FJI	Different country	17262	3191	0.1848569111	1848.569111
CMD64776337ST-21-0	YSZC12003_36795	ZellerG_2014	XieH_2016	DEU	GBR	Different country	17359	2529	0.1456881157	1456.881157
G78505	G88884	VatanenT_2016	SchirmerM_2016	RUS	NLD	Different country	17351	3058	0.1762434442	1762.434442
G78505	G88970	VatanenT_2016	SchirmerM_2016	RUS	NLD	Different country	17935	2686	0.1497630332	1497.630332
G78505	G89027	VatanenT_2016	SchirmerM_2016	RUS	NLD	Different country	17924	2560	0.1428252622	1428.252622
G78505	H2M514903	VatanenT_2016	LiJ_2017	RUS	CHN	Different country	17887	2757	0.1541342875	1541.342875
G78505	H3M518116	VatanenT_2016	LiJ_2017	RUS	CHN	Different country	17893	4573	0.2555748058	2555.748058
G78505	HD-1	VatanenT_2016	QinN_2014	RUS	CHN	Different country	17913	2736	0.1527382348	1527.382348
G78505	HD-5	VatanenT_2016	QinN_2014	RUS	CHN	Different country	17902	4596	0.2567310915	2567.310915
G78505	HV-6	VatanenT_2016	QinN_2014	RUS	CHN	Different country	17843	4555	0.2552821835	2552.821835
G78505	LD-48	VatanenT_2016	QinN_2014	RUS	CHN	Different country	17828	4441	0.2491025353	2491.025353
G78505	M1.42.ST	VatanenT_2016	BritoIL_2016	RUS	FJI	Different country	17932	2581	0.1439326344	1439.326344
G78505	M2.48.ST	VatanenT_2016	BritoIL_2016	RUS	FJI	Different country	17908	2673	0.1492628993	1492.628993
G78505	M2.58.ST	VatanenT_2016	BritoIL_2016	RUS	FJI	Different country	17933	2548	0.1420844254	1420.844254
G78505	N021	VatanenT_2016	WenC_2017	RUS	CHN	Different country	17898	4446	0.2484076433	2484.076433
G78505	RA023	VatanenT_2016	WenC_2017	RUS	CHN	Different country	17880	4421	0.2472595078	2472.595078
G78505	S353	VatanenT_2016	KarlssonFH_2013	RUS	SWE	Different country	17500	3467	0.1981142857	1981.142857
