Sample	NearestSample	PDistance	SameStudy	SameCountry	Study	Country
CMD64776337ST-21-0	SRS011302	0.1375208185	False	False	ZellerG_2014	DEU
G78505	M2.58.ST	0.1420844254	False	False	VatanenT_2016	RUS
G88884	SRS011302	0.1207043627	False	False	SchirmerM_2016	NLD
G88970	H2M514903	0.1408143886	False	False	SchirmerM_2016	NLD
G89027	G78505	0.1428252622	False	False	SchirmerM_2016	NLD
H2M514903	G88970	0.1408143886	False	False	LiJ_2017	CHN
H3M518116	HV-6	0.1827872531	False	True	LiJ_2017	CHN
HD-1	G78505	0.1527382348	False	False	QinN_2014	CHN
HD-5	HV-6	0.1874544537	True	True	QinN_2014	CHN
HV-6	H3M518116	0.1827872531	False	True	QinN_2014	CHN
LD-48	SZAXPI003417-4	0.129320018	False	True	QinN_2014	CHN
M1.42.ST	G88970	0.1421489445	False	False	BritoIL_2016	FJI
M2.48.ST	M1.42.ST	0.1431838465	True	True	BritoIL_2016	FJI
M2.58.ST	G78505	0.1420844254	False	False	BritoIL_2016	FJI
N021	T2D-105	0.1726280437	False	True	WenC_2017	CHN
RA023	N021	0.184660998	True	True	WenC_2017	CHN
S353	G88884	0.1291666667	False	False	KarlssonFH_2013	SWE
SID530054	G88884	0.1369822832	False	False	FengQ_2015	AUT
SRS011302	G88884	0.1207043627	False	False	HMP_2012	USA
SZAXPI003417-4	T2D-025	0.0032986694	False	True	YuJ_2015	CHN
T2D-025	SZAXPI003417-4	0.0032986694	False	True	QinJ_2012	CHN
T2D-063	HV-6	0.1901104446	False	True	QinJ_2012	CHN
T2D-105	N021	0.1726280437	False	True	QinJ_2012	CHN
W1.27.ST	M1.42.ST	0.1425931112	True	True	BritoIL_2016	FJI
YSZC12003_36795	G88884	0.1294861941	False	False	XieH_2016	GBR
