Sample	Study	Country	MarkerFile
CMD64776337ST-21-0	ZellerG_2014	DEU	consensus_markers/CMD64776337ST-21-0.pkl
G78505	VatanenT_2016	RUS	consensus_markers/G78505.pkl
G88884	SchirmerM_2016	NLD	consensus_markers/G88884.pkl
G88970	SchirmerM_2016	NLD	consensus_markers/G88970.pkl
G89027	SchirmerM_2016	NLD	consensus_markers/G89027.pkl
H2M514903	LiJ_2017	CHN	consensus_markers/H2M514903.pkl
H3M518116	LiJ_2017	CHN	consensus_markers/H3M518116.pkl
HD-1	QinN_2014	CHN	consensus_markers/HD-1.pkl
HD-5	QinN_2014	CHN	consensus_markers/HD-5.pkl
HV-6	QinN_2014	CHN	consensus_markers/HV-6.pkl
LD-48	QinN_2014	CHN	consensus_markers/LD-48.pkl
M1.42.ST	BritoIL_2016	FJI	consensus_markers/M1.42.ST.pkl
M2.48.ST	BritoIL_2016	FJI	consensus_markers/M2.48.ST.pkl
M2.58.ST	BritoIL_2016	FJI	consensus_markers/M2.58.ST.pkl
N021	WenC_2017	CHN	consensus_markers/N021.pkl
RA023	WenC_2017	CHN	consensus_markers/RA023.pkl
S353	KarlssonFH_2013	SWE	consensus_markers/S353.pkl
SID530054	FengQ_2015	AUT	consensus_markers/SID530054.pkl
SRS011302	HMP_2012	USA	consensus_markers/SRS011302.pkl
SZAXPI003417-4	YuJ_2015	CHN	consensus_markers/SZAXPI003417-4.pkl
T2D-025	QinJ_2012	CHN	consensus_markers/T2D-025.pkl
T2D-063	QinJ_2012	CHN	consensus_markers/T2D-063.pkl
T2D-105	QinJ_2012	CHN	consensus_markers/T2D-105.pkl
W1.27.ST	BritoIL_2016	FJI	consensus_markers/W1.27.ST.pkl
YSZC12003_36795	XieH_2016	GBR	consensus_markers/YSZC12003_36795.pkl
