sample	percentage_of_polymorphic_sites	avg_by_marker	median_by_marker	std_by_marker	min_by_marker	max_by_marker	q25_by_marker	q75_by_marker	Study	Country
CMD64776337ST-21-0	0.499867222768952	0.5877938276319139	0.5221932114882507	0.3334223731101328	0.0	1.7543859649122806	0.33200531208499334	0.7751937984496124	ZellerG_2014	DEU
G78505	0.4733957558651793	0.5681059388605283	0.5319148936170213	0.3402759863129026	0.0	1.6563146997929608	0.308404284145524	0.7613015399900646	VatanenT_2016	RUS
G88884	0.8111263082480373	0.8786197857574611	0.7978723404255319	0.4689955537929737	0.08250825082508251	2.335456475583864	0.5089058524173028	1.1844331641285957	SchirmerM_2016	NLD
G88970	0.5286501500828816	0.6409492810578851	0.5762411347517731	0.38483864496311904	0.06872852233676977	1.7751479289940828	0.35515830791421343	0.8133287693658566	SchirmerM_2016	NLD
G89027	0.5545350915182016	0.6563990681230489	0.5482456140350878	0.3621589796292501	0.0	1.9736842105263157	0.42301456930889725	0.8556149732620322	SchirmerM_2016	NLD
H2M514903	0.5228718963853856	0.6242273186554341	0.5580827900669005	0.3722355504313824	0.0	2.0833333333333335	0.3936045801260233	0.7763835263835264	LiJ_2017	CHN
H3M518116	0.2807520571061631	0.32869953877347247	0.2695417789757412	0.29445069659669104	0.0	1.6963528413910094	0.1001916513481084	0.47761765953661506	LiJ_2017	CHN
HD-1	0.29568567716500155	0.3516698347232884	0.31446540880503143	0.3017169918122421	0.0	1.364522417153996	0.12559101654846336	0.48292194889877704	QinN_2014	CHN
HD-5	0.3763272254827293	0.4558502221348755	0.43859649122807015	0.293133741441281	0.0	1.5060240963855422	0.22990966135892466	0.6224717533826196	QinN_2014	CHN
HV-6	0.39773208090039774	0.4664409982050625	0.4192872117400419	0.29307689416538873	0.0	1.4098690835850958	0.27519809150549546	0.6032984892582298	QinN_2014	CHN
LD-48	0.24939145498260235	0.2892227960955906	0.22075055187637968	0.2991834286528205	0.0	1.8072289156626506	0.07619535269304856	0.41616269935284367	QinN_2014	CHN
M1.42.ST	0.5634952635535047	0.6695240898099774	0.6060606060606061	0.34770864849115857	0.0	1.7543859649122806	0.43119825708061005	0.8703754204163258	BritoIL_2016	FJI
M2.48.ST	0.5251656387358192	0.6145108117114246	0.5494505494505495	0.33171782912049685	0.11061946902654868	1.893939393939394	0.3773943658962823	0.8210180623973727	BritoIL_2016	FJI
M2.58.ST	0.5629974762182101	0.6795090514519166	0.6230529595015576	0.3445576830420081	0.10787486515641856	1.893939393939394	0.4529119283217644	0.8475228475228476	BritoIL_2016	FJI
N021	0.2767697584238062	0.31996926967887956	0.2696871628910464	0.2771104593227396	0.0	1.477832512315271	0.11768034239944353	0.4459358687546607	WenC_2017	CHN
RA023	0.3897674835356839	0.46356989112354297	0.40160642570281124	0.3605329600578605	0.0	2.108433734939759	0.20542169944560382	0.6346358320042531	WenC_2017	CHN
S353	0.5788794216369739	0.6781631935439397	0.6188744499212941	0.3169866512159093	0.05393743257820928	1.6666666666666667	0.4767600820232399	0.870791468358893	KarlssonFH_2013	SWE
SID530054	0.5427317325071004	0.6551867886751592	0.6197443422315029	0.34881785256278197	0.0	1.893939393939394	0.418964855891962	0.8259664369193886	FengQ_2015	AUT
SRS011302	0.6519101696945082	0.6810059962799788	0.5970149253731343	0.47444357248047386	0.0	2.576489533011272	0.32894736842105265	0.9063444108761329	HMP_2012	USA
SZAXPI003417-4	0.45199090044751083	0.5364068572223514	0.4553734061930783	0.36452133437147155	0.0	2.4154589371980677	0.26217768981252404	0.7575757575757576	YuJ_2015	CHN
T2D-025	0.4868360139181339	0.5804902167122725	0.5241090146750524	0.34526230473933234	0.0	1.932367149758454	0.33599419448476053	0.758654925321592	QinJ_2012	CHN
T2D-063	0.5749443722652808	0.6888741522302816	0.6361323155216285	0.35088772182195227	0.10582010582010581	2.0	0.44179387636798007	0.8789464230878425	QinJ_2012	CHN
T2D-105	0.5396014714593631	0.6370242667780031	0.5847953216374269	0.3307248057603606	0.0	1.803921568627451	0.42526397365107044	0.8256013086930962	QinJ_2012	CHN
W1.27.ST	0.43339381851446396	0.5042074921635118	0.4428701437268562	0.3826940951479841	0.0	2.7874564459930316	0.24600357933691266	0.6720755305364239	BritoIL_2016	FJI
YSZC12003_36795	0.499867222768952	0.5930395287222141	0.5305039787798409	0.3222375018364259	0.0	1.6260162601626016	0.3531073446327684	0.7692307692307693	XieH_2016	GBR
