community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_12ppd_S_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_1hibup_S_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_1hibupglu_S_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_1hmdgluc_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_1ohmdz_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_26dap_M_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hatvacid_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hatvacidgluc_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hatvlac_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hatvlacgluc_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hibup_S_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2hibupglu_S_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2oh_cbz_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2oh_cbz_glc_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2oh_mtz_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_2oh_mtz_glc_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3hibup_S_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3hibupglu_S_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3meacmp_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_cbz_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_cbz_glc_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_dlor_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_dlor_glc_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_mdea_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_mdea_glc_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_mxn_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_3oh_mxn_glc_e	0.0	0.0	0	0.0
all	western_diet_gut_anoxic_membership	Prevotella_copri	Alistipes_putredinis	M_4abz_e	0.0	0.0	0	0.0
