sample_id	id	species	abundance
MV_FEM1_t1Q14	Bifidobacterium_bifidum	Bifidobacterium bifidum	0.0013643
MV_FEM1_t1Q14	Bifidobacterium_longum	Bifidobacterium longum	0.0005094
MV_FEM1_t1Q14	Streptococcus_parasanguinis	Streptococcus parasanguinis	0.0002205
MV_FEM1_t1Q14	Clostridium_leptum	Clostridium leptum	5.37e-05
MV_FEM1_t1Q14	Bacteroides_vulgatus	Bacteroides vulgatus	0.0165638
MV_FEM1_t1Q14	Alistipes_finegoldii	Alistipes finegoldii	0.0002347
MV_FEM1_t1Q14	Prevotella_copri	Prevotella copri	0.7793173
MV_FEM1_t1Q14	Alistipes_putredinis	Alistipes putredinis	0.050755100000000004
MV_FEM1_t1Q14	Bacteroides_uniformis	Bacteroides uniformis	0.0026326
MV_FEM1_t1Q14	Bacteroides_dorei	Bacteroides dorei	0.00020060000000000002
MV_FEM1_t1Q14	Parabacteroides_merdae	Parabacteroides merdae	0.0031238
MV_FEM1_t1Q14	Bacteroides_caccae	Bacteroides caccae	0.0042545
MV_FEM1_t1Q14	Bacteroides_clarus	Bacteroides clarus	0.000147
MV_FEM1_t1Q14	Odoribacter_splanchnicus	Odoribacter splanchnicus	0.0022148000000000003
MV_FEM1_t1Q14	Eubacterium_rectale	Eubacterium rectale	0.0095505
MV_FEM1_t1Q14	Parasutterella_excrementihominis	Parasutterella excrementihominis	3.1e-06
MV_FEM1_t1Q14	Roseburia_hominis	Roseburia hominis	0.0017641000000000002
MV_FEM1_t1Q14	Bacteroides_ovatus	Bacteroides ovatus	0.0020599999999999998
MV_FEM1_t1Q14	Holdemanella_biformis	Holdemanella biformis	1.5e-05
MV_FEM1_t1Q14	Faecalibacterium_prausnitzii	Faecalibacterium prausnitzii	0.007996999999999999
MV_FEM1_t1Q14	Akkermansia_muciniphila	Akkermansia muciniphila	0.0002248
MV_FEM1_t1Q14	Eubacterium_sp_CAG_38	Eubacterium sp CAG 38	0.0020061000000000002
MV_FEM1_t1Q14	Alistipes_inops	Alistipes inops	0.0004195
MV_FEM1_t1Q14	Alistipes_shahii	Alistipes shahii	0.00044909999999999997
MV_FEM1_t1Q14	Ruthenibacterium_lactatiformans	Ruthenibacterium lactatiformans	0.0023707
MV_FEM1_t1Q14	Eubacterium_eligens	Eubacterium eligens	0.0031868
MV_FEM1_t1Q14	Coprococcus_comes	Coprococcus comes	0.0004543
MV_FEM1_t1Q14	Bifidobacterium_adolescentis	Bifidobacterium adolescentis	0.0045910000000000005
